@RELATION "B3 - CYRE3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.7214,1.5041,-1248.7398,0.1096,10.2688,13.5609,1.4865,-1234.1347,0.1096,10.1487,16.9,0
13.5609,1.4865,-1234.1347,0.1096,10.1487,13.4646,1.4759,-1225.3716,0.1096,10.0767,16.78,0
13.4646,1.4759,-1225.3716,0.1096,10.0767,12.9591,1.4205,-1179.3654,0.1096,9.6984,16.15,0
12.9591,1.4205,-1179.3654,0.1096,9.6984,12.9591,1.4205,-1179.3654,0.1096,9.6984,16.15,1
12.9591,1.4205,-1179.3654,0.1096,9.6984,13.0072,1.4258,-1183.7469,0.1096,9.7344,16.21,1
13.0072,1.4258,-1183.7469,0.1096,9.7344,13.6331,1.4944,-1240.707,0.1096,10.2028,16.99,1
13.6331,1.4944,-1240.707,0.1096,10.2028,13.8819,1.5217,-1263.345,0.1096,10.389,17.3,0
13.8819,1.5217,-1263.345,0.1096,10.389,13.3523,1.4636,-1215.148,0.1096,9.9926,16.64,0
13.3523,1.4636,-1215.148,0.1096,9.9926,12.9591,1.4205,-1179.3654,0.1096,9.6984,16.15,0
12.9591,1.4205,-1179.3654,0.1096,9.6984,12.6863,1.3906,-1154.5367,0.1096,9.4942,15.81,1
12.6863,1.3906,-1154.5367,0.1096,9.4942,13.0875,1.4346,-1191.0495,0.1096,9.7944,16.31,0
13.0875,1.4346,-1191.0495,0.1096,9.7944,12.6782,1.3897,-1153.8064,0.1096,9.4882,15.8,1
12.6782,1.3897,-1153.8064,0.1096,9.4882,13.0714,1.4328,-1189.589,0.1096,9.7824,16.29,1
13.0714,1.4328,-1189.589,0.1096,9.7824,13.8177,1.5146,-1257.5029,0.1096,10.3409,17.22,1
13.8177,1.5146,-1257.5029,0.1096,10.3409,14.0424,1.5393,-1277.9501,0.1096,10.5091,17.5,1
14.0424,1.5393,-1277.9501,0.1096,10.5091,14.0905,1.5445,-1282.3317,0.1096,10.5451,17.56,0
14.0905,1.5445,-1282.3317,0.1096,10.5451,13.4004,1.4689,-1219.5295,0.1096,10.0286,16.7,0
13.4004,1.4689,-1219.5295,0.1096,10.0286,12.8869,1.4126,-1172.7931,0.1096,9.6443,16.06,1
12.8869,1.4126,-1172.7931,0.1096,9.6443,12.9992,1.4249,-1183.0167,0.1096,9.7284,16.2,1
12.9992,1.4249,-1183.0167,0.1096,9.7284,13.4085,1.4698,-1220.2598,0.1096,10.0346,16.71,1
13.4085,1.4698,-1220.2598,0.1096,10.0346,13.7214,1.5041,-1248.7398,0.1096,10.2688,17.1,0
13.7214,1.5041,-1248.7398,0.1096,10.2688,12.6381,1.3853,-1150.1551,0.1096,9.4581,15.75,0
12.6381,1.3853,-1150.1551,0.1096,9.4581,12.3573,1.3545,-1124.5961,0.1096,9.248,15.4,1
12.3573,1.3545,-1124.5961,0.1096,9.248,12.582,1.3792,-1145.0433,0.1096,9.4161,15.68,1
12.582,1.3792,-1145.0433,0.1096,9.4161,12.919,1.4161,-1175.7141,0.1096,9.6683,16.1,0
12.919,1.4161,-1175.7141,0.1096,9.6683,12.6622,1.388,-1152.3459,0.1096,9.4762,15.78,1
12.6622,1.388,-1152.3459,0.1096,9.4762,12.8147,1.4047,-1166.2208,0.1096,9.5903,15.97,0
12.8147,1.4047,-1166.2208,0.1096,9.5903,12.7585,1.3985,-1161.109,0.1096,9.5482,15.9,0
12.7585,1.3985,-1161.109,0.1096,9.5482,12.1166,1.3282,-1102.6884,0.1096,9.0678,15.1,0
12.1166,1.3282,-1102.6884,0.1096,9.0678,11.6993,1.2824,-1064.715,0.1096,8.7555,14.58,1
11.6993,1.2824,-1064.715,0.1096,8.7555,11.9882,1.3141,-1091.0043,0.1096,8.9717,14.94,0
11.9882,1.3141,-1091.0043,0.1096,8.9717,11.4907,1.2596,-1045.7283,0.1096,8.5994,14.32,0
11.4907,1.2596,-1045.7283,0.1096,8.5994,10.475,1.2156,-807.4463,0.1161,8.0391,14.2,1
10.475,1.2156,-807.4463,0.1161,8.0391,10.6078,1.231,-817.6816,0.1161,8.141,14.38,0
10.6078,1.231,-817.6816,0.1161,8.141,10.5783,1.2276,-815.4071,0.1161,8.1183,14.34,0
10.5783,1.2276,-815.4071,0.1161,8.1183,10.4602,1.2139,-806.3091,0.1161,8.0278,14.18,1
10.4602,1.2139,-806.3091,0.1161,8.0278,10.6815,1.2396,-823.3678,0.1161,8.1976,14.48,0
10.6815,1.2396,-823.3678,0.1161,8.1976,10.0693,1.1685,-776.172,0.1161,7.7277,13.65,1
10.0693,1.1685,-776.172,0.1161,7.7277,10.3422,1.2002,-797.2111,0.1161,7.9372,14.02,1
10.3422,1.2002,-797.2111,0.1161,7.9372,10.4381,1.2113,-804.6032,0.1161,8.0108,14.15,1
10.4381,1.2113,-804.6032,0.1161,8.0108,10.9545,1.2713,-844.4069,0.1161,8.4071,14.85,1
10.9545,1.2713,-844.4069,0.1161,8.4071,11.22,1.3021,-864.8774,0.1161,8.6109,15.21,0
11.22,1.3021,-864.8774,0.1161,8.6109,10.8143,1.255,-833.603,0.1161,8.2995,14.66,0
10.8143,1.255,-833.603,0.1161,8.2995,10.6299,1.2336,-819.3874,0.1161,8.158,14.41,1
10.6299,1.2336,-819.3874,0.1161,8.158,11.1536,1.2944,-859.7598,0.1161,8.5599,15.12,0
11.1536,1.2944,-859.7598,0.1161,8.5599,10.7774,1.2507,-830.7599,0.1161,8.2712,14.61,1
10.7774,1.2507,-830.7599,0.1161,8.2712,11.0946,1.2875,-855.2108,0.1161,8.5146,15.04,0
11.0946,1.2875,-855.2108,0.1161,8.5146,10.5045,1.2191,-809.7208,0.1161,8.0617,14.24,1
10.5045,1.2191,-809.7208,0.1161,8.0617,11.2864,1.3098,-869.995,0.1161,8.6618,15.3,1
11.2864,1.3098,-869.995,0.1161,8.6618,11.3233,1.3141,-872.8381,0.1161,8.6901,15.35,0
11.3233,1.3141,-872.8381,0.1161,8.6901,11.0799,1.2858,-854.0735,0.1161,8.5033,15.02,0
11.0799,1.2858,-854.0735,0.1161,8.5033,11.0061,1.2773,-848.3873,0.1161,8.4467,14.92,1
11.0061,1.2773,-848.3873,0.1161,8.4467,11.5667,1.3423,-891.6027,0.1161,8.877,15.68,0
11.5667,1.3423,-891.6027,0.1161,8.877,11.2348,1.3038,-866.0146,0.1161,8.6222,15.23,1
11.2348,1.3038,-866.0146,0.1161,8.6222,11.6257,1.3492,-896.1517,0.1161,8.9222,15.76,0
11.6257,1.3492,-896.1517,0.1161,8.9222,11.434,1.3269,-881.3675,0.1161,8.7751,15.5,1
11.434,1.3269,-881.3675,0.1161,8.7751,11.5446,1.3398,-889.8968,0.1161,8.86,15.65,0
11.5446,1.3398,-889.8968,0.1161,8.86,11.4413,1.3278,-881.9361,0.1161,8.7807,15.51,0
11.4413,1.3278,-881.9361,0.1161,8.7807,11.0356,1.2807,-850.6618,0.1161,8.4693,14.96,1
11.0356,1.2807,-850.6618,0.1161,8.4693,11.2127,1.3012,-864.3088,0.1161,8.6052,15.2,0
11.2127,1.3012,-864.3088,0.1161,8.6052,10.7996,1.2533,-832.4658,0.1161,8.2882,14.64,0
10.7996,1.2533,-832.4658,0.1161,8.2882,10.6299,1.2336,-819.3874,0.1161,8.158,14.41,0
10.6299,1.2336,-819.3874,0.1161,8.158,10.5414,1.2233,-812.564,0.1161,8.09,14.29,1
10.5414,1.2233,-812.564,0.1161,8.09,10.6668,1.2379,-822.2306,0.1161,8.1863,14.46,1
10.6668,1.2379,-822.2306,0.1161,8.1863,10.9176,1.267,-841.5638,0.1161,8.3788,14.8,1
10.9176,1.267,-841.5638,0.1161,8.3788,10.9987,1.2764,-847.8187,0.1161,8.441,14.91,1
10.9987,1.2764,-847.8187,0.1161,8.441,11.3602,1.3184,-875.6812,0.1161,8.7184,15.4,0
11.3602,1.3184,-875.6812,0.1161,8.7184,11.2495,1.3055,-867.1519,0.1161,8.6335,15.25,1
11.2495,1.3055,-867.1519,0.1161,8.6335,11.3381,1.3158,-873.9754,0.1161,8.7015,15.37,0
11.3381,1.3158,-873.9754,0.1161,8.7015,10.9913,1.2756,-847.25,0.1161,8.4354,14.9,0
10.9913,1.2756,-847.25,0.1161,8.4354,10.5266,1.2216,-811.4267,0.1161,8.0787,14.27,0
10.5266,1.2216,-811.4267,0.1161,8.0787,10.3201,1.1977,-795.5052,0.1161,7.9202,13.99,0
10.3201,1.1977,-795.5052,0.1161,7.9202,10.1504,1.178,-782.4269,0.1161,7.79,13.76,1
10.1504,1.178,-782.4269,0.1161,7.79,10.2684,1.1917,-791.5249,0.1161,7.8806,13.92,0
10.2684,1.1917,-791.5249,0.1161,7.8806,9.7373,1.13,-750.5839,0.1161,7.4729,13.2,1
9.7373,1.13,-750.5839,0.1161,7.4729,10.2684,1.1917,-791.5249,0.1161,7.8806,13.92,1
10.2684,1.1917,-791.5249,0.1161,7.8806,10.6225,1.2327,-818.8188,0.1161,8.1523,14.4,1
10.6225,1.2327,-818.8188,0.1161,8.1523,11.0282,1.2798,-850.0932,0.1161,8.4637,14.95,0
11.0282,1.2798,-850.0932,0.1161,8.4637,10.5192,1.2208,-810.8581,0.1161,8.0731,14.26,0
10.5192,1.2208,-810.8581,0.1161,8.0731,9.8184,1.1394,-756.8388,0.1161,7.5352,13.31,1
9.8184,1.1394,-756.8388,0.1161,7.5352,9.8848,1.1471,-761.9564,0.1161,7.5862,13.4,1
9.8848,1.1471,-761.9564,0.1161,7.5862,9.9291,1.1523,-765.3681,0.1161,7.6201,13.46,1
9.9291,1.1523,-765.3681,0.1161,7.6201,10.4381,1.2113,-804.6032,0.1161,8.0108,14.15,1
10.4381,1.2113,-804.6032,0.1161,8.0108,11.0651,1.2841,-852.9363,0.1161,8.492,15.0,1
11.0651,1.2841,-852.9363,0.1161,8.492,11.434,1.3269,-881.3675,0.1161,8.7751,15.5,0
11.434,1.3269,-881.3675,0.1161,8.7751,10.9176,1.267,-841.5638,0.1161,8.3788,14.8,1
10.9176,1.267,-841.5638,0.1161,8.3788,11.4561,1.3295,-883.0734,0.1161,8.792,15.53,0
11.4561,1.3295,-883.0734,0.1161,8.792,11.1905,1.2987,-862.6029,0.1161,8.5882,15.17,1
11.1905,1.2987,-862.6029,0.1161,8.5882,11.9134,1.3826,-918.3281,0.1161,9.143,16.15,1
11.9134,1.3826,-918.3281,0.1161,9.143,12.6511,1.4682,-975.1905,0.1161,9.7092,17.15,0
12.6511,1.4682,-975.1905,0.1161,9.7092,12.1347,1.4082,-935.3868,0.1161,9.3129,16.45,1
12.1347,1.4082,-935.3868,0.1161,9.3129,12.4888,1.4493,-962.6807,0.1161,9.5846,16.93,1
