@RELATION "B3 - MILS3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
60.1229,7.5284,8.1789,0.1252,34.2163,61.3521,7.6823,8.3461,0.1252,34.9159,22.96,1
61.3521,7.6823,8.3461,0.1252,34.9159,61.0582,7.6455,8.3061,0.1252,34.7486,22.85,1
61.0582,7.6455,8.3061,0.1252,34.7486,60.1229,7.5284,8.1789,0.1252,34.2163,22.5,1
60.1229,7.5284,8.1789,0.1252,34.2163,61.8598,7.7459,8.4152,0.1252,35.2048,23.15,1
61.8598,7.7459,8.4152,0.1252,35.2048,61.0849,7.6488,8.3098,0.1252,34.7638,22.86,1
61.0849,7.6488,8.3098,0.1252,34.7638,61.2185,7.6656,8.3279,0.1252,34.8398,22.91,1
61.2185,7.6656,8.3279,0.1252,34.8398,60.2565,7.5451,8.1971,0.1252,34.2924,22.55,1
60.2565,7.5451,8.1971,0.1252,34.2924,59.9893,7.5117,8.1607,0.1252,34.1403,22.45,1
59.9893,7.5117,8.1607,0.1252,34.1403,59.8557,7.4949,8.1425,0.1252,34.0642,22.4,1
59.8557,7.4949,8.1425,0.1252,34.0642,61.1918,7.6622,8.3243,0.1252,34.8246,22.9,1
61.1918,7.6622,8.3243,0.1252,34.8246,60.6306,7.592,8.248,0.1252,34.5053,22.69,1
60.6306,7.592,8.248,0.1252,34.5053,60.2832,7.5485,8.2007,0.1252,34.3076,22.56,1
60.2832,7.5485,8.2007,0.1252,34.3076,60.0427,7.5184,8.168,0.1252,34.1707,22.47,1
60.0427,7.5184,8.168,0.1252,34.1707,60.2298,7.5418,8.1934,0.1252,34.2772,22.54,1
60.2298,7.5418,8.1934,0.1252,34.2772,60.7642,7.6087,8.2661,0.1252,34.5813,22.74,1
60.7642,7.6087,8.2661,0.1252,34.5813,60.5772,7.5853,8.2407,0.1252,34.4748,22.67,1
60.5772,7.5853,8.2407,0.1252,34.4748,60.8711,7.6221,8.2807,0.1252,34.6421,22.78,1
60.8711,7.6221,8.2807,0.1252,34.6421,61.5926,7.7124,8.3788,0.1252,35.0527,23.05,1
61.5926,7.7124,8.3788,0.1252,35.0527,61.8598,7.7459,8.4152,0.1252,35.2048,23.15,1
61.8598,7.7459,8.4152,0.1252,35.2048,59.4549,7.4447,8.088,0.1252,33.8361,22.25,1
59.4549,7.4447,8.088,0.1252,33.8361,59.0808,7.3979,8.0371,0.1252,33.6232,22.11,1
59.0808,7.3979,8.0371,0.1252,33.6232,60.497,7.5752,8.2298,0.1252,34.4292,22.64,1
60.497,7.5752,8.2298,0.1252,34.4292,59.3213,7.428,8.0698,0.1252,33.7601,22.2,1
59.3213,7.428,8.0698,0.1252,33.7601,60.6573,7.5953,8.2516,0.1252,34.5205,22.7,1
60.6573,7.5953,8.2516,0.1252,34.5205,58.9204,7.3778,8.0153,0.1252,33.532,22.05,1
58.9204,7.3778,8.0153,0.1252,33.532,60.0962,7.525,8.1753,0.1252,34.2011,22.49,1
60.0962,7.525,8.1753,0.1252,34.2011,59.5885,7.4615,8.1062,0.1252,33.9122,22.3,1
59.5885,7.4615,8.1062,0.1252,33.9122,59.9893,7.5117,8.1607,0.1252,34.1403,22.45,1
59.9893,7.5117,8.1607,0.1252,34.1403,58.7868,7.3611,7.9971,0.1252,33.456,22.0,1
58.7868,7.3611,7.9971,0.1252,33.456,58.68,7.3477,7.9826,0.1252,33.3951,21.96,1
58.68,7.3477,7.9826,0.1252,33.3951,62.2606,7.7961,8.4697,0.1252,35.4329,23.3,1
62.2606,7.7961,8.4697,0.1252,35.4329,61.9934,7.7626,8.4333,0.1252,35.2808,23.2,1
61.9934,7.7626,8.4333,0.1252,35.2808,61.0582,7.6455,8.3061,0.1252,34.7486,22.85,1
61.0582,7.6455,8.3061,0.1252,34.7486,61.459,7.6957,8.3606,0.1252,34.9767,23.0,1
61.459,7.6957,8.3606,0.1252,34.9767,61.94,7.7559,8.4261,0.1252,35.2504,23.18,1
61.94,7.7559,8.4261,0.1252,35.2504,61.9934,7.7626,8.4333,0.1252,35.2808,23.2,1
61.9934,7.7626,8.4333,0.1252,35.2808,60.9245,7.6288,8.2879,0.1252,34.6725,22.8,1
60.9245,7.6288,8.2879,0.1252,34.6725,63.5967,7.9634,8.6514,0.1252,36.1933,23.8,1
63.5967,7.9634,8.6514,0.1252,36.1933,64.1311,8.0303,8.7241,0.1252,36.4974,24.0,1
64.1311,8.0303,8.7241,0.1252,36.4974,62.795,7.863,8.5424,0.1252,35.737,23.5,1
62.795,7.863,8.5424,0.1252,35.737,63.57,7.96,8.6478,0.1252,36.1781,23.79,1
63.57,7.96,8.6478,0.1252,36.1781,63.5967,7.9634,8.6514,0.1252,36.1933,23.8,1
63.5967,7.9634,8.6514,0.1252,36.1933,66.8032,8.3649,9.0877,0.1252,38.0181,25.0,1
66.8032,8.3649,9.0877,0.1252,38.0181,65.6275,8.2177,8.9277,0.1252,37.349,24.56,1
65.6275,8.2177,8.9277,0.1252,37.349,64.1311,8.0303,8.7241,0.1252,36.4974,24.0,1
64.1311,8.0303,8.7241,0.1252,36.4974,66.1619,8.2846,9.0004,0.1252,37.6532,24.76,1
66.1619,8.2846,9.0004,0.1252,37.6532,66.5895,8.3381,9.0586,0.1252,37.8965,24.92,1
66.5895,8.3381,9.0586,0.1252,37.8965,65.4672,8.1976,8.9059,0.1252,37.2578,24.5,1
65.4672,8.1976,8.9059,0.1252,37.2578,66.2688,8.298,9.015,0.1252,37.714,24.8,1
66.2688,8.298,9.015,0.1252,37.714,65.4672,8.1976,8.9059,0.1252,37.2578,24.5,1
65.4672,8.1976,8.9059,0.1252,37.2578,66.2421,8.2946,9.0113,0.1252,37.6988,24.79,1
66.2421,8.2946,9.0113,0.1252,37.6988,64.0242,8.0169,8.7096,0.1252,36.4366,23.96,1
64.0242,8.0169,8.7096,0.1252,36.4366,64.2647,8.047,8.7423,0.1252,36.5734,24.05,1
64.2647,8.047,8.7423,0.1252,36.5734,64.2647,8.047,8.7423,0.1252,36.5734,24.05,1
64.2647,8.047,8.7423,0.1252,36.5734,64.2914,8.0504,8.746,0.1252,36.5887,24.06,1
64.2914,8.0504,8.746,0.1252,36.5887,65.4672,8.1976,8.9059,0.1252,37.2578,24.5,1
65.4672,8.1976,8.9059,0.1252,37.2578,65.1198,8.1541,8.8586,0.1252,37.0601,24.37,1
65.1198,8.1541,8.8586,0.1252,37.0601,66.6696,8.3481,9.0695,0.1252,37.9421,24.95,1
66.6696,8.3481,9.0695,0.1252,37.9421,61.2389,8.1825,8.5902,0.1336,33.6661,25.52,1
61.2389,8.1825,8.5902,0.1336,33.6661,61.0949,8.1632,8.57,0.1336,33.587,25.46,1
61.0949,8.1632,8.57,0.1336,33.587,59.5111,7.9516,8.3478,0.1336,32.7163,24.8,1
59.5111,7.9516,8.3478,0.1336,32.7163,59.7511,7.9837,8.3815,0.1336,32.8482,24.9,1
59.7511,7.9837,8.3815,0.1336,32.8482,57.5914,7.6951,8.0785,0.1336,31.6609,24.0,1
57.5914,7.6951,8.0785,0.1336,31.6609,57.4714,7.6791,8.0617,0.1336,31.595,23.95,1
57.4714,7.6791,8.0617,0.1336,31.595,56.1516,7.5027,7.8766,0.1336,30.8694,23.4,1
56.1516,7.5027,7.8766,0.1336,30.8694,55.1918,7.3745,7.7419,0.1336,30.3417,23.0,1
55.1918,7.3745,7.7419,0.1336,30.3417,55.2878,7.3873,7.7554,0.1336,30.3945,23.04,1
55.2878,7.3873,7.7554,0.1336,30.3945,54.3519,7.2623,7.6241,0.1336,29.88,22.65,1
54.3519,7.2623,7.6241,0.1336,29.88,54.6878,7.3072,7.6713,0.1336,30.0647,22.79,1
54.6878,7.3072,7.6713,0.1336,30.0647,56.1516,7.5027,7.8766,0.1336,30.8694,23.4,1
56.1516,7.5027,7.8766,0.1336,30.8694,56.8715,7.5989,7.9776,0.1336,31.2652,23.7,1
56.8715,7.5989,7.9776,0.1336,31.2652,56.7515,7.5829,7.9607,0.1336,31.1992,23.65,1
56.7515,7.5829,7.9607,0.1336,31.1992,59.3911,7.9356,8.331,0.1336,32.6503,24.75,1
59.3911,7.9356,8.331,0.1336,32.6503,59.0312,7.8875,8.2805,0.1336,32.4525,24.6,1
