@RELATION "B3 - GFSA3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-30.568,10.9054,28.6323,-0.3568,-37.8356,-31.8737,11.3712,29.8553,-0.3568,-39.4517,498.41,1
-31.8737,11.3712,29.8553,-0.3568,-39.4517,-30.7984,10.9876,28.8481,-0.3568,-38.1208,481.5962,1
-30.7984,10.9876,28.8481,-0.3568,-38.1208,-30.6448,10.9328,28.7042,-0.3568,-37.9307,479.1942,1
-30.6448,10.9328,28.7042,-0.3568,-37.9307,-31.336,11.1794,29.3517,-0.3568,-38.7862,490.0031,1
-31.336,11.1794,29.3517,-0.3568,-38.7862,-31.4128,11.2068,29.4236,-0.3568,-38.8813,491.2041,1
-31.4128,11.2068,29.4236,-0.3568,-38.8813,-30.7216,10.9602,28.7761,-0.3568,-38.0257,480.3952,1
-30.7216,10.9602,28.7761,-0.3568,-38.0257,-29.7231,10.604,27.8409,-0.3568,-36.7899,464.7824,1
-29.7231,10.604,27.8409,-0.3568,-36.7899,-28.1871,10.056,26.4021,-0.3568,-34.8886,440.7626,1
-28.1871,10.056,26.4021,-0.3568,-34.8886,-29.4927,10.5218,27.6251,-0.3568,-36.5047,461.1794,1
-29.4927,10.5218,27.6251,-0.3568,-36.5047,-29.1087,10.3848,27.2654,-0.3568,-36.0294,455.1745,1
-29.1087,10.3848,27.2654,-0.3568,-36.0294,-29.1087,10.3848,27.2654,-0.3568,-36.0294,455.1745,1
-29.1087,10.3848,27.2654,-0.3568,-36.0294,-27.4958,9.8094,25.7547,-0.3568,-34.033,429.9537,1
-27.4958,9.8094,25.7547,-0.3568,-34.033,-27.1886,9.6998,25.4669,-0.3568,-33.6528,425.1498,1
