@RELATION "B3 - MYPK3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
22.0154,5.3548,2.4606,0.2432,15.4294,22.2218,5.405,2.4837,0.2432,15.5741,32.3,0
22.2218,5.405,2.4837,0.2432,15.5741,22.7722,5.5389,2.5452,0.2432,15.9598,33.1,0
22.7722,5.5389,2.5452,0.2432,15.9598,23.3363,5.6761,2.6082,0.2432,16.3552,33.92,0
23.3363,5.6761,2.6082,0.2432,16.3552,23.1437,5.6292,2.5867,0.2432,16.2202,33.64,0
23.1437,5.6292,2.5867,0.2432,16.2202,22.4557,5.4619,2.5098,0.2432,15.738,32.64,0
22.4557,5.4619,2.5098,0.2432,15.738,22.7722,5.5389,2.5452,0.2432,15.9598,33.1,0
22.7722,5.5389,2.5452,0.2432,15.9598,23.2193,5.6476,2.5952,0.2432,16.2732,33.75,0
23.2193,5.6476,2.5952,0.2432,16.2732,23.1918,5.6409,2.5921,0.2432,16.2539,33.71,0
23.1918,5.6409,2.5921,0.2432,16.2539,22.9097,5.5723,2.5606,0.2432,16.0563,33.3,0
22.9097,5.5723,2.5606,0.2432,16.0563,23.4601,5.7062,2.6221,0.2432,16.442,34.1,0
23.4601,5.7062,2.6221,0.2432,16.442,24.2857,5.907,2.7143,0.2432,17.0206,35.3,0
24.2857,5.907,2.7143,0.2432,17.0206,24.4233,5.9405,2.7297,0.2432,17.117,35.5,0
24.4233,5.9405,2.7297,0.2432,17.117,23.7353,5.7731,2.6528,0.2432,16.6349,34.5,0
23.7353,5.7731,2.6528,0.2432,16.6349,24.2169,5.8903,2.7067,0.2432,16.9724,35.2,0
24.2169,5.8903,2.7067,0.2432,16.9724,24.5678,5.9756,2.7459,0.2432,17.2183,35.71,0
24.5678,5.9756,2.7459,0.2432,17.2183,25.1801,6.1246,2.8143,0.2432,17.6474,36.6,0
25.1801,6.1246,2.8143,0.2432,17.6474,23.8729,5.8066,2.6682,0.2432,16.7313,34.7,0
23.8729,5.8066,2.6682,0.2432,16.7313,24.2376,5.8953,2.709,0.2432,16.9868,35.23,0
24.2376,5.8953,2.709,0.2432,16.9868,25.0425,6.0911,2.7989,0.2432,17.551,36.4,0
25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,36.55,0
25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,36.4,0
25.0425,6.0911,2.7989,0.2432,17.551,25.0081,6.0827,2.7951,0.2432,17.5269,36.35,0
25.0081,6.0827,2.7951,0.2432,17.5269,24.7604,6.0225,2.7674,0.2432,17.3533,35.99,0
24.7604,6.0225,2.7674,0.2432,17.3533,25.4553,6.1915,2.8451,0.2432,17.8403,37.0,0
25.4553,6.1915,2.8451,0.2432,17.8403,25.4209,6.1831,2.8412,0.2432,17.8162,36.95,0
25.4209,6.1831,2.8412,0.2432,17.8162,25.4553,6.1915,2.8451,0.2432,17.8403,37.0,0
25.4553,6.1915,2.8451,0.2432,17.8403,25.6135,6.23,2.8628,0.2432,17.9512,37.23,0
25.6135,6.23,2.8628,0.2432,17.9512,25.6273,6.2333,2.8643,0.2432,17.9608,37.25,0
25.6273,6.2333,2.8643,0.2432,17.9608,24.3545,5.9237,2.722,0.2432,17.0688,35.4,0
24.3545,5.9237,2.722,0.2432,17.0688,23.6665,5.7564,2.6451,0.2432,16.5866,34.4,0
23.6665,5.7564,2.6451,0.2432,16.5866,23.8729,5.8066,2.6682,0.2432,16.7313,34.7,0
