@RELATION "B3 - RADL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
85.3667,2.6642,2.5291,0.0312,67.7505,84.8858,2.6492,2.5148,0.0312,67.3688,3.3942,1
84.8858,2.6492,2.5148,0.0312,67.3688,83.6834,2.6117,2.4792,0.0312,66.4146,3.3462,1
83.6834,2.6117,2.4792,0.0312,66.4146,85.3667,2.6642,2.5291,0.0312,67.7505,3.4135,1
85.3667,2.6642,2.5291,0.0312,67.7505,87.5309,2.7317,2.5932,0.0312,69.4682,3.5,1
87.5309,2.7317,2.5932,0.0312,69.4682,86.9057,2.7122,2.5747,0.0312,68.972,3.475,1
86.9057,2.7122,2.5747,0.0312,68.972,86.0881,2.6867,2.5504,0.0312,68.3231,3.4423,1
86.0881,2.6867,2.5504,0.0312,68.3231,86.5691,2.7017,2.5647,0.0312,68.7048,3.4615,1
86.5691,2.7017,2.5647,0.0312,68.7048,84.6453,2.6417,2.5077,0.0312,67.178,3.3846,1
84.6453,2.6417,2.5077,0.0312,67.178,84.4048,2.6342,2.5006,0.0312,66.9872,3.375,1
84.4048,2.6342,2.5006,0.0312,66.9872,84.1644,2.6267,2.4935,0.0312,66.7963,3.3654,1
84.1644,2.6267,2.4935,0.0312,66.7963,87.5309,2.7317,2.5932,0.0312,69.4682,3.5,1
87.5309,2.7317,2.5932,0.0312,69.4682,89.4547,2.7918,2.6502,0.0312,70.9949,3.5769,1
89.4547,2.7918,2.6502,0.0312,70.9949,90.8975,2.8368,2.6929,0.0312,72.14,3.6346,1
90.8975,2.8368,2.6929,0.0312,72.14,88.9738,2.7768,2.6359,0.0312,70.6132,3.5577,1
88.9738,2.7768,2.6359,0.0312,70.6132,93.6389,2.9224,2.7741,0.0312,74.3157,3.7442,1
93.6389,2.9224,2.7741,0.0312,74.3157,96.1878,3.0019,2.8497,0.0312,76.3386,3.8462,1
96.1878,3.0019,2.8497,0.0312,76.3386,97.6307,3.0469,2.8924,0.0312,77.4837,3.9038,1
97.6307,3.0469,2.8924,0.0312,77.4837,97.3902,3.0394,2.8853,0.0312,77.2929,3.8942,1
97.3902,3.0394,2.8853,0.0312,77.2929,96.1878,3.0019,2.8497,0.0312,76.3386,3.8462,1
96.1878,3.0019,2.8497,0.0312,76.3386,96.6688,3.0169,2.8639,0.0312,76.7203,3.8654,1
96.6688,3.0169,2.8639,0.0312,76.7203,97.1497,3.0319,2.8782,0.0312,77.102,3.8846,1
97.1497,3.0319,2.8782,0.0312,77.102,99.0735,3.092,2.9352,0.0312,78.6288,3.9615,1
99.0735,3.092,2.9352,0.0312,78.6288,98.7849,3.083,2.9266,0.0312,78.3998,3.95,1
98.7849,3.083,2.9266,0.0312,78.3998,100.2758,3.1295,2.9708,0.0312,79.583,4.0096,1
100.2758,3.1295,2.9708,0.0312,79.583,100.9972,3.152,2.9921,0.0312,80.1556,4.0385,1
100.9972,3.152,2.9921,0.0312,80.1556,98.1116,3.0619,2.9067,0.0312,77.8654,3.9231,1
98.1116,3.0619,2.9067,0.0312,77.8654,96.1878,3.0019,2.8497,0.0312,76.3386,3.8462,1
96.1878,3.0019,2.8497,0.0312,76.3386,96.4764,3.0109,2.8582,0.0312,76.5677,3.8577,1
96.4764,3.0109,2.8582,0.0312,76.5677,100.5163,3.137,2.9779,0.0312,79.7739,4.0192,1
100.5163,3.137,2.9779,0.0312,79.7739,101.8629,3.179,3.0178,0.0312,80.8426,4.0731,1
