@RELATION "B3 - FESA4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
10.5552,0.8749,1.4888,0.0829,14.6872,10.6235,0.8806,1.4985,0.0829,14.7822,10.9,1
10.6235,0.8806,1.4985,0.0829,14.7822,10.526,0.8725,1.4847,0.0829,14.6465,10.8,1
10.526,0.8725,1.4847,0.0829,14.6465,10.8281,0.8975,1.5273,0.0829,15.067,11.11,1
10.8281,0.8975,1.5273,0.0829,15.067,10.9938,0.9113,1.5507,0.0829,15.2975,11.28,1
10.9938,0.9113,1.5507,0.0829,15.2975,10.8184,0.8967,1.5259,0.0829,15.0534,11.1,1
10.8184,0.8967,1.5259,0.0829,15.0534,10.9159,0.9048,1.5397,0.0829,15.189,11.2,1
10.9159,0.9048,1.5397,0.0829,15.189,10.7209,0.8887,1.5122,0.0829,14.9178,11.0,1
10.7209,0.8887,1.5122,0.0829,14.9178,10.6235,0.8806,1.4985,0.0829,14.7822,10.9,1
10.6235,0.8806,1.4985,0.0829,14.7822,11.101,0.9202,1.5658,0.0829,15.4467,11.39,1
11.101,0.9202,1.5658,0.0829,15.4467,11.1595,0.925,1.5741,0.0829,15.528,11.45,1
11.1595,0.925,1.5741,0.0829,15.528,10.9353,0.9064,1.5424,0.0829,15.2161,11.22,1
10.9353,0.9064,1.5424,0.0829,15.2161,10.9548,0.908,1.5452,0.0829,15.2433,11.24,1
10.9548,0.908,1.5452,0.0829,15.2433,11.0133,0.9129,1.5534,0.0829,15.3246,11.3,1
11.0133,0.9129,1.5534,0.0829,15.3246,11.1985,0.9282,1.5796,0.0829,15.5823,11.49,1
11.1985,0.9282,1.5796,0.0829,15.5823,11.101,0.9202,1.5658,0.0829,15.4467,11.39,1
11.101,0.9202,1.5658,0.0829,15.4467,10.8184,0.8967,1.5259,0.0829,15.0534,11.1,1
10.8184,0.8967,1.5259,0.0829,15.0534,11.218,0.9299,1.5823,0.0829,15.6094,11.51,1
11.218,0.9299,1.5823,0.0829,15.6094,11.0718,0.9177,1.5617,0.0829,15.406,11.36,1
11.0718,0.9177,1.5617,0.0829,15.406,11.0718,0.9177,1.5617,0.0829,15.406,11.36,1
11.0718,0.9177,1.5617,0.0829,15.406,10.9061,0.904,1.5383,0.0829,15.1754,11.19,1
10.9061,0.904,1.5383,0.0829,15.1754,10.9353,0.9064,1.5424,0.0829,15.2161,11.22,1
10.9353,0.9064,1.5424,0.0829,15.2161,11.1108,0.921,1.5672,0.0829,15.4602,11.4,1
11.1108,0.921,1.5672,0.0829,15.4602,10.5065,0.8709,1.482,0.0829,14.6194,10.78,1
10.5065,0.8709,1.482,0.0829,14.6194,10.7014,0.887,1.5095,0.0829,14.8907,10.98,1
10.7014,0.887,1.5095,0.0829,14.8907,10.7989,0.8951,1.5232,0.0829,15.0263,11.08,1
10.7989,0.8951,1.5232,0.0829,15.0263,10.8184,0.8967,1.5259,0.0829,15.0534,11.1,1
10.8184,0.8967,1.5259,0.0829,15.0534,10.9061,0.904,1.5383,0.0829,15.1754,11.19,1
10.9061,0.904,1.5383,0.0829,15.1754,11.0133,0.9129,1.5534,0.0829,15.3246,11.3,1
11.0133,0.9129,1.5534,0.0829,15.3246,11.0133,0.9129,1.5534,0.0829,15.3246,11.3,1
11.0133,0.9129,1.5534,0.0829,15.3246,10.9841,0.9105,1.5493,0.0829,15.2839,11.27,1
10.9841,0.9105,1.5493,0.0829,15.2839,10.8086,0.8959,1.5246,0.0829,15.0398,11.09,1
10.8086,0.8959,1.5246,0.0829,15.0398,10.9061,0.904,1.5383,0.0829,15.1754,11.19,1
10.9061,0.904,1.5383,0.0829,15.1754,10.9938,0.9113,1.5507,0.0829,15.2975,11.28,1
10.9938,0.9113,1.5507,0.0829,15.2975,11.2277,0.9307,1.5837,0.0829,15.623,11.52,0
11.2277,0.9307,1.5837,0.0829,15.623,11.0328,0.9145,1.5562,0.0829,15.3517,11.32,1
11.0328,0.9145,1.5562,0.0829,15.3517,11.0328,0.9145,1.5562,0.0829,15.3517,11.32,1
11.0328,0.9145,1.5562,0.0829,15.3517,10.9159,0.9048,1.5397,0.0829,15.189,11.2,1
10.9159,0.9048,1.5397,0.0829,15.189,10.8574,0.9,1.5314,0.0829,15.1076,11.14,1
10.8574,0.9,1.5314,0.0829,15.1076,10.7307,0.8895,1.5136,0.0829,14.9313,11.01,1
10.7307,0.8895,1.5136,0.0829,14.9313,10.8281,0.8975,1.5273,0.0829,15.067,11.11,1
10.8281,0.8975,1.5273,0.0829,15.067,10.7014,0.887,1.5095,0.0829,14.8907,10.98,1
10.7014,0.887,1.5095,0.0829,14.8907,10.565,0.8757,1.4902,0.0829,14.7008,10.84,1
10.565,0.8757,1.4902,0.0829,14.7008,12.1012,0.8152,1.443,0.0674,19.255,10.28,1
12.1012,0.8152,1.443,0.0674,19.255,12.0424,0.8113,1.436,0.0674,19.1613,10.23,1
12.0424,0.8113,1.436,0.0674,19.1613,11.5715,0.7796,1.3798,0.0674,18.4121,9.83,1
11.5715,0.7796,1.3798,0.0674,18.4121,11.1948,0.7542,1.3349,0.0674,17.8127,9.51,1
11.1948,0.7542,1.3349,0.0674,17.8127,11.2772,0.7597,1.3447,0.0674,17.9438,9.58,1
11.2772,0.7597,1.3447,0.0674,17.9438,11.4185,0.7693,1.3616,0.0674,18.1686,9.7,1
11.4185,0.7693,1.3616,0.0674,18.1686,11.4891,0.774,1.37,0.0674,18.281,9.76,1
11.4891,0.774,1.37,0.0674,18.281,11.4891,0.774,1.37,0.0674,18.281,9.76,1
11.4891,0.774,1.37,0.0674,18.281,11.7716,0.793,1.4037,0.0674,18.7305,10.0,1
