@RELATION "B3 - GGBR4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.784,1.1862,15.2162,0.0802,12.3457,14.8007,1.1876,15.2334,0.0802,12.3597,16.8952,1
14.8007,1.1876,15.2334,0.0802,12.3597,14.6922,1.1789,15.1218,0.0802,12.2691,16.7714,1
14.6922,1.1789,15.1218,0.0802,12.2691,14.834,1.1902,15.2677,0.0802,12.3875,16.9333,1
14.834,1.1902,15.2677,0.0802,12.3875,14.5837,1.1702,15.0101,0.0802,12.1785,16.6476,1
14.5837,1.1702,15.0101,0.0802,12.1785,14.7172,1.1809,15.1475,0.0802,12.29,16.8,1
14.7172,1.1809,15.1475,0.0802,12.29,14.9759,1.2016,15.4137,0.0802,12.506,17.0952,1
14.9759,1.2016,15.4137,0.0802,12.506,15.1511,1.2157,15.594,0.0802,12.6523,17.2952,1
15.1511,1.2157,15.594,0.0802,12.6523,15.3179,1.2291,15.7658,0.0802,12.7916,17.4857,1
15.3179,1.2291,15.7658,0.0802,12.7916,15.0509,1.2076,15.491,0.0802,12.5687,17.181,1
15.0509,1.2076,15.491,0.0802,12.5687,14.3168,1.1487,14.7353,0.0802,11.9556,16.3429,1
14.3168,1.1487,14.7353,0.0802,11.9556,14.2667,1.1447,14.6838,0.0802,11.9138,16.2857,1
14.2667,1.1447,14.6838,0.0802,11.9138,14.517,1.1648,14.9414,0.0802,12.1228,16.5714,1
14.517,1.1648,14.9414,0.0802,12.1228,14.9008,1.1956,15.3364,0.0802,12.4433,17.0095,1
14.9008,1.1956,15.3364,0.0802,12.4433,14.9091,1.1963,15.345,0.0802,12.4502,17.019,1
14.9091,1.1963,15.345,0.0802,12.4502,15.685,1.2585,16.1436,0.0802,13.0982,17.9048,0
15.685,1.2585,16.1436,0.0802,13.0982,15.952,1.2799,16.4184,0.0802,13.3211,18.2095,0
15.952,1.2799,16.4184,0.0802,13.3211,15.9603,1.2806,16.427,0.0802,13.3281,18.219,0
15.9603,1.2806,16.427,0.0802,13.3281,15.9937,1.2833,16.4613,0.0802,13.356,18.2571,0
15.9937,1.2833,16.4613,0.0802,13.356,15.977,1.282,16.4442,0.0802,13.342,18.2381,0
15.977,1.282,16.4442,0.0802,13.342,15.6266,1.2538,16.0835,0.0802,13.0494,17.8381,0
15.6266,1.2538,16.0835,0.0802,13.0494,15.418,1.2371,15.8688,0.0802,12.8752,17.6,0
15.418,1.2371,15.8688,0.0802,12.8752,14.9508,1.1996,15.388,0.0802,12.4851,17.0667,0
14.9508,1.1996,15.388,0.0802,12.4851,15.4931,1.2431,15.9461,0.0802,12.9379,17.6857,0
15.4931,1.2431,15.9461,0.0802,12.9379,15.685,1.2585,16.1436,0.0802,13.0982,17.9048,0
15.685,1.2585,16.1436,0.0802,13.0982,15.3263,1.2297,15.7744,0.0802,12.7986,17.4952,0
15.3263,1.2297,15.7744,0.0802,12.7986,14.834,1.1902,15.2677,0.0802,12.3875,16.9333,0
14.834,1.1902,15.2677,0.0802,12.3875,14.9425,1.1989,15.3794,0.0802,12.4781,17.0571,0
14.9425,1.1989,15.3794,0.0802,12.4781,14.567,1.1688,14.993,0.0802,12.1646,16.6286,0
14.567,1.1688,14.993,0.0802,12.1646,15.0593,1.2083,15.4996,0.0802,12.5756,17.1905,0
15.0593,1.2083,15.4996,0.0802,12.5756,14.7506,1.1835,15.1819,0.0802,12.3179,16.8381,0
14.7506,1.1835,15.1819,0.0802,12.3179,14.3918,1.1548,14.8126,0.0802,12.0183,16.4286,1
14.3918,1.1548,14.8126,0.0802,12.0183,14.4586,1.1601,14.8813,0.0802,12.074,16.5048,0
14.4586,1.1601,14.8813,0.0802,12.074,14.2417,1.1427,14.6581,0.0802,11.8929,16.2571,0
14.2417,1.1427,14.6581,0.0802,11.8929,14.0414,1.1266,14.452,0.0802,11.7256,16.0286,0
14.0414,1.1266,14.452,0.0802,11.7256,14.0831,1.13,14.4949,0.0802,11.7605,16.0762,0
14.0831,1.13,14.4949,0.0802,11.7605,14.6672,1.1769,15.096,0.0802,12.2482,16.7429,0
14.6672,1.1769,15.096,0.0802,12.2482,14.5003,1.1635,14.9243,0.0802,12.1088,16.5524,0
14.5003,1.1635,14.9243,0.0802,12.1088,14.3835,1.1541,14.804,0.0802,12.0113,16.419,0
14.3835,1.1541,14.804,0.0802,12.0113,14.6004,1.1715,15.0273,0.0802,12.1924,16.6667,0
14.6004,1.1715,15.0273,0.0802,12.1924,15.1344,1.2143,15.5769,0.0802,12.6383,17.2762,0
15.1344,1.2143,15.5769,0.0802,12.6383,14.8757,1.1936,15.3107,0.0802,12.4224,16.981,0
14.8757,1.1936,15.3107,0.0802,12.4224,14.9341,1.1983,15.3708,0.0802,12.4711,17.0476,0
14.9341,1.1983,15.3708,0.0802,12.4711,14.4669,1.1608,14.8899,0.0802,12.081,16.5143,0
14.4669,1.1608,14.8899,0.0802,12.081,14.7506,1.1835,15.1819,0.0802,12.3179,16.8381,0
14.7506,1.1835,15.1819,0.0802,12.3179,14.8507,1.1916,15.2849,0.0802,12.4015,16.9524,0
14.8507,1.1916,15.2849,0.0802,12.4015,15.0176,1.205,15.4567,0.0802,12.5408,17.1429,0
15.0176,1.205,15.4567,0.0802,12.5408,14.8507,1.1916,15.2849,0.0802,12.4015,16.9524,0
14.8507,1.1916,15.2849,0.0802,12.4015,14.9508,1.1996,15.388,0.0802,12.4851,17.0667,0
14.9508,1.1996,15.388,0.0802,12.4851,14.8591,1.1922,15.2935,0.0802,12.4084,16.9619,0
14.8591,1.1922,15.2935,0.0802,12.4084,14.492,1.1628,14.9157,0.0802,12.1019,16.5429,0
