@RELATION "B3 - ENBR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.3437,1.7416,5794.856,0.1066,15.9588,16.7385,1.7837,5934.8284,0.1066,16.3442,14.1333,0
16.7385,1.7837,5934.8284,0.1066,16.3442,16.8095,1.7912,5960.0234,0.1066,16.4136,14.1933,0
16.8095,1.7912,5960.0234,0.1066,16.4136,17.1846,1.8312,6092.9971,0.1066,16.7798,14.51,0
17.1846,1.8312,6092.9971,0.1066,16.7798,17.3701,1.851,6158.7842,0.1066,16.961,14.6667,0
17.3701,1.851,6158.7842,0.1066,16.961,16.9753,1.8089,6018.8118,0.1066,16.5755,14.3333,0
16.9753,1.8089,6018.8118,0.1066,16.5755,16.5411,1.7626,5864.8422,0.1066,16.1515,13.9667,0
16.5411,1.7626,5864.8422,0.1066,16.1515,16.549,1.7635,5867.6416,0.1066,16.1592,13.9733,0
16.549,1.7635,5867.6416,0.1066,16.1592,16.6635,1.7757,5908.2336,0.1066,16.271,14.07,0
16.6635,1.7757,5908.2336,0.1066,16.271,16.5806,1.7668,5878.8394,0.1066,16.1901,14.0,0
16.5806,1.7668,5878.8394,0.1066,16.1901,16.4227,1.75,5822.8505,0.1066,16.0359,13.8667,0
16.4227,1.75,5822.8505,0.1066,16.0359,16.5056,1.7588,5852.2447,0.1066,16.1168,13.9367,0
16.5056,1.7588,5852.2447,0.1066,16.1168,16.6793,1.7774,5913.8325,0.1066,16.2864,14.0833,0
16.6793,1.7774,5913.8325,0.1066,16.2864,16.5766,1.7664,5877.4397,0.1066,16.1862,13.9967,0
16.5766,1.7664,5877.4397,0.1066,16.1862,16.4029,1.7479,5815.8519,0.1066,16.0166,13.85,0
16.4029,1.7479,5815.8519,0.1066,16.0166,16.2568,1.7323,5764.0621,0.1066,15.874,13.7267,0
16.2568,1.7323,5764.0621,0.1066,15.874,16.5332,1.7618,5862.0427,0.1066,16.1438,13.96,0
16.5332,1.7618,5862.0427,0.1066,16.1438,16.6398,1.7731,5899.8353,0.1066,16.2479,14.05,0
16.6398,1.7731,5899.8353,0.1066,16.2479,16.7701,1.787,5946.0262,0.1066,16.3751,14.16,0
16.7701,1.787,5946.0262,0.1066,16.3751,16.6437,1.7736,5901.235,0.1066,16.2517,14.0533,0
16.6437,1.7736,5901.235,0.1066,16.2517,16.7266,1.7824,5930.6292,0.1066,16.3327,14.1233,0
16.7266,1.7824,5930.6292,0.1066,16.3327,16.7385,1.7837,5934.8284,0.1066,16.3442,14.1333,0
16.7385,1.7837,5934.8284,0.1066,16.3442,16.6714,1.7765,5911.0331,0.1066,16.2787,14.0767,0
16.6714,1.7765,5911.0331,0.1066,16.2787,16.0121,1.7063,5677.2792,0.1066,15.635,13.52,0
16.0121,1.7063,5677.2792,0.1066,15.635,15.7515,1.6785,5584.8974,0.1066,15.3806,13.3,0
