@RELATION "B3 - PDGR3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
283500.0336,294500.0349,282500.0335,292000.0346,3590.2847,265500.0315,284500.0337,260500.0309,282500.0335,5390.438,0
265500.0315,284500.0337,260500.0309,282500.0335,5390.438,251500.0298,272000.0322,248500.0294,269500.0319,5440.6715,1
251500.0298,272000.0322,248500.0294,269500.0319,5440.6715,267500.0317,267500.0317,248500.0294,255500.0303,3446.0128,0
267500.0317,267500.0317,248500.0294,255500.0303,3446.0128,255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,1
255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,0
263000.0312,269000.0319,253000.03,259000.0307,2769.2996,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,0
256000.0303,270000.032,256000.0303,268000.0318,2850.5379,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,0
250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,245000.029,258000.0306,245000.029,250000.0296,3763.3896,0
245000.029,258000.0306,245000.029,250000.0296,3763.3896,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,0
238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,1
225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,1
230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,1
233000.0276,237500.0281,227500.027,233500.0277,2446.1395,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,0
238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,0
229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,1
225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,235500.0279,235500.0279,221000.0262,225000.0267,2472.6977,1
235500.0279,235500.0279,221000.0262,225000.0267,2472.6977,250500.0297,251000.0297,233500.0277,235500.0279,4041.946,1
250500.0297,251000.0297,233500.0277,235500.0279,4041.946,255000.0302,255000.0302,243500.0289,254000.0301,6125.9314,0
255000.0302,255000.0302,243500.0289,254000.0301,6125.9314,251000.0297,259000.0307,250500.0297,255000.0302,4170.4584,1
251000.0297,259000.0307,250500.0297,255000.0302,4170.4584,258500.0306,258500.0306,241000.0286,246500.0292,3420.3873,0
258500.0306,258500.0306,241000.0286,246500.0292,3420.3873,251000.0297,258500.0306,244000.0289,246500.0292,3213.3797,0
251000.0297,258500.0306,244000.0289,246500.0292,3213.3797,235000.0278,257500.0305,235000.0278,252500.0299,2720.8725,0
235000.0278,257500.0305,235000.0278,252500.0299,2720.8725,226500.0268,241000.0286,225500.0267,230500.0273,3028.5867,0
226500.0268,241000.0286,225500.0267,230500.0273,3028.5867,203500.0241,221500.0262,203000.0241,221000.0262,4743.997,0
203500.0241,221500.0262,203000.0241,221000.0262,4743.997,183500.0217,202000.0239,182000.0216,197500.0234,5230.9738,0
183500.0217,202000.0239,182000.0216,197500.0234,5230.9738,182500.0216,191500.0227,176500.0209,188000.0223,3786.5101,0
182500.0216,191500.0227,176500.0209,188000.0223,3786.5101,170500.0202,187500.0222,167500.0198,183000.0217,2572.7069,0
170500.0202,187500.0222,167500.0198,183000.0217,2572.7069,158500.0188,174000.0206,155500.0184,172500.0204,4421.6101,1
158500.0188,174000.0206,155500.0184,172500.0204,4421.6101,167500.0198,170500.0202,157000.0186,159000.0188,3075.8828,0
167500.0198,170500.0202,157000.0186,159000.0188,3075.8828,148500.0176,165500.0196,148500.0176,164500.0195,3155.471,1
148500.0176,165500.0196,148500.0176,164500.0195,3155.471,153500.0182,156500.0185,143500.017,146000.0173,3038.3364,1
153500.0182,156500.0185,143500.017,146000.0173,3038.3364,170500.0202,170500.0202,149500.0177,154000.0182,4078.7653,1
170500.0202,170500.0202,149500.0177,154000.0182,4078.7653,180000.0213,185500.022,164500.0195,169000.02,3785.2359,1
180000.0213,185500.022,164500.0195,169000.02,3785.2359,189000.0224,203500.0241,187500.0222,202500.024,4644.7566,0
189000.0224,203500.0241,187500.0222,202500.024,4644.7566,167500.0198,187000.0222,167500.0198,187000.0222,3718.4527,1
167500.0198,187000.0222,167500.0198,187000.0222,3718.4527,170000.0201,174000.0206,156000.0185,159500.0189,4027.7439,0
