@RELATION "B3 - SLCE3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
7.7651,7.8065,7.542,7.542,19466981.8347,8.0544,8.0999,7.8602,7.9759,16993070.3157,1
8.0544,8.0999,7.8602,7.9759,16993070.3157,8.1825,8.2404,7.9056,8.0461,11463879.9461,0
8.1825,8.2404,7.9056,8.0461,11463879.9461,8.1825,8.3396,8.0668,8.199,13523767.3279,0
8.1825,8.3396,8.0668,8.199,13523767.3279,8.0379,8.1701,7.9594,8.0957,10247694.4786,0
8.0379,8.1701,7.9594,8.0957,10247694.4786,7.9759,8.166,7.9759,8.042,3206946.627,0
7.9759,8.166,7.9759,8.042,3206946.627,7.9304,7.9552,7.761,7.9552,6684041.3477,1
7.9304,7.9552,7.761,7.9552,6684041.3477,7.9346,8.0999,7.7238,7.9304,7997149.1982,0
7.9346,8.0999,7.7238,7.9304,7997149.1982,7.9346,7.98,7.7569,7.8519,9755523.1313,1
7.9346,7.98,7.7569,7.8519,9755523.1313,7.9552,7.9552,7.7693,7.8065,3849621.8303,1
7.9552,7.9552,7.7693,7.8065,3849621.8303,8.1412,8.1825,7.885,7.9387,4195678.8258,0
8.1412,8.1825,7.885,7.9387,4195678.8258,8.0172,8.1247,7.9346,8.104,3128828.4543,0
8.0172,8.1247,7.9346,8.104,3128828.4543,7.856,8.0172,7.8395,7.9304,9825835.0522,0
7.856,8.0172,7.8395,7.9304,9825835.0522,7.8519,7.885,7.5502,7.8684,31397685.798,1
7.8519,7.885,7.5502,7.8684,31397685.798,7.9759,8.0172,7.7279,7.8354,4122983.409,1
7.9759,8.0172,7.7279,7.8354,4122983.409,8.0585,8.0585,7.9222,8.0131,4720302.0151,0
8.0585,8.0585,7.9222,8.0131,4720302.0151,8.0172,8.0544,7.8767,8.0544,5437342.2923,0
8.0172,8.0544,7.8767,8.0544,5437342.2923,7.8932,8.0337,7.7982,8.0337,7264585.9498,1
7.8932,8.0337,7.7982,8.0337,7264585.9498,7.9346,7.9346,7.7734,7.8312,5809975.8727,0
7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8519,7.9304,7.6866,7.9304,7543716.3146,0
7.8519,7.9304,7.6866,7.9304,7543716.3146,7.8106,7.8478,7.7569,7.8478,5923877.9421,0
