@RELATION "B3 - HYPE3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.73,11.78,10.96,11.28,101982678.0,12.49,12.51,11.75,11.86,112008203.0,1
12.49,12.51,11.75,11.86,112008203.0,12.6,12.75,12.3,12.39,64285694.0,1
12.6,12.75,12.3,12.39,64285694.0,12.44,12.58,12.0,12.4,44954051.0,1
12.44,12.58,12.0,12.4,44954051.0,12.13,12.65,12.1,12.53,45951725.0,1
12.13,12.65,12.1,12.53,45951725.0,12.25,12.5,12.01,12.13,34487013.0,1
12.25,12.5,12.01,12.13,34487013.0,12.64,12.64,12.0,12.0,58220500.0,1
12.64,12.64,12.0,12.0,58220500.0,12.97,13.09,12.66,12.7,89873613.0,1
12.97,13.09,12.66,12.7,89873613.0,13.05,13.05,12.7,12.85,74704167.0,1
13.05,13.05,12.7,12.85,74704167.0,12.95,13.34,12.81,13.17,82994544.0,1
12.95,13.34,12.81,13.17,82994544.0,13.08,13.2,12.91,13.15,49710093.0,1
13.08,13.2,12.91,13.15,49710093.0,12.92,13.1,12.85,13.07,57454335.0,1
12.92,13.1,12.85,13.07,57454335.0,12.75,12.99,12.37,12.89,46215864.0,1
12.75,12.99,12.37,12.89,46215864.0,12.79,12.83,12.5,12.5,40349732.0,1
12.79,12.83,12.5,12.5,40349732.0,12.85,13.08,12.7,12.79,233503994.0,1
12.85,13.08,12.7,12.79,233503994.0,12.88,13.0,12.45,12.75,56744344.0,1
12.88,13.0,12.45,12.75,56744344.0,12.56,13.05,12.46,12.86,45895543.0,1
12.56,13.05,12.46,12.86,45895543.0,12.6,12.67,12.32,12.5,41076560.0,1
12.6,12.67,12.32,12.5,41076560.0,12.78,12.93,12.43,12.58,25967380.0,1
12.78,12.93,12.43,12.58,25967380.0,12.65,12.7,12.4,12.55,31771577.0,1
12.65,12.7,12.4,12.55,31771577.0,12.28,12.55,12.07,12.54,61921930.0,1
12.28,12.55,12.07,12.54,61921930.0,12.02,12.44,11.94,12.32,51193307.0,1
12.02,12.44,11.94,12.32,51193307.0,12.15,12.25,12.04,12.05,32044618.0,1
12.15,12.25,12.04,12.05,32044618.0,12.45,12.74,12.1,12.1,79904928.0,1
12.45,12.74,12.1,12.1,79904928.0,12.58,12.73,12.33,12.57,29546617.0,1
12.58,12.73,12.33,12.57,29546617.0,12.5,12.87,12.28,12.75,62927656.0,1
12.5,12.87,12.28,12.75,62927656.0,12.5,12.64,12.36,12.46,91462777.0,1
12.5,12.64,12.36,12.46,91462777.0,12.45,12.57,12.26,12.38,34480253.0,1
12.45,12.57,12.26,12.38,34480253.0,12.37,12.59,12.29,12.5,35227183.0,1
12.37,12.59,12.29,12.5,35227183.0,12.11,12.24,11.8,12.2,41504918.0,1
12.11,12.24,11.8,12.2,41504918.0,12.13,12.36,11.95,12.0,34681054.0,1
12.13,12.36,11.95,12.0,34681054.0,12.15,12.35,12.03,12.35,30595662.0,1
12.15,12.35,12.03,12.35,30595662.0,12.26,12.3,11.98,12.01,30417467.0,1
12.26,12.3,11.98,12.01,30417467.0,12.19,12.35,12.12,12.34,21103696.0,1
12.19,12.35,12.12,12.34,21103696.0,12.23,12.39,12.2,12.21,15356253.0,1
12.23,12.39,12.2,12.21,15356253.0,12.45,12.58,12.05,12.18,41335888.0,1
12.45,12.58,12.05,12.18,41335888.0,12.29,12.59,12.11,12.52,32073859.0,1
12.29,12.59,12.11,12.52,32073859.0,11.99,12.37,11.99,12.04,108531389.0,1
11.99,12.37,11.99,12.04,108531389.0,12.68,12.76,12.0,12.04,108381279.0,1
12.68,12.76,12.0,12.04,108381279.0,12.38,12.69,12.01,12.69,90493273.0,1
12.38,12.69,12.01,12.69,90493273.0,12.04,12.25,12.01,12.18,70957867.0,1
12.04,12.25,12.01,12.18,70957867.0,12.15,12.27,11.98,12.19,37770522.0,1
12.15,12.27,11.98,12.19,37770522.0,12.12,12.29,11.9,12.08,28194709.0,1
12.12,12.29,11.9,12.08,28194709.0,11.83,12.08,11.53,11.91,42758201.0,1
11.83,12.08,11.53,11.91,42758201.0,11.58,11.97,11.4,11.73,50530639.0,1
11.58,11.97,11.4,11.73,50530639.0,12.07,12.15,11.33,11.7,47869027.0,1
12.07,12.15,11.33,11.7,47869027.0,11.65,12.07,11.46,12.07,46532640.0,1
11.65,12.07,11.46,12.07,46532640.0,11.48,11.94,11.35,11.7,51011700.0,1
11.48,11.94,11.35,11.7,51011700.0,11.42,11.59,11.27,11.45,50978807.0,1
11.42,11.59,11.27,11.45,50978807.0,10.56,11.39,10.56,11.3,102813107.0,1
