@RELATION "B3 - MRFG3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.23,11.24,10.43,10.43,39455159.0,11.5,11.79,11.23,11.51,66948206.0,0
11.5,11.79,11.23,11.51,66948206.0,11.66,11.7,11.4,11.59,29144170.0,0
11.66,11.7,11.4,11.59,29144170.0,11.46,11.76,11.41,11.49,25348304.0,0
11.46,11.76,11.41,11.49,25348304.0,11.5,11.88,11.4,11.5,21188171.0,0
11.5,11.88,11.4,11.5,21188171.0,11.9,11.99,11.45,11.54,27841765.0,0
11.9,11.99,11.45,11.54,27841765.0,11.8,12.1,11.63,11.94,16852379.0,0
11.8,12.1,11.63,11.94,16852379.0,11.84,11.96,11.44,11.79,17845987.0,0
11.84,11.96,11.44,11.79,17845987.0,12.08,12.1,11.71,11.8,15397580.0,0
12.08,12.1,11.71,11.8,15397580.0,11.86,12.18,11.79,11.96,19226050.0,0
11.86,12.18,11.79,11.96,19226050.0,11.81,12.12,11.55,11.8,22263748.0,0
11.81,12.12,11.55,11.8,22263748.0,11.29,12.01,11.26,11.95,30958064.0,0
11.29,12.01,11.26,11.95,30958064.0,11.63,11.63,11.23,11.25,18033032.0,0
11.63,11.63,11.23,11.25,18033032.0,11.24,11.56,11.12,11.4,16038042.0,1
11.24,11.56,11.12,11.4,16038042.0,11.1,11.45,10.96,11.35,12833207.0,1
11.1,11.45,10.96,11.35,12833207.0,11.35,11.48,10.99,11.21,28676047.0,1
11.35,11.48,10.99,11.21,28676047.0,11.4,11.48,11.28,11.43,35283178.0,1
11.4,11.48,11.28,11.43,35283178.0,11.19,11.37,11.03,11.31,21687840.0,1
11.19,11.37,11.03,11.31,21687840.0,11.01,11.45,11.01,11.2,16772497.0,1
11.01,11.45,11.01,11.2,16772497.0,10.7,10.91,10.42,10.91,47739069.0,1
10.7,10.91,10.42,10.91,47739069.0,10.8,10.91,10.5,10.65,20090777.0,1
10.8,10.91,10.5,10.65,20090777.0,10.89,11.17,10.74,10.98,22859365.0,0
10.89,11.17,10.74,10.98,22859365.0,10.81,10.99,10.62,10.82,10871347.0,0
10.81,10.99,10.62,10.82,10871347.0,10.73,10.96,10.61,10.9,9157072.0,0
10.73,10.96,10.61,10.9,9157072.0,10.49,10.89,10.45,10.73,11640149.0,0
10.49,10.89,10.45,10.73,11640149.0,10.25,10.6,10.23,10.6,22996781.0,0
10.25,10.6,10.23,10.6,22996781.0,9.59,10.32,9.59,10.32,24572715.0,0
9.59,10.32,9.59,10.32,24572715.0,9.9,9.97,9.51,9.58,42597895.0,0
9.9,9.97,9.51,9.58,42597895.0,9.88,9.88,9.58,9.76,21768502.0,0
9.88,9.88,9.58,9.76,21768502.0,9.84,9.84,9.3,9.76,34464416.0,0
9.84,9.84,9.3,9.76,34464416.0,9.6,9.8,9.44,9.69,24851266.0,0
9.6,9.8,9.44,9.69,24851266.0,9.55,9.76,9.47,9.65,13955225.0,0
9.55,9.76,9.47,9.65,13955225.0,9.86,9.98,9.41,9.55,15979262.0,0
9.86,9.98,9.41,9.55,15979262.0,9.14,9.8,9.13,9.72,22574861.0,0
9.14,9.8,9.13,9.72,22574861.0,9.62,9.73,9.32,9.34,31640349.0,0
9.62,9.73,9.32,9.34,31640349.0,9.89,10.07,9.75,9.75,26132641.0,0
9.89,10.07,9.75,9.75,26132641.0,9.7,10.17,9.7,9.9,25333438.0,0
9.7,10.17,9.7,9.9,25333438.0,9.65,10.05,9.44,9.79,41158655.0,0
9.65,10.05,9.44,9.79,41158655.0,9.78,9.94,9.56,9.7,14112970.0,0
9.78,9.94,9.56,9.7,14112970.0,9.25,9.78,9.22,9.78,24951277.0,0
