@RELATION "B3 - ODPV3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.3399,9.5953,9.2527,9.5019,103036287.406,9.1903,9.4894,9.1062,9.4894,22256986.4497,1
9.1903,9.4894,9.1062,9.4894,22256986.4497,9.0502,9.1903,8.8788,9.1903,22177804.9031,1
9.0502,9.1903,8.8788,9.1903,22177804.9031,9.128,9.1592,8.9878,9.1592,27425389.5273,1
9.128,9.1592,8.9878,9.1592,27425389.5273,9.2495,9.3461,9.1467,9.1903,47414149.5101,1
9.2495,9.3461,9.1467,9.1903,47414149.5101,9.2838,9.343,9.1312,9.343,12980917.0659,1
9.2838,9.343,9.1312,9.343,12980917.0659,9.5019,9.6327,9.1685,9.1748,25068913.577,1
9.5019,9.6327,9.1685,9.1748,25068913.577,9.3804,9.533,9.3274,9.5175,22002493.5952,1
9.3804,9.533,9.3274,9.5175,22002493.5952,9.5299,9.5299,9.2994,9.4832,14607425.696,1
9.5299,9.5299,9.2994,9.4832,14607425.696,9.3523,9.533,9.2994,9.4427,18755944.2618,1
9.3523,9.533,9.2994,9.4427,18755944.2618,9.3461,9.4333,9.1156,9.4147,267767543.7931,1
9.3461,9.4333,9.1156,9.4147,267767543.7931,9.2776,9.4084,9.2433,9.4084,19471313.006,1
9.2776,9.4084,9.2433,9.4084,19471313.006,9.2059,9.4084,9.1841,9.1841,70692237.0196,1
9.2059,9.4084,9.1841,9.1841,70692237.0196,9.2963,9.3461,9.2059,9.3337,18387680.0949,1
9.2963,9.3461,9.2059,9.3337,18387680.0949,9.315,9.3461,9.1592,9.2869,23990413.2787,1
9.315,9.3461,9.1592,9.2869,23990413.2787,9.424,9.4707,9.2651,9.3274,83371353.8841,1
9.424,9.4707,9.2651,9.3274,83371353.8841,9.7044,9.7231,9.3243,9.4614,54907090.1406,0
9.7044,9.7231,9.3243,9.4614,54907090.1406,9.7511,9.963,9.6639,9.7137,90272888.481,1
9.7511,9.963,9.6639,9.7137,90272888.481,9.72,9.8197,9.5642,9.7667,43185935.8155,1
9.72,9.8197,9.5642,9.7667,43185935.8155,9.4552,9.7075,9.2371,9.6358,36834624.3739,1
9.4552,9.7075,9.2371,9.6358,36834624.3739,9.6577,9.6577,9.1903,9.4707,47502209.6101,1
9.6577,9.6577,9.1903,9.4707,47502209.6101,9.6732,9.7168,9.5611,9.7106,28415505.5267,1
9.6732,9.7168,9.5611,9.7106,28415505.5267,9.262,9.6452,9.262,9.6265,7616949.3495,1
9.262,9.6452,9.262,9.6265,7616949.3495,9.5237,9.5891,9.1498,9.262,19871682.4845,1
9.5237,9.5891,9.1498,9.262,19871682.4845,9.3461,9.5237,9.3274,9.5237,11027979.8247,1
9.3461,9.5237,9.3274,9.5237,11027979.8247,9.3461,9.3555,9.2433,9.3555,4686162.1654,1
9.3461,9.3555,9.2433,9.3555,4686162.1654,9.1405,9.533,9.0844,9.3461,8214682.0747,1
9.1405,9.533,9.0844,9.3461,8214682.0747,8.9816,9.234,8.8882,9.2059,18766375.3317,1
8.9816,9.234,8.8882,9.2059,18766375.3317,9.1592,9.4396,8.9723,9.1872,20552771.7521,1
9.1592,9.4396,8.9723,9.1872,20552771.7521,9.1031,9.3368,9.0377,9.3368,16097720.5384,1
9.1031,9.3368,9.0377,9.3368,16097720.5384,9.1312,9.3368,8.991,9.0283,11853486.2868,1
9.1312,9.3368,8.991,9.0283,11853486.2868,9.2059,9.4396,9.0938,9.2994,27931049.791,1
9.2059,9.4396,9.0938,9.2994,27931049.791,9.234,9.477,9.1592,9.2059,26872871.3012,1
9.234,9.477,9.1592,9.2059,26872871.3012,9.3461,9.3648,9.1125,9.2807,15454226.5629,1
9.3461,9.3648,9.1125,9.2807,15454226.5629,9.4396,9.5237,9.2433,9.3461,8300603.3186,1
9.4396,9.5237,9.2433,9.3461,8300603.3186,9.3461,9.5798,9.2994,9.3648,12336080.2868,1
9.3461,9.5798,9.2994,9.3648,12336080.2868,9.2994,9.4115,9.2059,9.4115,6152514.4444,1
9.2994,9.4115,9.2059,9.4115,6152514.4444,9.6265,9.7106,9.2433,9.2994,25609164.6766,1
9.6265,9.7106,9.2433,9.2994,25609164.6766,9.6452,9.6732,9.3461,9.5611,26618128.0754,1
9.6452,9.6732,9.3461,9.5611,26618128.0754,9.6265,9.6826,9.3648,9.6826,9185983.8437,1
9.6265,9.6826,9.3648,9.6826,9185983.8437,9.505,9.6919,9.3087,9.533,8634444.6338,1
9.505,9.6919,9.3087,9.533,8634444.6338,9.533,9.6732,9.4115,9.5611,30468171.8851,1
9.533,9.6732,9.4115,9.5611,30468171.8851,10.1873,10.262,9.5237,9.6172,29688456.6322,1
10.1873,10.262,9.5237,9.6172,29688456.6322,10.0003,10.1779,9.8602,10.1405,17206637.7466,1
10.0003,10.1779,9.8602,10.1405,17206637.7466,10.1873,10.2714,9.8415,10.0003,17371112.4686,1
10.1873,10.2714,9.8415,10.0003,17371112.4686,10.2247,10.5424,10.0938,10.4209,24435070.6684,0
10.2247,10.5424,10.0938,10.4209,24435070.6684,10.2994,10.2994,9.9723,10.2247,12240404.1897,0
10.2994,10.2994,9.9723,10.2247,12240404.1897,10.5611,10.6546,10.2901,10.2901,15243149.5996,0
10.5611,10.6546,10.2901,10.2901,15243149.5996,10.6359,10.7948,10.4677,10.4863,21522278.1231,0
10.6359,10.7948,10.4677,10.4863,21522278.1231,10.6078,10.692,10.4677,10.6078,16913170.4176,0
10.6078,10.692,10.4677,10.6078,16913170.4176,10.1032,10.8415,10.0751,10.6546,13475961.1561,1
10.1032,10.8415,10.0751,10.6546,13475961.1561,10.6452,10.6452,9.9723,10.1032,8115874.1957,0
10.6452,10.6452,9.9723,10.1032,8115874.1957,9.9069,10.6359,9.9069,10.6265,20908844.7599,1
9.9069,10.6359,9.9069,10.6265,20908844.7599,9.776,10.1686,9.5704,9.9162,12691839.7954,1
9.776,10.1686,9.5704,9.9162,12691839.7954,10.0845,10.2433,9.6732,9.8134,10664024.3991,0
10.0845,10.2433,9.6732,9.8134,10664024.3991,9.8508,10.3181,9.7387,10.1966,8839827.2536,1
9.8508,10.3181,9.7387,10.1966,8839827.2536,9.533,9.9162,9.1125,9.8602,12120820.8379,1
9.533,9.9162,9.1125,9.8602,12120820.8379,9.5798,9.7947,9.234,9.4022,10541113.4622,1
9.5798,9.7947,9.234,9.4022,10541113.4622,9.4676,9.7293,9.4209,9.5704,3682732.6156,1
9.4676,9.7293,9.4209,9.5704,3682732.6156,9.6732,9.7106,9.4676,9.4676,6484579.6209,1
9.6732,9.7106,9.4676,9.4676,6484579.6209,9.6732,9.7573,9.533,9.6265,8245762.3618,1
9.6732,9.7573,9.533,9.6265,8245762.3618,9.8134,10.0003,9.4676,9.5237,49418347.6117,1
9.8134,10.0003,9.4676,9.5237,49418347.6117,10.0938,10.0938,9.5611,9.8602,20364437.9238,0
10.0938,10.0938,9.5611,9.8602,20364437.9238,9.8134,10.1032,9.7667,10.0003,9494630.7386,0
9.8134,10.1032,9.7667,10.0003,9494630.7386,10.0377,10.1779,9.6732,9.748,10191496.6116,0
10.0377,10.1779,9.6732,9.748,10191496.6116,10.0377,10.1686,9.8415,10.0564,6068330.8205,0
10.0377,10.1686,9.8415,10.0564,6068330.8205,9.9817,10.1966,9.6732,10.019,11180132.8521,0
9.9817,10.1966,9.6732,10.019,11180132.8521,9.8415,10.0377,9.8134,9.991,4460062.9208,0
9.8415,10.0377,9.8134,9.991,4460062.9208,9.9536,10.0284,9.7854,9.9162,5696850.3447,0
9.9536,10.0284,9.7854,9.9162,5696850.3447,10.1966,10.262,9.8975,9.9069,9549633.2599,0
10.1966,10.262,9.8975,9.9069,9549633.2599,10.3368,10.4116,9.9536,10.0938,23282666.9514,0
10.3368,10.4116,9.9536,10.0938,23282666.9514,10.3462,10.4396,10.0471,10.2807,5377067.2742,0
10.3462,10.4396,10.0471,10.2807,5377067.2742,10.449,10.4957,10.2433,10.3275,10808839.6198,0
10.449,10.4957,10.2433,10.3275,10808839.6198,10.1125,10.4116,10.0845,10.4116,25598825.6235,0
10.1125,10.4116,10.0845,10.4116,25598825.6235,9.5798,10.1686,9.4863,10.0938,52195131.8022,0
9.5798,10.1686,9.4863,10.0938,52195131.8022,9.6265,9.7106,9.3742,9.6358,27191955.6858,0
9.6265,9.7106,9.3742,9.6358,27191955.6858,9.4676,9.7947,9.4396,9.6172,11915606.2023,1
9.4676,9.7947,9.4396,9.6172,11915606.2023,9.5704,9.7387,9.4209,9.5143,11086762.5254,0
9.5704,9.7387,9.4209,9.5143,11086762.5254,9.533,9.5985,9.234,9.533,9066343.7839,1
9.533,9.5985,9.234,9.533,9066343.7839,9.4863,9.5704,9.4396,9.5143,9401746.1752,0
9.4863,9.5704,9.4396,9.5143,9401746.1752,9.4396,9.5424,9.4396,9.4863,11067851.9983,0
9.4396,9.5424,9.4396,9.4863,11067851.9983,9.4863,9.5704,9.4396,9.4396,10014782.5821,0
9.4863,9.5704,9.4396,9.4396,10014782.5821,9.533,9.6732,9.4583,9.5891,9638326.778,0
9.533,9.6732,9.4583,9.5891,9638326.778,9.6919,9.7293,9.4489,9.5704,14548726.4524,0
9.6919,9.7293,9.4489,9.5704,14548726.4524,9.8134,9.8602,9.72,9.748,16576344.9754,0
9.8134,9.8602,9.72,9.748,16576344.9754,9.9536,10.0751,9.72,9.8041,6284105.9916,0
9.9536,10.0751,9.72,9.8041,6284105.9916,9.8602,10.0003,9.7947,9.963,7083599.5117,0
9.8602,10.0003,9.7947,9.963,7083599.5117,9.6732,9.9162,9.5237,9.7854,6266830.368,0
9.6732,9.9162,9.5237,9.7854,6266830.368,9.6452,9.7573,9.5143,9.6732,4288139.1159,0
9.6452,9.7573,9.5143,9.6732,4288139.1159,9.8788,9.9162,9.5424,9.6452,12541668.3395,0
9.8788,9.9162,9.5424,9.6452,12541668.3395,9.8415,9.8415,9.5424,9.5798,5019699.6111,0
9.8415,9.8415,9.5424,9.5798,5019699.6111,9.6545,9.9069,9.477,9.8975,8962170.0401,0
9.6545,9.9069,9.477,9.8975,8962170.0401,9.3461,9.6265,9.3461,9.6172,7399447.2581,0
9.3461,9.6265,9.3461,9.6172,7399447.2581,9.1779,9.4396,9.1592,9.4396,14227628.3972,0
9.1779,9.4396,9.1592,9.4396,14227628.3972,9.2153,9.3087,8.8975,9.1685,11811877.5632,0
9.2153,9.3087,8.8975,9.1685,11811877.5632,9.4863,9.5798,9.2527,9.3087,14709668.1564,0
9.4863,9.5798,9.2527,9.3087,14709668.1564,9.4396,9.505,9.3461,9.4115,13713102.4196,0
9.4396,9.505,9.3461,9.4115,13713102.4196,9.3368,9.3742,9.1685,9.1685,7524962.4851,0
9.3368,9.3742,9.1685,9.1685,7524962.4851,9.5611,9.6452,9.3368,9.4583,9943591.5197,0
9.5611,9.6452,9.3368,9.4583,9943591.5197,9.8134,9.9069,9.5143,9.5517,19752881.2758,0
9.8134,9.9069,9.5143,9.5517,19752881.2758,10.0564,10.206,9.6919,9.8602,10842150.7799,0
10.0564,10.206,9.6919,9.8602,10842150.7799,9.9256,10.019,9.6452,9.9536,19442926.8859,0
9.9256,10.019,9.6452,9.9536,19442926.8859,9.4957,9.8508,9.3181,9.8508,23529977.1438,0
9.4957,9.8508,9.3181,9.8508,23529977.1438,9.2994,9.6826,9.1592,9.5517,15441108.8157,0
9.2994,9.6826,9.1592,9.5517,15441108.8157,9.1779,9.3648,9.1592,9.262,8553294.3552,0
