@RELATION "B3 - GGBR4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.8762,16.9714,16.6095,16.7524,160098794.1456,16.8952,17.0667,16.7905,16.9714,51108901.2145,1
16.8952,17.0667,16.7905,16.9714,51108901.2145,16.7714,17.0476,16.6667,16.8286,88834846.8253,1
16.7714,17.0476,16.6667,16.8286,88834846.8253,16.9333,17.019,16.8095,16.8381,65453839.5186,1
16.9333,17.019,16.8095,16.8381,65453839.5186,16.6476,16.9048,16.6286,16.9048,78410226.3223,1
16.6476,16.9048,16.6286,16.9048,78410226.3223,16.8,16.8667,16.6381,16.6476,111354044.5817,0
16.8,16.8667,16.6381,16.6476,111354044.5817,17.0952,17.3143,16.8571,16.9048,165327782.597,0
17.0952,17.3143,16.8571,16.9048,165327782.597,17.2952,17.3238,17.0476,17.2,105011283.3299,0
17.2952,17.3238,17.0476,17.2,105011283.3299,17.4857,17.5714,17.3048,17.4286,94983118.677,0
17.4857,17.5714,17.3048,17.4286,94983118.677,17.181,17.5238,17.0476,17.3619,102378063.9291,1
17.181,17.5238,17.0476,17.3619,102378063.9291,16.3429,16.8571,16.3333,16.8571,164599656.9468,1
16.3429,16.8571,16.3333,16.8571,164599656.9468,16.2857,16.5714,16.1143,16.5238,138170043.9393,1
16.2857,16.5714,16.1143,16.5238,138170043.9393,16.5714,16.8095,16.3905,16.7238,129752102.5869,1
16.5714,16.8095,16.3905,16.7238,129752102.5869,17.0095,17.0762,16.619,16.7143,127920264.1864,1
17.0095,17.0762,16.619,16.7143,127920264.1864,17.019,17.1333,16.7619,16.7714,85791253.8244,0
17.019,17.1333,16.7619,16.7714,85791253.8244,17.9048,17.9524,17.0571,17.1333,201837492.2074,0
17.9048,17.9524,17.0571,17.1333,201837492.2074,18.2095,18.3714,17.8476,17.9048,201622182.3574,0
