@RELATION "B3 - CCRO3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.64,14.77,14.33,14.7,109241301.0,14.43,14.63,14.35,14.63,75132545.0,1
14.43,14.63,14.35,14.63,75132545.0,14.26,14.47,14.0,14.32,66351986.0,1
14.26,14.47,14.0,14.32,66351986.0,14.37,14.69,14.16,14.4,103468557.0,1
14.37,14.69,14.16,14.4,103468557.0,14.38,14.6,14.22,14.39,50173270.0,1
14.38,14.6,14.22,14.39,50173270.0,14.4,14.57,14.21,14.27,77910852.0,1
14.4,14.57,14.21,14.27,77910852.0,14.5,14.68,14.34,14.59,83147803.0,1
14.5,14.68,14.34,14.59,83147803.0,14.6,14.75,14.4,14.5,50262963.0,1
14.6,14.75,14.4,14.5,50262963.0,14.55,14.6,14.46,14.47,49483699.0,1
14.55,14.6,14.46,14.47,49483699.0,14.9,14.9,14.5,14.56,49601134.0,1
14.9,14.9,14.5,14.56,49601134.0,14.83,15.03,14.7,14.84,73755290.0,1
14.83,15.03,14.7,14.84,73755290.0,14.8,15.02,14.72,14.9,52472983.0,1
14.8,15.02,14.72,14.9,52472983.0,15.15,15.15,14.75,14.92,58939212.0,1
15.15,15.15,14.75,14.92,58939212.0,15.5,15.7,14.93,14.94,107923516.0,1
15.5,15.7,14.93,14.94,107923516.0,15.0,15.69,14.99,15.52,78399935.0,1
15.0,15.69,14.99,15.52,78399935.0,14.83,14.91,14.51,14.8,53459576.0,1
14.83,14.91,14.51,14.8,53459576.0,14.78,15.1,14.71,14.89,51576771.0,1
14.78,15.1,14.71,14.89,51576771.0,15.31,15.31,14.74,14.8,54918546.0,1
15.31,15.31,14.74,14.8,54918546.0,15.49,15.59,15.23,15.31,35363813.0,1
15.49,15.59,15.23,15.31,35363813.0,15.5,15.63,15.31,15.46,34755207.0,1
15.5,15.63,15.31,15.46,34755207.0,15.65,15.85,15.4,15.51,55754201.0,1
15.65,15.85,15.4,15.51,55754201.0,15.24,15.61,15.1,15.4,17415336.0,1
15.24,15.61,15.1,15.4,17415336.0,15.0,15.34,15.0,15.24,24329022.0,1
15.0,15.34,15.0,15.24,24329022.0,14.97,15.2,14.81,15.11,35875768.0,1
14.97,15.2,14.81,15.11,35875768.0,15.1,15.25,14.65,14.98,52959557.0,1
15.1,15.25,14.65,14.98,52959557.0,15.07,15.17,14.73,15.05,29009124.0,1
15.07,15.17,14.73,15.05,29009124.0,15.25,15.5,14.96,15.11,39304501.0,1
15.25,15.5,14.96,15.11,39304501.0,15.47,15.6,15.26,15.37,32528662.0,1
15.47,15.6,15.26,15.37,32528662.0,15.21,15.62,15.0,15.58,80180224.0,1
15.21,15.62,15.0,15.58,80180224.0,15.2,15.27,14.94,15.08,58200805.0,1
15.2,15.27,14.94,15.08,58200805.0,15.05,15.32,15.0,15.2,51360845.0,1
15.05,15.32,15.0,15.2,51360845.0,14.95,15.08,14.78,14.86,35897035.0,1
14.95,15.08,14.78,14.86,35897035.0,14.95,15.08,14.83,14.91,32461314.0,1
14.95,15.08,14.83,14.91,32461314.0,14.95,15.13,14.79,15.1,37833750.0,1
14.95,15.13,14.79,15.1,37833750.0,14.99,15.01,14.7,14.95,36416425.0,1
14.99,15.01,14.7,14.95,36416425.0,14.94,15.12,14.91,15.11,18532398.0,1
14.94,15.12,14.91,15.11,18532398.0,14.8,15.07,14.46,14.95,45217579.0,1
14.8,15.07,14.46,14.95,45217579.0,15.53,15.55,14.78,14.93,97866563.0,1
15.53,15.55,14.78,14.93,97866563.0,15.31,15.5,15.05,15.5,71782446.0,1
