@RELATION "B3 - GFSA3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
477.9932,492.4051,477.9932,488.8021,206622.587,498.41,502.013,475.5913,481.5962,252412.0782,1
498.41,502.013,475.5913,481.5962,252412.0782,481.5962,496.008,481.5962,493.6061,208848.5293,1
481.5962,496.008,481.5962,493.6061,208848.5293,479.1942,487.6011,473.1893,486.4001,272211.2683,1
479.1942,487.6011,473.1893,486.4001,272211.2683,490.0031,491.2041,477.9932,481.5962,279917.2986,1
490.0031,491.2041,477.9932,481.5962,279917.2986,491.2041,500.812,483.9982,487.6011,456936.5593,1
491.2041,500.812,483.9982,487.6011,456936.5593,480.3952,494.8071,475.5913,488.8021,244515.588,1
480.3952,494.8071,475.5913,488.8021,244515.588,464.7824,486.4001,464.7824,483.9982,310499.1442,1
464.7824,486.4001,464.7824,483.9982,310499.1442,440.7626,456.3754,438.3606,456.3754,410993.8942,1
440.7626,456.3754,438.3606,456.3754,410993.8942,461.1794,462.3804,426.3507,439.5616,306132.0232,0
461.1794,462.3804,426.3507,439.5616,306132.0232,455.1745,473.1893,451.5715,465.9833,268806.8963,1
455.1745,473.1893,451.5715,465.9833,268806.8963,455.1745,462.3804,443.1646,452.7725,220299.7593,1
455.1745,462.3804,443.1646,452.7725,220299.7593,429.9537,459.9784,429.9537,455.1745,284730.9936,1
429.9537,459.9784,429.9537,455.1745,284730.9936,425.1498,431.1547,416.7428,427.5517,277386.6822,1
425.1498,431.1547,416.7428,427.5517,277386.6822,440.7626,440.7626,421.5468,422.7478,300956.6094,1
440.7626,440.7626,421.5468,422.7478,300956.6094,474.3903,474.3903,439.5616,444.3656,515166.8741,0
474.3903,474.3903,439.5616,444.3656,515166.8741,459.9784,483.9982,444.3656,476.7922,734009.3332,1
459.9784,483.9982,444.3656,476.7922,734009.3332,471.9883,482.7972,450.3705,462.3804,355283.4714,1
471.9883,482.7972,450.3705,462.3804,355283.4714,453.9735,470.7873,452.7725,464.7824,307458.0065,1
453.9735,470.7873,452.7725,464.7824,307458.0065,455.1745,465.9833,439.5616,447.9685,336820.4394,1
455.1745,465.9833,439.5616,447.9685,336820.4394,435.9586,465.9833,434.7577,461.1794,236209.3103,1
435.9586,465.9833,434.7577,461.1794,236209.3103,451.5715,451.5715,427.5517,434.7577,266293.0327,1
451.5715,451.5715,427.5517,434.7577,266293.0327,440.7626,471.9883,440.7626,444.3656,434546.2026,1
440.7626,471.9883,440.7626,444.3656,434546.2026,409.5369,446.7675,405.9339,439.5616,447136.9694,1
409.5369,446.7675,405.9339,439.5616,447136.9694,386.7181,428.7527,385.5172,416.7428,471318.3681,1
386.7181,428.7527,385.5172,416.7428,471318.3681,361.4974,397.527,361.4974,391.5221,415227.9248,1
361.4974,397.527,361.4974,391.5221,415227.9248,361.4974,373.5073,350.6885,365.1004,344941.0367,1
361.4974,373.5073,350.6885,365.1004,344941.0367,351.8895,373.5073,342.2816,365.1004,422034.9203,1
351.8895,373.5073,342.2816,365.1004,422034.9203,317.0608,360.2964,317.0608,351.8895,540224.9593,1
317.0608,360.2964,317.0608,351.8895,540224.9593,326.6687,329.0707,300.247,314.6589,451551.7512,1
