@RELATION "B3 - USIM3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.2,16.2,15.61,15.99,8381585.0,16.59,16.64,16.09,16.16,11389047.0,0
16.59,16.64,16.09,16.16,11389047.0,16.89,17.0,16.01,16.19,8899437.0,0
16.89,17.0,16.01,16.19,8899437.0,17.75,17.75,16.9,16.9,12860505.0,0
17.75,17.75,16.9,16.9,12860505.0,18.05,18.09,17.44,17.64,10519000.0,0
18.05,18.09,17.44,17.64,10519000.0,18.11,18.25,17.61,17.77,8718822.0,0
18.11,18.25,17.61,17.77,8718822.0,18.77,18.77,17.87,18.04,13378256.0,0
18.77,18.77,17.87,18.04,13378256.0,19.0,19.25,18.67,18.8,8920694.0,0
19.0,19.25,18.67,18.8,8920694.0,19.08,19.08,18.27,18.75,10993918.0,0
19.08,19.08,18.27,18.75,10993918.0,18.74,19.48,18.65,19.05,9762409.0,0
18.74,19.48,18.65,19.05,9762409.0,19.1,19.19,18.44,18.58,7138786.0,0
19.1,19.19,18.44,18.58,7138786.0,19.71,19.97,19.16,19.19,8859506.0,0
19.71,19.97,19.16,19.19,8859506.0,20.2,20.43,19.71,19.85,7159845.0,0
20.2,20.43,19.71,19.85,7159845.0,19.7,20.89,19.1,20.2,12138617.0,0
19.7,20.89,19.1,20.2,12138617.0,19.9,20.26,19.35,19.56,10717096.0,0
19.9,20.26,19.35,19.56,10717096.0,20.2,20.22,19.6,19.64,8900415.0,0
20.2,20.22,19.6,19.64,8900415.0,19.8,20.69,19.8,20.45,12837850.0,0
19.8,20.69,19.8,20.45,12837850.0,20.1,20.67,19.78,19.78,8954482.0,0
20.1,20.67,19.78,19.78,8954482.0,18.74,20.21,18.34,20.21,15866341.0,0
18.74,20.21,18.34,20.21,15866341.0,19.08,19.08,17.8,18.38,9959567.0,0
19.08,19.08,17.8,18.38,9959567.0,19.0,19.38,18.62,18.99,6181153.0,0
19.0,19.38,18.62,18.99,6181153.0,19.4,19.5,18.28,18.52,3810871.0,0
19.4,19.5,18.28,18.52,3810871.0,19.28,19.49,18.66,19.32,7546361.0,0
19.28,19.49,18.66,19.32,7546361.0,17.85,19.68,17.85,19.36,8614230.0,0
17.85,19.68,17.85,19.36,8614230.0,16.9,17.49,16.05,17.49,26251986.0,0
16.9,17.49,16.05,17.49,26251986.0,17.06,17.13,16.26,16.72,10319852.0,0
17.06,17.13,16.26,16.72,10319852.0,16.84,17.2,16.71,17.08,6161800.0,0
16.84,17.2,16.71,17.08,6161800.0,17.2,17.43,16.94,16.94,5774953.0,0
17.2,17.43,16.94,16.94,5774953.0,18.0,18.51,17.17,17.17,12050136.0,0
18.0,18.51,17.17,17.17,12050136.0,18.1,18.53,17.62,18.0,4832156.0,0
