@RELATION "B3 - BBRK3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
3610.0007,3735.0007,3565.0007,3670.0007,55450.3612,3620.0007,3715.0007,3600.0007,3605.0007,37466.0147,0
3620.0007,3715.0007,3600.0007,3605.0007,37466.0147,3645.0007,3730.0007,3605.0007,3625.0007,11949.3537,0
3645.0007,3730.0007,3605.0007,3625.0007,11949.3537,3850.0007,3870.0008,3625.0007,3640.0007,19706.4042,0
3850.0007,3870.0008,3625.0007,3640.0007,19706.4042,3850.0007,3915.0008,3795.0007,3850.0007,13830.1033,0
3850.0007,3915.0008,3795.0007,3850.0007,13830.1033,3850.0007,3930.0008,3805.0007,3895.0008,13491.6474,0
3850.0007,3930.0008,3805.0007,3895.0008,13491.6474,3850.0007,3905.0008,3825.0007,3830.0007,10002.5401,0
3850.0007,3905.0008,3825.0007,3830.0007,10002.5401,3905.0008,4055.0008,3870.0008,3880.0008,29417.6943,0
3905.0008,4055.0008,3870.0008,3880.0008,29417.6943,3890.0008,4020.0008,3825.0007,3945.0008,9742.0901,0
3890.0008,4020.0008,3825.0007,3945.0008,9742.0901,3925.0008,3955.0008,3870.0008,3940.0008,3090.7534,0
3925.0008,3955.0008,3870.0008,3940.0008,3090.7534,3865.0008,3950.0008,3700.0007,3905.0008,7946.8165,0
3865.0008,3950.0008,3700.0007,3905.0008,7946.8165,3930.0008,3990.0008,3850.0007,3865.0008,6740.9807,0
3930.0008,3990.0008,3850.0007,3865.0008,6740.9807,3775.0007,3925.0008,3755.0007,3925.0008,10380.422,0
3775.0007,3925.0008,3755.0007,3925.0008,10380.422,3675.0007,3845.0007,3645.0007,3775.0007,22430.0216,0
3675.0007,3845.0007,3645.0007,3775.0007,22430.0216,3680.0007,3775.0007,3625.0007,3775.0007,12025.4277,0
3680.0007,3775.0007,3625.0007,3775.0007,12025.4277,3650.0007,3745.0007,3595.0007,3700.0007,12667.7195,0
3650.0007,3745.0007,3595.0007,3700.0007,12667.7195,3635.0007,3690.0007,3550.0007,3650.0007,2781.7375,0
3635.0007,3690.0007,3550.0007,3650.0007,2781.7375,3600.0007,3715.0007,3580.0007,3630.0007,11192.1938,0
3600.0007,3715.0007,3580.0007,3630.0007,11192.1938,3725.0007,3740.0007,3600.0007,3650.0007,8059.9204,0
3725.0007,3740.0007,3600.0007,3650.0007,8059.9204,3715.0007,3750.0007,3640.0007,3655.0007,9339.1802,0
3715.0007,3750.0007,3640.0007,3655.0007,9339.1802,3750.0007,3785.0007,3675.0007,3740.0007,7131.3966,0
3750.0007,3785.0007,3675.0007,3740.0007,7131.3966,3700.0007,3800.0007,3605.0007,3735.0007,11789.8277,0
3700.0007,3800.0007,3605.0007,3735.0007,11789.8277,3525.0007,3650.0007,3525.0007,3650.0007,21400.1058,0
3525.0007,3650.0007,3525.0007,3650.0007,21400.1058,3575.0007,3630.0007,3500.0007,3500.0007,8486.0743,0
3575.0007,3630.0007,3500.0007,3500.0007,8486.0743,3575.0007,3640.0007,3535.0007,3600.0007,3196.2674,0
3575.0007,3640.0007,3535.0007,3600.0007,3196.2674,3575.0007,3630.0007,3525.0007,3575.0007,12411.1976,0
3575.0007,3630.0007,3525.0007,3575.0007,12411.1976,3580.0007,3645.0007,3415.0007,3635.0007,7645.9905,0
3580.0007,3645.0007,3415.0007,3635.0007,7645.9905,3260.0006,3550.0007,3235.0006,3445.0007,8661.5943,0
3260.0006,3550.0007,3235.0006,3445.0007,8661.5943,3150.0006,3345.0007,3150.0006,3300.0006,38141.5386,0
3150.0006,3345.0007,3150.0006,3300.0006,38141.5386,3200.0006,3260.0006,3155.0006,3155.0006,17171.7247,1
3200.0006,3260.0006,3155.0006,3155.0006,17171.7247,3275.0006,3295.0006,3200.0006,3220.0006,33896.6914,1
3275.0006,3295.0006,3200.0006,3220.0006,33896.6914,3400.0007,3420.0007,3200.0006,3275.0006,25894.209,1
3400.0007,3420.0007,3200.0006,3275.0006,25894.209,3395.0007,3435.0007,3250.0006,3400.0007,15552.443,1
3395.0007,3435.0007,3250.0006,3400.0007,15552.443,3270.0006,3385.0007,3200.0006,3385.0007,14522.9732,1
3270.0006,3385.0007,3200.0006,3385.0007,14522.9732,3420.0007,3420.0007,3270.0006,3275.0006,17395.2786,0
3420.0007,3420.0007,3270.0006,3275.0006,17395.2786,3430.0007,3545.0007,3350.0007,3415.0007,18426.1764,0
3430.0007,3545.0007,3350.0007,3415.0007,18426.1764,3400.0007,3420.0007,3280.0006,3420.0007,15197.561,0
3400.0007,3420.0007,3280.0006,3420.0007,15197.561,3315.0006,3385.0007,3275.0006,3385.0007,27704.0906,0
3315.0006,3385.0007,3275.0006,3385.0007,27704.0906,3250.0006,3410.0007,3050.0006,3360.0007,13900.6373,0
3250.0006,3410.0007,3050.0006,3360.0007,13900.6373,2975.0006,3315.0006,2975.0006,3315.0006,26653.4168,1
2975.0006,3315.0006,2975.0006,3315.0006,26653.4168,2960.0006,3055.0006,2865.0006,3055.0006,7112.0206,1
2960.0006,3055.0006,2865.0006,3055.0006,7112.0206,2975.0006,3050.0006,2900.0006,2990.0006,16752.1047,1
2975.0006,3050.0006,2900.0006,2990.0006,16752.1047,2970.0006,3015.0006,2800.0005,2980.0006,5769.8329,1
2970.0006,3015.0006,2800.0005,2980.0006,5769.8329,2925.0006,2970.0006,2800.0005,2970.0006,8124.3444,1
2925.0006,2970.0006,2800.0005,2970.0006,8124.3444,2795.0005,2945.0006,2750.0005,2930.0006,16287.4288,1
2795.0005,2945.0006,2750.0005,2930.0006,16287.4288,2925.0006,2935.0006,2760.0005,2810.0005,14211.3952,1
2925.0006,2935.0006,2760.0005,2810.0005,14211.3952,3045.0006,3125.0006,2950.0006,2960.0006,9324.9322,0
3045.0006,3125.0006,2950.0006,2960.0006,9324.9322,3040.0006,3095.0006,3000.0006,3040.0006,18687.7444,0
3040.0006,3095.0006,3000.0006,3040.0006,18687.7444,2995.0006,3040.0006,2945.0006,2995.0006,11489.9778,1
2995.0006,3040.0006,2945.0006,2995.0006,11489.9778,2985.0006,3015.0006,2915.0006,3000.0006,7825.9025,1
2985.0006,3015.0006,2915.0006,3000.0006,7825.9025,2915.0006,2990.0006,2875.0006,2985.0006,15276.509,1
2915.0006,2990.0006,2875.0006,2985.0006,15276.509,2810.0005,2935.0006,2780.0005,2920.0006,9209.7762,1
2810.0005,2935.0006,2780.0005,2920.0006,9209.7762,2825.0005,2870.0006,2760.0005,2815.0005,13991.9633,1
2825.0005,2870.0006,2760.0005,2815.0005,13991.9633,2890.0006,2900.0006,2750.0005,2845.0006,22496.0576,1
2890.0006,2900.0006,2750.0005,2845.0006,22496.0576,2880.0006,2945.0006,2830.0006,2920.0006,6890.6247,1
2880.0006,2945.0006,2830.0006,2920.0006,6890.6247,2905.0006,2945.0006,2875.0006,2895.0006,24108.9233,1
2905.0006,2945.0006,2875.0006,2895.0006,24108.9233,3025.0006,3110.0006,2845.0006,2850.0006,17925.2565,1
3025.0006,3110.0006,2845.0006,2850.0006,17925.2565,3135.0006,3175.0006,2960.0006,2965.0006,6567.0567,0
3135.0006,3175.0006,2960.0006,2965.0006,6567.0567,3145.0006,3245.0006,3105.0006,3140.0006,4633.5131,1
3145.0006,3245.0006,3105.0006,3140.0006,4633.5131,3300.0006,3365.0007,3110.0006,3110.0006,31093.956,0
3300.0006,3365.0007,3110.0006,3110.0006,31093.956,3350.0007,3425.0007,3265.0006,3300.0006,30997.292,0
3350.0007,3425.0007,3265.0006,3300.0006,30997.292,3430.0007,3445.0007,3330.0006,3330.0006,32007.0838,0
3430.0007,3445.0007,3330.0006,3330.0006,32007.0838,3415.0007,3515.0007,3370.0007,3370.0007,27578.3946,0
3415.0007,3515.0007,3370.0007,3370.0007,27578.3946,3410.0007,3505.0007,3380.0007,3450.0007,18424.9944,0
3410.0007,3505.0007,3380.0007,3450.0007,18424.9944,3300.0006,3415.0007,3300.0006,3415.0007,8765.5463,0
3300.0006,3415.0007,3300.0006,3415.0007,8765.5463,3175.0006,3370.0007,3175.0006,3345.0007,14861.6031,1
3175.0006,3370.0007,3175.0006,3345.0007,14861.6031,3305.0006,3385.0007,3190.0006,3190.0006,19399.7682,0
3305.0006,3385.0007,3190.0006,3190.0006,19399.7682,3250.0006,3340.0006,3225.0006,3340.0006,9209.6702,0
3250.0006,3340.0006,3225.0006,3340.0006,9209.6702,3230.0006,3365.0007,3200.0006,3275.0006,5788.3869,0
3230.0006,3365.0007,3200.0006,3275.0006,5788.3869,3265.0006,3400.0007,3255.0006,3255.0006,8747.4323,0
3265.0006,3400.0007,3255.0006,3255.0006,8747.4323,3370.0007,3385.0007,3265.0006,3315.0006,7510.2385,0
3370.0007,3385.0007,3265.0006,3315.0006,7510.2385,3465.0007,3495.0007,3325.0006,3365.0007,15452.113,0
3465.0007,3495.0007,3325.0006,3365.0007,15452.113,3550.0007,3640.0007,3415.0007,3415.0007,12582.4336,0
3550.0007,3640.0007,3415.0007,3415.0007,12582.4336,3495.0007,3580.0007,3470.0007,3550.0007,8575.1523,0
3495.0007,3580.0007,3470.0007,3550.0007,8575.1523,3345.0007,3480.0007,3305.0006,3480.0007,22930.0535,0
3345.0007,3480.0007,3305.0006,3480.0007,22930.0535,3375.0007,3450.0007,3315.0006,3355.0007,14950.3931,0
3375.0007,3450.0007,3315.0006,3355.0007,14950.3931,3045.0006,3425.0007,3000.0006,3425.0007,28945.1384,1
3045.0006,3425.0007,3000.0006,3425.0007,28945.1384,3015.0006,3110.0006,2805.0005,2995.0006,28163.4885,1
3015.0006,3110.0006,2805.0005,2995.0006,28163.4885,3150.0006,3160.0006,2940.0006,3045.0006,20981.8739,0
3150.0006,3160.0006,2940.0006,3045.0006,20981.8739,3075.0006,3170.0006,3070.0006,3150.0006,23992.2433,1
3075.0006,3170.0006,3070.0006,3150.0006,23992.2433,3090.0006,3150.0006,3050.0006,3120.0006,12013.5997,1
3090.0006,3150.0006,3050.0006,3120.0006,12013.5997,3145.0006,3155.0006,3060.0006,3080.0006,4207.3092,1
3145.0006,3155.0006,3060.0006,3080.0006,4207.3092,3190.0006,3230.0006,3115.0006,3150.0006,11137.1898,1
3190.0006,3230.0006,3115.0006,3150.0006,11137.1898,3190.0006,3205.0006,3130.0006,3135.0006,10441.528,1
3190.0006,3205.0006,3130.0006,3135.0006,10441.528,3065.0006,3150.0006,3065.0006,3130.0006,3892.2992,1
3065.0006,3150.0006,3065.0006,3130.0006,3892.2992,3060.0006,3155.0006,3050.0006,3060.0006,21199.7579,1
3060.0006,3155.0006,3050.0006,3060.0006,21199.7579,3055.0006,3125.0006,3050.0006,3085.0006,7935.6545,1
3055.0006,3125.0006,3050.0006,3085.0006,7935.6545,3030.0006,3105.0006,3020.0006,3080.0006,10790.9099,1
3030.0006,3105.0006,3020.0006,3080.0006,10790.9099,3225.0006,3260.0006,3045.0006,3055.0006,11352.1798,1
3225.0006,3260.0006,3045.0006,3055.0006,11352.1798,3210.0006,3255.0006,3150.0006,3170.0006,4239.8692,1
3210.0006,3255.0006,3150.0006,3170.0006,4239.8692,3150.0006,3245.0006,3140.0006,3170.0006,6273.9408,1
3150.0006,3245.0006,3140.0006,3170.0006,6273.9408,3135.0006,3310.0006,3110.0006,3110.0006,6215.5368,1
3135.0006,3310.0006,3110.0006,3110.0006,6215.5368,3160.0006,3215.0006,3065.0006,3130.0006,5487.5369,1
3160.0006,3215.0006,3065.0006,3130.0006,5487.5369,3250.0006,3290.0006,3145.0006,3145.0006,7821.3085,1
3250.0006,3290.0006,3145.0006,3145.0006,7821.3085,3300.0006,3425.0007,3240.0006,3245.0006,6966.3286,1
3300.0006,3425.0007,3240.0006,3245.0006,6966.3286,3200.0006,3350.0007,3200.0006,3350.0007,6948.0966,1
3200.0006,3350.0007,3200.0006,3350.0007,6948.0966,3230.0006,3265.0006,3175.0006,3265.0006,27571.7726,1
3230.0006,3265.0006,3175.0006,3265.0006,27571.7726,3210.0006,3315.0006,3165.0006,3230.0006,6857.0887,1
3210.0006,3315.0006,3165.0006,3230.0006,6857.0887,3210.0006,3250.0006,3160.0006,3195.0006,15090.4371,1
3210.0006,3250.0006,3160.0006,3195.0006,15090.4371,3240.0006,3305.0006,3225.0006,3290.0006,10445.234,1
3240.0006,3305.0006,3225.0006,3290.0006,10445.234,3145.0006,3270.0006,3145.0006,3230.0006,11730.1857,1
3145.0006,3270.0006,3145.0006,3230.0006,11730.1857,3070.0006,3160.0006,3055.0006,3160.0006,18518.9964,1
3070.0006,3160.0006,3055.0006,3160.0006,18518.9964,3050.0006,3125.0006,2970.0006,3070.0006,35685.4811,1
3050.0006,3125.0006,2970.0006,3070.0006,35685.4811,3090.0006,3125.0006,3010.0006,3055.0006,36592.0889,1
3090.0006,3125.0006,3010.0006,3055.0006,36592.0889,3150.0006,3160.0006,3070.0006,3070.0006,6688.8747,1
3150.0006,3160.0006,3070.0006,3070.0006,6688.8747,3225.0006,3270.0006,3100.0006,3100.0006,8575.3263,1
3225.0006,3270.0006,3100.0006,3100.0006,8575.3263,3210.0006,3265.0006,3175.0006,3200.0006,10749.3479,1
3210.0006,3265.0006,3175.0006,3200.0006,10749.3479,3215.0006,3250.0006,3160.0006,3205.0006,7983.1784,1
3215.0006,3250.0006,3160.0006,3205.0006,7983.1784,3150.0006,3220.0006,3140.0006,3195.0006,4402.5191,1
3150.0006,3220.0006,3140.0006,3195.0006,4402.5191,3210.0006,3250.0006,3130.0006,3165.0006,10028.922,1
3210.0006,3250.0006,3130.0006,3165.0006,10028.922,3275.0006,3340.0006,3210.0006,3210.0006,16705.7608,1
3275.0006,3340.0006,3210.0006,3210.0006,16705.7608,3250.0006,3285.0006,3215.0006,3285.0006,8783.7063,1
3250.0006,3285.0006,3215.0006,3285.0006,8783.7063,3320.0006,3330.0006,3210.0006,3210.0006,26050.7829,1
3320.0006,3330.0006,3210.0006,3210.0006,26050.7829,3310.0006,3405.0007,3295.0006,3345.0007,20862.1599,1
3310.0006,3405.0007,3295.0006,3345.0007,20862.1599,3365.0007,3395.0007,3325.0006,3330.0006,6896.7707,1
3365.0007,3395.0007,3325.0006,3330.0006,6896.7707,3240.0006,3370.0007,3200.0006,3355.0007,21197.5579,1
3240.0006,3370.0007,3200.0006,3355.0007,21197.5579,3280.0006,3325.0006,3255.0006,3295.0006,12987.2015,0
3280.0006,3325.0006,3255.0006,3295.0006,12987.2015,3360.0007,3420.0007,3285.0006,3295.0006,20118.5441,0
3360.0007,3420.0007,3285.0006,3295.0006,20118.5441,3400.0007,3445.0007,3360.0007,3400.0007,21296.5739,0
3400.0007,3445.0007,3360.0007,3400.0007,21296.5739,3350.0007,3400.0007,3320.0006,3400.0007,10457.496,0
3350.0007,3400.0007,3320.0006,3400.0007,10457.496,3440.0007,3500.0007,3350.0007,3385.0007,25014.3691,0
3440.0007,3500.0007,3350.0007,3385.0007,25014.3691,3460.0007,3585.0007,3400.0007,3460.0007,11816.6437,0
