@RELATION "B3 - MYPK3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
32.0,33.31,31.81,33.15,32800780.0,32.3,32.99,32.06,32.06,15746659.0,1
32.3,32.99,32.06,32.06,15746659.0,33.1,33.73,32.48,32.63,38119853.0,1
33.1,33.73,32.48,32.63,38119853.0,33.92,34.0,33.31,33.45,24379960.0,0
33.92,34.0,33.31,33.45,24379960.0,33.64,34.0,33.32,34.0,16985534.0,1
33.64,34.0,33.32,34.0,16985534.0,32.64,33.16,31.7,32.3,10238896.0,1
32.64,33.16,31.7,32.3,10238896.0,33.1,33.27,32.27,32.8,11364711.0,1
33.1,33.27,32.27,32.8,11364711.0,33.75,33.95,32.94,33.2,11690060.0,1
33.75,33.95,32.94,33.2,11690060.0,33.71,34.2,33.2,33.54,8970773.0,1
33.71,34.2,33.2,33.54,8970773.0,33.3,34.09,33.04,34.09,24765104.0,1
33.3,34.09,33.04,34.09,24765104.0,34.1,34.73,32.7,33.15,15984700.0,0
34.1,34.73,32.7,33.15,15984700.0,35.3,35.96,34.0,34.1,23556465.0,0
35.3,35.96,34.0,34.1,23556465.0,35.5,35.65,34.94,35.65,29943897.0,0
35.5,35.65,34.94,35.65,29943897.0,34.5,35.55,34.5,35.55,11203009.0,0
34.5,35.55,34.5,35.55,11203009.0,35.2,35.47,34.56,34.68,7538037.0,0
35.2,35.47,34.56,34.68,7538037.0,35.71,35.74,34.61,35.19,12717659.0,0
35.71,35.74,34.61,35.19,12717659.0,36.6,36.7,35.31,35.97,14649116.0,0
36.6,36.7,35.31,35.97,14649116.0,34.7,36.72,34.7,36.56,17910645.0,0
34.7,36.72,34.7,36.56,17910645.0,35.23,36.07,33.92,34.7,30749597.0,0
35.23,36.07,33.92,34.7,30749597.0,36.4,36.6,35.29,35.79,14423922.0,0
36.4,36.6,35.29,35.79,14423922.0,36.55,37.0,36.45,36.6,10044361.0,0
36.55,37.0,36.45,36.6,10044361.0,36.4,36.64,36.29,36.39,40064871.0,0
36.4,36.64,36.29,36.39,40064871.0,36.35,36.4,35.54,36.32,9172325.0,0
36.35,36.4,35.54,36.32,9172325.0,35.99,36.5,35.8,36.4,13175338.0,0
35.99,36.5,35.8,36.4,13175338.0,37.0,37.0,35.5,35.5,23037649.0,0
37.0,37.0,35.5,35.5,23037649.0,36.95,37.53,36.6,37.0,15079600.0,0
36.95,37.53,36.6,37.0,15079600.0,37.0,37.25,36.3,36.7,10942813.0,0
37.0,37.25,36.3,36.7,10942813.0,37.23,37.72,36.8,37.02,12112291.0,0
37.23,37.72,36.8,37.02,12112291.0,37.25,37.41,36.62,36.99,21039140.0,0
37.25,37.41,36.62,36.99,21039140.0,35.4,37.62,35.05,37.14,69454106.0,0
35.4,37.62,35.05,37.14,69454106.0,34.4,35.82,34.01,35.8,19352022.0,0
34.4,35.82,34.01,35.8,19352022.0,34.7,35.55,34.26,34.69,14411220.0,0
34.7,35.55,34.26,34.69,14411220.0,33.74,35.39,33.74,35.39,15597474.0,0
33.74,35.39,33.74,35.39,15597474.0,33.38,33.9,32.68,33.9,17500515.0,0
33.38,33.9,32.68,33.9,17500515.0,34.0,34.64,33.29,33.5,12442542.0,0
34.0,34.64,33.29,33.5,12442542.0,33.71,34.0,33.15,34.0,15813584.0,0
33.71,34.0,33.15,34.0,15813584.0,34.5,34.97,33.6,33.6,9458036.0,0
34.5,34.97,33.6,33.6,9458036.0,35.3,35.8,34.62,34.72,11621392.0,0
35.3,35.8,34.62,34.72,11621392.0,34.3,35.01,34.01,34.83,27109087.0,0
34.3,35.01,34.01,34.83,27109087.0,34.65,35.2,33.8,33.8,14625480.0,0
34.65,35.2,33.8,33.8,14625480.0,33.9,35.0,33.9,34.7,32046379.0,0
33.9,35.0,33.9,34.7,32046379.0,33.02,34.19,32.68,33.85,23558940.0,0
33.02,34.19,32.68,33.85,23558940.0,33.19,33.4,32.65,32.97,7847703.0,0
33.19,33.4,32.65,32.97,7847703.0,33.07,33.46,32.76,32.76,9695389.0,0
33.07,33.46,32.76,32.76,9695389.0,31.68,33.99,31.13,33.1,52206267.0,0
31.68,33.99,31.13,33.1,52206267.0,31.35,32.14,31.01,31.68,22451206.0,0
31.35,32.14,31.01,31.68,22451206.0,30.72,31.72,30.72,31.15,23500356.0,0
30.72,31.72,30.72,31.15,23500356.0,31.14,31.94,30.73,31.05,18355444.0,0
31.14,31.94,30.73,31.05,18355444.0,31.74,31.99,30.9,31.0,12157485.0,0
31.74,31.99,30.9,31.0,12157485.0,31.12,31.89,30.75,31.07,26823364.0,0
31.12,31.89,30.75,31.07,26823364.0,30.9,31.34,30.53,31.21,15244262.0,0
30.9,31.34,30.53,31.21,15244262.0,30.01,31.0,30.0,30.65,29229755.0,0
30.01,31.0,30.0,30.65,29229755.0,28.22,29.9,28.11,29.51,31861207.0,0
28.22,29.9,28.11,29.51,31861207.0,27.25,28.97,27.12,27.7,14607786.0,0
27.25,28.97,27.12,27.7,14607786.0,26.0,26.99,25.74,26.99,30881518.0,0
26.0,26.99,25.74,26.99,30881518.0,24.3,26.3,24.2,25.75,17838499.0,0
24.3,26.3,24.2,25.75,17838499.0,24.52,25.05,23.35,24.11,34803249.0,0
24.52,25.05,23.35,24.11,34803249.0,25.26,25.46,24.0,24.6,13666760.0,0
25.26,25.46,24.0,24.6,13666760.0,25.73,26.4,25.53,26.15,20996676.0,0
25.73,26.4,25.53,26.15,20996676.0,24.9,26.11,24.55,26.11,17673025.0,0
24.9,26.11,24.55,26.11,17673025.0,24.45,25.25,24.36,24.93,5862315.0,0
24.45,25.25,24.36,24.93,5862315.0,24.85,25.43,24.28,24.45,7072063.0,0
24.85,25.43,24.28,24.45,7072063.0,25.89,25.89,24.72,24.72,8480314.0,0
25.89,25.89,24.72,24.72,8480314.0,26.29,26.29,25.65,25.75,20867228.0,0
26.29,26.29,25.65,25.75,20867228.0,25.9,26.3,25.33,26.23,18583577.0,0
25.9,26.3,25.33,26.23,18583577.0,25.1,25.85,24.93,25.81,29014852.0,0
25.1,25.85,24.93,25.81,29014852.0,24.9,25.42,24.0,24.98,12532861.0,0
24.9,25.42,24.0,24.98,12532861.0,23.4,25.7,23.4,25.29,26568061.0,0
23.4,25.7,23.4,25.29,26568061.0,22.51,23.56,21.68,23.3,66568017.0,0
22.51,23.56,21.68,23.3,66568017.0,24.7,25.43,23.64,24.49,27719098.0,0
24.7,25.43,23.64,24.49,27719098.0,24.7,25.79,23.98,23.98,18845890.0,0
24.7,25.79,23.98,23.98,18845890.0,25.51,25.97,24.93,24.95,11544790.0,0
25.51,25.97,24.93,24.95,11544790.0,25.25,25.56,25.01,25.26,18971254.0,0
25.25,25.56,25.01,25.26,18971254.0,25.11,25.65,24.8,25.23,10646744.0,0
25.11,25.65,24.8,25.23,10646744.0,25.5,25.89,25.13,25.5,11124017.0,0
25.5,25.89,25.13,25.5,11124017.0,25.4,25.96,25.28,25.96,10804858.0,0
25.4,25.96,25.28,25.96,10804858.0,26.26,26.44,25.59,25.59,9907107.0,0
26.26,26.44,25.59,25.59,9907107.0,26.25,27.0,25.31,26.5,13554336.0,0
26.25,27.0,25.31,26.5,13554336.0,24.95,26.45,24.87,26.45,16028921.0,0
24.95,26.45,24.87,26.45,16028921.0,23.76,25.39,23.76,24.94,12009079.0,0
23.76,25.39,23.76,24.94,12009079.0,23.0,23.97,22.95,23.65,11424266.0,1
23.0,23.97,22.95,23.65,11424266.0,22.7,23.21,22.7,22.9,5427261.0,1
22.7,23.21,22.7,22.9,5427261.0,22.25,22.95,21.85,22.79,15385134.0,1
22.25,22.95,21.85,22.79,15385134.0,22.69,22.7,21.92,22.37,27927564.0,1
22.69,22.7,21.92,22.37,27927564.0,22.85,23.45,22.28,22.64,5871793.0,1
22.85,23.45,22.28,22.64,5871793.0,23.4,23.62,22.94,23.44,19582488.0,1
23.4,23.62,22.94,23.44,19582488.0,23.27,23.65,23.17,23.41,7500122.0,1
23.27,23.65,23.17,23.41,7500122.0,23.76,24.05,23.16,23.55,19119383.0,1
23.76,24.05,23.16,23.55,19119383.0,24.31,24.88,23.65,23.85,8109439.0,1
24.31,24.88,23.65,23.85,8109439.0,24.25,24.84,23.71,24.84,8311933.0,1
24.25,24.84,23.71,24.84,8311933.0,22.85,24.2,22.85,24.2,4906772.0,1
22.85,24.2,22.85,24.2,4906772.0,22.63,23.8,22.56,22.8,7950548.0,1
22.63,23.8,22.56,22.8,7950548.0,21.82,22.77,21.31,22.65,18473605.0,1
21.82,22.77,21.31,22.65,18473605.0,21.59,21.71,20.66,21.7,15780041.0,1
21.59,21.71,20.66,21.7,15780041.0,21.22,22.35,21.0,22.0,13683241.0,1
21.22,22.35,21.0,22.0,13683241.0,20.55,21.06,20.53,21.01,20907740.0,1
20.55,21.06,20.53,21.01,20907740.0,20.5,20.86,19.98,20.86,16705738.0,1
20.5,20.86,19.98,20.86,16705738.0,21.08,21.15,20.13,20.63,12879903.0,1
21.08,21.15,20.13,20.63,12879903.0,21.69,21.76,21.05,21.08,12033124.0,1
21.69,21.76,21.05,21.08,12033124.0,20.63,21.54,20.6,21.54,10307906.0,1
20.63,21.54,20.6,21.54,10307906.0,20.31,20.62,19.8,20.62,6576266.0,1
20.31,20.62,19.8,20.62,6576266.0,20.37,20.44,20.16,20.17,4369726.0,1
20.37,20.44,20.16,20.17,4369726.0,20.55,20.59,20.15,20.4,6609951.0,1
20.55,20.59,20.15,20.4,6609951.0,21.85,22.01,20.86,20.86,14094115.0,1
21.85,22.01,20.86,20.86,14094115.0,22.46,22.53,21.74,21.74,23268308.0,1
22.46,22.53,21.74,21.74,23268308.0,22.3,22.65,21.91,22.46,8694550.0,1
22.3,22.65,21.91,22.46,8694550.0,22.1,23.22,22.0,22.48,21712412.0,1
22.1,23.22,22.0,22.48,21712412.0,22.13,23.0,21.66,22.03,7434622.0,1
22.13,23.0,21.66,22.03,7434622.0,21.8,22.78,21.8,22.0,17031930.0,1
