@RELATION "B3 - CMIG3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.435,13.514,13.259,13.417,6627740.0289,13.6002,13.6002,13.2626,13.4529,8273670.0722,1
13.6002,13.6002,13.2626,13.4529,8273670.0722,14.0097,14.0097,13.5428,13.5966,15619961.239,1
14.0097,14.0097,13.5428,13.5966,15619961.239,14.1175,14.1175,13.8804,14.0421,13765492.941,1
14.1175,14.1175,13.8804,14.0421,13765492.941,14.0097,14.1247,13.7583,14.1247,6586601.3818,1
14.0097,14.1247,13.7583,14.1247,6586601.3818,14.333,14.333,13.9307,14.0493,12887200.3641,0
14.333,14.333,13.9307,14.0493,12887200.3641,14.096,14.2145,14.0062,14.0457,4285467.8154,1
14.096,14.2145,14.0062,14.0457,4285467.8154,14.3618,14.3618,14.0097,14.2863,7626508.879,0
14.3618,14.3618,14.0097,14.2863,7626508.879,14.3295,14.4911,14.2612,14.2612,8079852.4269,0
14.3295,14.4911,14.2612,14.2612,8079852.4269,14.2468,14.5342,14.1894,14.369,11476666.4499,0
14.2468,14.5342,14.1894,14.369,11476666.4499,14.1103,14.2432,13.9559,14.1534,5056454.1649,1
14.1103,14.2432,13.9559,14.1534,5056454.1649,14.2971,14.2971,13.9379,14.1103,5305290.3662,0
14.2971,14.2971,13.9379,14.1103,5305290.3662,14.2899,14.2899,14.0564,14.254,17456944.6377,0
14.2899,14.2899,14.0564,14.254,17456944.6377,14.4049,14.448,14.2863,14.2899,20101081.2084,0
14.4049,14.448,14.2863,14.2899,20101081.2084,14.369,14.6312,14.1391,14.5522,20339330.7082,0
14.369,14.6312,14.1391,14.5522,20339330.7082,14.1534,14.5845,14.1175,14.5845,18521460.718,1
14.1534,14.5845,14.1175,14.5845,18521460.718,14.4013,14.4013,13.9738,14.333,9400979.7958,1
14.4013,14.4013,13.9738,14.333,9400979.7958,14.7857,14.818,14.3654,14.369,10658503.4424,0
