@RELATION "B3 - BBDC4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.2428,11.3576,11.0777,11.3289,1179461155.9155,11.2643,11.3217,11.092,11.1997,605781099.8873,0
11.2643,11.3217,11.092,11.1997,605781099.8873,11.3935,11.4258,11.1638,11.2141,582858527.0147,0
11.3935,11.4258,11.1638,11.2141,582858527.0147,11.3935,11.4042,11.2643,11.3253,374098121.9287,0
11.3935,11.4042,11.2643,11.3253,374098121.9287,11.4222,11.4473,11.2428,11.3396,436456900.0039,0
11.4222,11.4473,11.2428,11.3396,436456900.0039,11.3863,11.5729,11.2966,11.4401,700038711.7814,0
11.3863,11.5729,11.2966,11.4401,700038711.7814,11.3038,11.4581,11.1853,11.3648,583768133.6146,0
11.3038,11.4581,11.1853,11.3648,583768133.6146,11.092,11.1925,10.9844,11.0885,593857598.969,0
11.092,11.1925,10.9844,11.0885,593857598.969,11.2392,11.2715,11.1459,11.2392,609827268.0933,0
11.2392,11.2715,11.1459,11.2392,609827268.0933,11.1423,11.2751,11.092,11.2535,401854808.6237,0
11.1423,11.2751,11.092,11.2535,401854808.6237,11.0203,11.2715,10.9664,11.232,870441728.4112,0
11.0203,11.2715,10.9664,11.232,870441728.4112,11.0885,11.11,10.8229,10.927,708326099.2465,0
11.0885,11.11,10.8229,10.927,708326099.2465,11.0562,11.1853,10.9664,11.1602,459586737.959,0
11.0562,11.1853,10.9664,11.1602,459586737.959,11.0526,11.1925,10.9844,11.153,566296857.8522,0
11.0526,11.1925,10.9844,11.153,566296857.8522,10.8803,11.0346,10.8767,10.9808,631622572.1713,1
10.8803,11.0346,10.8767,10.9808,631622572.1713,10.8983,10.9808,10.8408,10.9449,560255274.5135,1
10.8983,10.9808,10.8408,10.9449,560255274.5135,10.787,10.9234,10.7547,10.8265,448257076.2893,1
10.787,10.9234,10.7547,10.8265,448257076.2893,11.0203,11.0454,10.8408,10.8696,840616269.9541,0
11.0203,11.0454,10.8408,10.8696,840616269.9541,11.1961,11.2571,11.0059,11.1208,1099322323.7262,0
11.1961,11.2571,11.0059,11.1208,1099322323.7262,11.3432,11.4042,11.2392,11.2392,580333965.467,0
11.3432,11.4042,11.2392,11.2392,580333965.467,11.5083,11.5873,11.3504,11.3612,544245842.217,0
11.5083,11.5873,11.3504,11.3612,544245842.217,11.3432,11.4473,11.2679,11.4294,353523111.6797,0
