@RELATION "B3 - GGBR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.0474,0.9667,12.3997,0.0802,10.0605,12.1225,0.9727,12.477,0.0802,10.1232,12.1642,0.976,12.5199,0.0802,10.158,11.9056,0.9553,12.2537,0.0802,9.9421,12.0141,0.964,12.3653,0.0802,10.0326,12.0391,0.966,12.3911,0.0802,10.0535,11.7638,0.9439,12.1077,0.0802,9.8236,13.4286,1
11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.0474,0.9667,12.3997,0.0802,10.0605,12.1225,0.9727,12.477,0.0802,10.1232,12.1642,0.976,12.5199,0.0802,10.158,11.9056,0.9553,12.2537,0.0802,9.9421,12.0141,0.964,12.3653,0.0802,10.0326,11.722,0.9405,12.0648,0.0802,9.7888,13.381,1
11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.0474,0.9667,12.3997,0.0802,10.0605,12.1225,0.9727,12.477,0.0802,10.1232,12.1642,0.976,12.5199,0.0802,10.158,11.9056,0.9553,12.2537,0.0802,9.9421,11.964,0.96,12.3138,0.0802,9.9908,13.6571,1
11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.0474,0.9667,12.3997,0.0802,10.0605,12.1225,0.9727,12.477,0.0802,10.1232,12.1642,0.976,12.5199,0.0802,10.158,12.1726,0.9767,12.5285,0.0802,10.165,13.8952,0
12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.0474,0.9667,12.3997,0.0802,10.0605,12.1225,0.9727,12.477,0.0802,10.1232,12.1475,0.9747,12.5027,0.0802,10.1441,13.8667,1
12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.0474,0.9667,12.3997,0.0802,10.0605,12.7983,1.0269,13.1725,0.0802,10.6875,14.6095,0
12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.1809,0.9774,12.5371,0.0802,10.172,12.9568,1.0396,13.3357,0.0802,10.8199,14.7905,0
12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,12.3812,0.9934,12.7432,0.0802,10.3392,12.9902,1.0423,13.37,0.0802,10.8478,14.8286,0
12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.5063,1.0035,12.872,0.0802,10.4437,13.0236,1.045,13.4044,0.0802,10.8757,14.8667,0
13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.2977,0.9867,12.6573,0.0802,10.2695,12.9652,1.0403,13.3442,0.0802,10.8269,14.8,0
