@RELATION "B3 - ITUB4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.6666,2.0731,62.2961,0.1517,13.9053,13.8843,2.1062,63.2887,0.1517,14.1269,14.0608,2.1329,64.0931,0.1517,14.3064,13.629,2.0674,62.1249,0.1517,13.8671,13.8731,2.1045,63.2374,0.1517,14.1154,13.9669,2.1187,63.6652,0.1517,14.2109,13.5164,2.0503,61.6115,0.1517,13.7525,16.3923,0
13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.6666,2.0731,62.2961,0.1517,13.9053,13.8843,2.1062,63.2887,0.1517,14.1269,14.0608,2.1329,64.0931,0.1517,14.3064,13.629,2.0674,62.1249,0.1517,13.8671,13.8731,2.1045,63.2374,0.1517,14.1154,13.37,2.0281,60.944,0.1517,13.6035,16.2147,0
13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.6666,2.0731,62.2961,0.1517,13.9053,13.8843,2.1062,63.2887,0.1517,14.1269,14.0608,2.1329,64.0931,0.1517,14.3064,13.629,2.0674,62.1249,0.1517,13.8671,13.7342,2.0834,62.6041,0.1517,13.9741,16.6564,0
13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.6666,2.0731,62.2961,0.1517,13.9053,13.8843,2.1062,63.2887,0.1517,14.1269,14.0608,2.1329,64.0931,0.1517,14.3064,13.8168,2.0959,62.9806,0.1517,14.0581,16.7566,0
13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.6666,2.0731,62.2961,0.1517,13.9053,13.8843,2.1062,63.2887,0.1517,14.1269,13.9669,2.1187,63.6652,0.1517,14.2109,16.9387,0
13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.6666,2.0731,62.2961,0.1517,13.9053,14.1547,2.1472,64.5209,0.1517,14.4019,17.1664,0
14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.7004,2.0783,62.4501,0.1517,13.9397,13.9482,2.1158,63.5796,0.1517,14.1918,16.916,0
13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7642,2.0879,62.741,0.1517,14.0046,13.4788,2.0447,61.4404,0.1517,13.7143,16.3468,0
13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,13.6403,2.0691,62.1763,0.1517,13.8786,13.7604,2.0874,62.7239,0.1517,14.0008,16.6883,0
13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,13.5539,2.056,61.7826,0.1517,13.7907,14.1997,2.154,64.7263,0.1517,14.4478,17.221,0
