@RELATION "B3 - BEEF3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,86.881,7.3536,1.136,0.0846,13.424,83.6681,7.0817,1.094,0.0846,12.9276,83.4004,7.059,1.0905,0.0846,12.8862,84.3375,7.1384,1.1027,0.0846,13.031,85.6762,7.2517,1.1202,0.0846,13.2378,93.5744,7.9202,1.2235,0.0846,14.4582,89.0229,7.5349,1.164,0.0846,13.7549,6.65,1
89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,86.881,7.3536,1.136,0.0846,13.424,83.6681,7.0817,1.094,0.0846,12.9276,83.4004,7.059,1.0905,0.0846,12.8862,84.3375,7.1384,1.1027,0.0846,13.031,85.6762,7.2517,1.1202,0.0846,13.2378,93.039,7.8748,1.2165,0.0846,14.3755,6.95,1
93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,86.881,7.3536,1.136,0.0846,13.424,83.6681,7.0817,1.094,0.0846,12.9276,83.4004,7.059,1.0905,0.0846,12.8862,84.3375,7.1384,1.1027,0.0846,13.031,93.7083,7.9315,1.2252,0.0846,14.4789,7.0,1
93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,86.881,7.3536,1.136,0.0846,13.424,83.6681,7.0817,1.094,0.0846,12.9276,83.4004,7.059,1.0905,0.0846,12.8862,93.4406,7.9088,1.2217,0.0846,14.4375,6.98,1
93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,86.881,7.3536,1.136,0.0846,13.424,83.6681,7.0817,1.094,0.0846,12.9276,96.3857,8.1581,1.2602,0.0846,14.8926,7.2,1
96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,86.881,7.3536,1.136,0.0846,13.424,93.7083,7.9315,1.2252,0.0846,14.4789,7.0,1
93.7083,7.9315,1.2252,0.0846,14.4789,96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,85.6762,7.2517,1.1202,0.0846,13.2378,89.8261,7.6029,1.1745,0.0846,13.879,6.71,1
89.8261,7.6029,1.1745,0.0846,13.879,93.7083,7.9315,1.2252,0.0846,14.4789,96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,87.6842,7.4216,1.1465,0.0846,13.5481,93.5744,7.9202,1.2235,0.0846,14.4582,6.99,1
93.5744,7.9202,1.2235,0.0846,14.4582,89.8261,7.6029,1.1745,0.0846,13.879,93.7083,7.9315,1.2252,0.0846,14.4789,96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,88.4874,7.4896,1.157,0.0846,13.6722,94.6454,8.0108,1.2375,0.0846,14.6237,7.07,1
94.6454,8.0108,1.2375,0.0846,14.6237,93.5744,7.9202,1.2235,0.0846,14.4582,89.8261,7.6029,1.1745,0.0846,13.879,93.7083,7.9315,1.2252,0.0846,14.4789,96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,88.3536,7.4783,1.1552,0.0846,13.6515,100.4018,8.498,1.3128,0.0846,15.5131,7.5,1
100.4018,8.498,1.3128,0.0846,15.5131,94.6454,8.0108,1.2375,0.0846,14.6237,93.5744,7.9202,1.2235,0.0846,14.4582,89.8261,7.6029,1.1745,0.0846,13.879,93.7083,7.9315,1.2252,0.0846,14.4789,96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,89.0229,7.5349,1.164,0.0846,13.7549,105.7565,8.9513,1.3828,0.0846,16.3404,7.9,1
105.7565,8.9513,1.3828,0.0846,16.3404,100.4018,8.498,1.3128,0.0846,15.5131,94.6454,8.0108,1.2375,0.0846,14.6237,93.5744,7.9202,1.2235,0.0846,14.4582,89.8261,7.6029,1.1745,0.0846,13.879,93.7083,7.9315,1.2252,0.0846,14.4789,96.3857,8.1581,1.2602,0.0846,14.8926,93.4406,7.9088,1.2217,0.0846,14.4375,93.7083,7.9315,1.2252,0.0846,14.4789,93.039,7.8748,1.2165,0.0846,14.3755,104.9533,8.8833,1.3723,0.0846,16.2163,7.84,1
