@RELATION "B3 - FESA4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.13,10.9,11.01,939173.0,11.28,11.3,11.0,11.01,793775.0,11.11,11.33,10.5,10.64,1962731.0,10.8,11.12,10.4,10.99,1417994.0,10.9,10.94,10.62,10.82,1178059.0,10.83,10.95,10.6,10.66,2431147.0,11.45,11.75,11.27,11.56,2725819.0,1
11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.13,10.9,11.01,939173.0,11.28,11.3,11.0,11.01,793775.0,11.11,11.33,10.5,10.64,1962731.0,10.8,11.12,10.4,10.99,1417994.0,10.9,10.94,10.62,10.82,1178059.0,11.22,11.5,11.05,11.45,1045325.0,1
11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.13,10.9,11.01,939173.0,11.28,11.3,11.0,11.01,793775.0,11.11,11.33,10.5,10.64,1962731.0,10.8,11.12,10.4,10.99,1417994.0,11.24,11.24,10.83,11.09,946143.0,1
11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.13,10.9,11.01,939173.0,11.28,11.3,11.0,11.01,793775.0,11.11,11.33,10.5,10.64,1962731.0,11.3,11.3,11.05,11.1,1313927.0,1
11.3,11.3,11.05,11.1,1313927.0,11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.13,10.9,11.01,939173.0,11.28,11.3,11.0,11.01,793775.0,11.49,11.57,11.2,11.32,1101788.0,1
11.49,11.57,11.2,11.32,1101788.0,11.3,11.3,11.05,11.1,1313927.0,11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.13,10.9,11.01,939173.0,11.39,11.55,11.2,11.49,891801.0,0
11.39,11.55,11.2,11.49,891801.0,11.49,11.57,11.2,11.32,1101788.0,11.3,11.3,11.05,11.1,1313927.0,11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.2,11.2,11.07,11.1,525785.0,11.1,11.34,11.1,11.21,718124.0,0
11.1,11.34,11.1,11.21,718124.0,11.39,11.55,11.2,11.49,891801.0,11.49,11.57,11.2,11.32,1101788.0,11.3,11.3,11.05,11.1,1313927.0,11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.0,11.11,10.77,11.11,1202709.0,11.51,11.55,11.22,11.22,969654.0,0
11.51,11.55,11.22,11.22,969654.0,11.1,11.34,11.1,11.21,718124.0,11.39,11.55,11.2,11.49,891801.0,11.49,11.57,11.2,11.32,1101788.0,11.3,11.3,11.05,11.1,1313927.0,11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,10.9,11.08,10.66,11.05,704493.0,11.36,11.5,11.25,11.25,530568.0,0
11.36,11.5,11.25,11.25,530568.0,11.51,11.55,11.22,11.22,969654.0,11.1,11.34,11.1,11.21,718124.0,11.39,11.55,11.2,11.49,891801.0,11.49,11.57,11.2,11.32,1101788.0,11.3,11.3,11.05,11.1,1313927.0,11.24,11.24,10.83,11.09,946143.0,11.22,11.5,11.05,11.45,1045325.0,11.45,11.75,11.27,11.56,2725819.0,11.39,11.47,11.0,11.07,2024663.0,11.36,11.37,11.21,11.36,913632.0,0
