@RELATION "B3 - BBDC3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.3624,9.4665,9.2727,9.3696,26065984.1442,9.366,9.3875,9.244,9.2906,25375653.2282,9.348,9.3839,9.2583,9.3839,17978187.238,9.3983,9.4019,9.2224,9.2332,27664572.9058,9.3157,9.3373,9.1901,9.2942,44498481.4393,9.3373,9.4126,9.1184,9.3301,75680204.3235,9.2942,9.3337,9.2045,9.3301,160750829.1293,1
9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.3624,9.4665,9.2727,9.3696,26065984.1442,9.366,9.3875,9.244,9.2906,25375653.2282,9.348,9.3839,9.2583,9.3839,17978187.238,9.3983,9.4019,9.2224,9.2332,27664572.9058,9.3157,9.3373,9.1901,9.2942,44498481.4393,9.3947,9.3947,9.1507,9.2942,38870165.8983,1
9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.3624,9.4665,9.2727,9.3696,26065984.1442,9.366,9.3875,9.244,9.2906,25375653.2282,9.348,9.3839,9.2583,9.3839,17978187.238,9.3983,9.4019,9.2224,9.2332,27664572.9058,9.3624,9.4377,9.2691,9.3983,10544678.2967,1
9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.3624,9.4665,9.2727,9.3696,26065984.1442,9.366,9.3875,9.244,9.2906,25375653.2282,9.348,9.3839,9.2583,9.3839,17978187.238,9.3229,9.4377,9.2583,9.4377,147320390.6493,1
9.3229,9.4377,9.2583,9.4377,147320390.6493,9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.3624,9.4665,9.2727,9.3696,26065984.1442,9.366,9.3875,9.244,9.2906,25375653.2282,9.2332,9.3265,9.1291,9.2942,113183549.8417,1
9.2332,9.3265,9.1291,9.2942,113183549.8417,9.3229,9.4377,9.2583,9.4377,147320390.6493,9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.3624,9.4665,9.2727,9.3696,26065984.1442,9.2368,9.2619,9.183,9.2511,44998100.1669,1
9.2368,9.2619,9.183,9.2511,44998100.1669,9.2332,9.3265,9.1291,9.2942,113183549.8417,9.3229,9.4377,9.2583,9.4377,147320390.6493,9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.2655,9.409,9.2224,9.366,26674383.8088,9.1937,9.2224,9.0932,9.2224,34850850.1647,1
9.1937,9.2224,9.0932,9.2224,34850850.1647,9.2368,9.2619,9.183,9.2511,44998100.1669,9.2332,9.3265,9.1291,9.2942,113183549.8417,9.3229,9.4377,9.2583,9.4377,147320390.6493,9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.2045,9.2153,9.1291,9.1507,41134930.6123,9.4377,9.4377,9.1363,9.2224,125864618.7507,1
9.4377,9.4377,9.1363,9.2224,125864618.7507,9.1937,9.2224,9.0932,9.2224,34850850.1647,9.2368,9.2619,9.183,9.2511,44998100.1669,9.2332,9.3265,9.1291,9.2942,113183549.8417,9.3229,9.4377,9.2583,9.4377,147320390.6493,9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.366,9.5059,9.2081,9.2834,38338071.1733,9.5633,9.5992,9.3839,9.4342,192351891.9923,0
9.5633,9.5992,9.3839,9.4342,192351891.9923,9.4377,9.4377,9.1363,9.2224,125864618.7507,9.1937,9.2224,9.0932,9.2224,34850850.1647,9.2368,9.2619,9.183,9.2511,44998100.1669,9.2332,9.3265,9.1291,9.2942,113183549.8417,9.3229,9.4377,9.2583,9.4377,147320390.6493,9.3624,9.4377,9.2691,9.3983,10544678.2967,9.3947,9.3947,9.1507,9.2942,38870165.8983,9.2942,9.3337,9.2045,9.3301,160750829.1293,9.2727,9.4234,9.2009,9.3839,36481435.6145,9.6566,9.6889,9.5705,9.5705,40610150.9287,0
