@RELATION "B3 - PDGR3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,267500.0317,267500.0317,248500.0294,255500.0303,3446.0128,251500.0298,272000.0322,248500.0294,269500.0319,5440.6715,265500.0315,284500.0337,260500.0309,282500.0335,5390.438,283500.0336,294500.0349,282500.0335,292000.0346,3590.2847,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,0
225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,267500.0317,267500.0317,248500.0294,255500.0303,3446.0128,251500.0298,272000.0322,248500.0294,269500.0319,5440.6715,265500.0315,284500.0337,260500.0309,282500.0335,5390.438,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,0
230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,267500.0317,267500.0317,248500.0294,255500.0303,3446.0128,251500.0298,272000.0322,248500.0294,269500.0319,5440.6715,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,0
233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,267500.0317,267500.0317,248500.0294,255500.0303,3446.0128,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,0
238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,255000.0302,270500.0321,254000.0301,263500.0312,3679.6006,229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,0
229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,263000.0312,269000.0319,253000.03,259000.0307,2769.2996,225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,0
225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,256000.0303,270000.032,256000.0303,268000.0318,2850.5379,235500.0279,235500.0279,221000.0262,225000.0267,2472.6977,0
235500.0279,235500.0279,221000.0262,225000.0267,2472.6977,225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,250000.0296,258000.0306,250000.0296,254000.0301,5197.6906,250500.0297,251000.0297,233500.0277,235500.0279,4041.946,0
250500.0297,251000.0297,233500.0277,235500.0279,4041.946,235500.0279,235500.0279,221000.0262,225000.0267,2472.6977,225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,245000.029,258000.0306,245000.029,250000.0296,3763.3896,255000.0302,255000.0302,243500.0289,254000.0301,6125.9314,0
255000.0302,255000.0302,243500.0289,254000.0301,6125.9314,250500.0297,251000.0297,233500.0277,235500.0279,4041.946,235500.0279,235500.0279,221000.0262,225000.0267,2472.6977,225000.0267,232000.0275,223500.0265,229000.0271,1168.7386,229000.0271,240500.0285,229000.0271,240000.0284,2378.4352,238000.0282,240000.0284,229000.0271,231500.0274,3213.0274,233000.0276,237500.0281,227500.027,233500.0277,2446.1395,230000.0273,233000.0276,223000.0264,226000.0268,2666.6319,225000.0267,233500.0277,225000.0267,232000.0275,3325.0376,238000.0282,251000.0297,238000.0282,249000.0295,3644.1649,251000.0297,259000.0307,250500.0297,255000.0302,4170.4584,0
