@RELATION "B3 - ENBR3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,14.3333,14.63,14.22,14.58,59297226.0,14.6667,14.6667,14.3,14.48,48150957.0,14.51,14.51,14.2267,14.25,42276492.0,14.1933,14.1933,14.01,14.1133,44076858.0,14.1333,14.1333,13.6267,14.0,82904352.0,13.8,14.31,13.65,14.2,139551711.0,13.8667,13.9667,13.6967,13.9667,109564011.0,0
13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,14.3333,14.63,14.22,14.58,59297226.0,14.6667,14.6667,14.3,14.48,48150957.0,14.51,14.51,14.2267,14.25,42276492.0,14.1933,14.1933,14.01,14.1133,44076858.0,14.1333,14.1333,13.6267,14.0,82904352.0,13.9367,13.95,13.7367,13.8867,41321277.0,0
13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,14.3333,14.63,14.22,14.58,59297226.0,14.6667,14.6667,14.3,14.48,48150957.0,14.51,14.51,14.2267,14.25,42276492.0,14.1933,14.1933,14.01,14.1133,44076858.0,14.0833,14.0833,13.8433,13.9533,39506229.0,0
14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,14.3333,14.63,14.22,14.58,59297226.0,14.6667,14.6667,14.3,14.48,48150957.0,14.51,14.51,14.2267,14.25,42276492.0,13.9967,14.0,13.7733,13.9567,61096209.0,0
13.9967,14.0,13.7733,13.9567,61096209.0,14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,14.3333,14.63,14.22,14.58,59297226.0,14.6667,14.6667,14.3,14.48,48150957.0,13.85,13.9667,13.6767,13.9367,68291046.0,0
13.85,13.9667,13.6767,13.9367,68291046.0,13.9967,14.0,13.7733,13.9567,61096209.0,14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,14.3333,14.63,14.22,14.58,59297226.0,13.7267,13.8467,13.68,13.71,73293459.0,0
13.7267,13.8467,13.68,13.71,73293459.0,13.85,13.9667,13.6767,13.9367,68291046.0,13.9967,14.0,13.7733,13.9567,61096209.0,14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,13.9667,14.48,13.9333,14.48,103487232.0,13.96,13.96,13.7067,13.7767,85300983.0,0
13.96,13.96,13.7067,13.7767,85300983.0,13.7267,13.8467,13.68,13.71,73293459.0,13.85,13.9667,13.6767,13.9367,68291046.0,13.9967,14.0,13.7733,13.9567,61096209.0,14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,13.9733,14.1,13.7533,14.1,56220609.0,14.05,14.1433,13.8367,13.95,55118664.0,0
14.05,14.1433,13.8367,13.95,55118664.0,13.96,13.96,13.7067,13.7767,85300983.0,13.7267,13.8467,13.68,13.71,73293459.0,13.85,13.9667,13.6767,13.9367,68291046.0,13.9967,14.0,13.7733,13.9567,61096209.0,14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.07,14.07,13.8,13.9333,46277571.0,14.16,14.1633,14.02,14.1,102550503.0,0
14.16,14.1633,14.02,14.1,102550503.0,14.05,14.1433,13.8367,13.95,55118664.0,13.96,13.96,13.7067,13.7767,85300983.0,13.7267,13.8467,13.68,13.71,73293459.0,13.85,13.9667,13.6767,13.9367,68291046.0,13.9967,14.0,13.7733,13.9567,61096209.0,14.0833,14.0833,13.8433,13.9533,39506229.0,13.9367,13.95,13.7367,13.8867,41321277.0,13.8667,13.9667,13.6967,13.9667,109564011.0,14.0,14.0933,13.9667,14.0833,61416699.0,14.0533,14.14,14.0167,14.1367,43337652.0,0
