@RELATION "B3 - EMBR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,68.2207,1.8901,1.2594,0.0277,25.176,68.5524,1.8993,1.2655,0.0277,25.2984,68.9787,1.9111,1.2734,0.0277,25.4557,67.1311,1.8599,1.2393,0.0277,24.7739,66.7047,1.8481,1.2314,0.0277,24.6165,67.2732,1.8639,1.2419,0.0277,24.8263,75.8008,2.1001,1.3993,0.0277,27.9733,16.0,0
75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,68.2207,1.8901,1.2594,0.0277,25.176,68.5524,1.8993,1.2655,0.0277,25.2984,68.9787,1.9111,1.2734,0.0277,25.4557,67.1311,1.8599,1.2393,0.0277,24.7739,66.7047,1.8481,1.2314,0.0277,24.6165,75.5639,2.0936,1.3949,0.0277,27.8859,15.95,0
75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,68.2207,1.8901,1.2594,0.0277,25.176,68.5524,1.8993,1.2655,0.0277,25.2984,68.9787,1.9111,1.2734,0.0277,25.4557,67.1311,1.8599,1.2393,0.0277,24.7739,76.1324,2.1093,1.4054,0.0277,28.0957,16.07,0
76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,68.2207,1.8901,1.2594,0.0277,25.176,68.5524,1.8993,1.2655,0.0277,25.2984,68.9787,1.9111,1.2734,0.0277,25.4557,75.9903,2.1054,1.4028,0.0277,28.0433,16.04,0
75.9903,2.1054,1.4028,0.0277,28.0433,76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,68.2207,1.8901,1.2594,0.0277,25.176,68.5524,1.8993,1.2655,0.0277,25.2984,76.7957,2.1277,1.4177,0.0277,28.3405,16.21,0
76.7957,2.1277,1.4177,0.0277,28.3405,75.9903,2.1054,1.4028,0.0277,28.0433,76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,68.2207,1.8901,1.2594,0.0277,25.176,78.3117,2.1697,1.4457,0.0277,28.9,16.53,0
78.3117,2.1697,1.4457,0.0277,28.9,76.7957,2.1277,1.4177,0.0277,28.3405,75.9903,2.1054,1.4028,0.0277,28.0433,76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,68.6945,1.9032,1.2681,0.0277,25.3508,76.5588,2.1211,1.4133,0.0277,28.2531,16.16,0
76.5588,2.1211,1.4133,0.0277,28.2531,78.3117,2.1697,1.4457,0.0277,28.9,76.7957,2.1277,1.4177,0.0277,28.3405,75.9903,2.1054,1.4028,0.0277,28.0433,76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,69.3577,1.9216,1.2804,0.0277,25.5956,75.6113,2.0949,1.3958,0.0277,27.9034,15.96,0
75.6113,2.0949,1.3958,0.0277,27.9034,76.5588,2.1211,1.4133,0.0277,28.2531,78.3117,2.1697,1.4457,0.0277,28.9,76.7957,2.1277,1.4177,0.0277,28.3405,75.9903,2.1054,1.4028,0.0277,28.0433,76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,69.642,1.9295,1.2856,0.0277,25.7005,77.6958,2.1526,1.4343,0.0277,28.6727,16.4,0
77.6958,2.1526,1.4343,0.0277,28.6727,75.6113,2.0949,1.3958,0.0277,27.9034,76.5588,2.1211,1.4133,0.0277,28.2531,78.3117,2.1697,1.4457,0.0277,28.9,76.7957,2.1277,1.4177,0.0277,28.3405,75.9903,2.1054,1.4028,0.0277,28.0433,76.1324,2.1093,1.4054,0.0277,28.0957,75.5639,2.0936,1.3949,0.0277,27.8859,75.8008,2.1001,1.3993,0.0277,27.9733,74.9954,2.0778,1.3845,0.0277,27.6761,72.4845,2.0082,1.3381,0.0277,26.7495,72.7214,2.0148,1.3425,0.0277,26.8369,73.1952,2.0279,1.3512,0.0277,27.0118,72.4845,2.0082,1.3381,0.0277,26.7495,69.1682,1.9164,1.2769,0.0277,25.5257,77.2221,2.1395,1.4256,0.0277,28.4978,16.3,0
