@RELATION "B3 - DIRR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,9.7594,1.4782,237.8303,0.1515,11.7377,9.6995,1.4692,236.37,0.1515,11.6656,9.7594,1.4782,237.8303,0.1515,11.7377,9.631,1.4588,234.701,0.1515,11.5832,9.9306,1.5042,242.0028,0.1515,11.9436,10.059,1.5236,245.1321,0.1515,12.098,8.7749,1.3291,213.8387,0.1515,10.5536,10.25,1
8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,9.7594,1.4782,237.8303,0.1515,11.7377,9.6995,1.4692,236.37,0.1515,11.6656,9.7594,1.4782,237.8303,0.1515,11.7377,9.631,1.4588,234.701,0.1515,11.5832,9.9306,1.5042,242.0028,0.1515,11.9436,8.8605,1.3421,215.9249,0.1515,10.6566,10.35,1
8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,9.7594,1.4782,237.8303,0.1515,11.7377,9.6995,1.4692,236.37,0.1515,11.6656,9.7594,1.4782,237.8303,0.1515,11.7377,9.631,1.4588,234.701,0.1515,11.5832,8.7749,1.3291,213.8387,0.1515,10.5536,10.25,1
8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,9.7594,1.4782,237.8303,0.1515,11.7377,9.6995,1.4692,236.37,0.1515,11.6656,9.7594,1.4782,237.8303,0.1515,11.7377,8.7321,1.3226,212.7955,0.1515,10.5021,10.2,1
8.7321,1.3226,212.7955,0.1515,10.5021,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,9.7594,1.4782,237.8303,0.1515,11.7377,9.6995,1.4692,236.37,0.1515,11.6656,8.6465,1.3097,210.7093,0.1515,10.3991,10.1,1
8.6465,1.3097,210.7093,0.1515,10.3991,8.7321,1.3226,212.7955,0.1515,10.5021,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,9.7594,1.4782,237.8303,0.1515,11.7377,8.4753,1.2837,206.5369,0.1515,10.1932,9.9,1
8.4753,1.2837,206.5369,0.1515,10.1932,8.6465,1.3097,210.7093,0.1515,10.3991,8.7321,1.3226,212.7955,0.1515,10.5021,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,9.571,1.4497,233.2406,0.1515,11.5111,8.6722,1.3136,211.3352,0.1515,10.43,10.13,1
8.6722,1.3136,211.3352,0.1515,10.43,8.4753,1.2837,206.5369,0.1515,10.1932,8.6465,1.3097,210.7093,0.1515,10.3991,8.7321,1.3226,212.7955,0.1515,10.5021,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,9.3313,1.4134,227.3992,0.1515,11.2228,8.8006,1.333,214.4645,0.1515,10.5845,10.28,1
8.8006,1.333,214.4645,0.1515,10.5845,8.6722,1.3136,211.3352,0.1515,10.43,8.4753,1.2837,206.5369,0.1515,10.1932,8.6465,1.3097,210.7093,0.1515,10.3991,8.7321,1.3226,212.7955,0.1515,10.5021,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,9.4169,1.4264,229.4854,0.1515,11.3258,8.7749,1.3291,213.8387,0.1515,10.5536,10.25,1
8.7749,1.3291,213.8387,0.1515,10.5536,8.8006,1.333,214.4645,0.1515,10.5845,8.6722,1.3136,211.3352,0.1515,10.43,8.4753,1.2837,206.5369,0.1515,10.1932,8.6465,1.3097,210.7093,0.1515,10.3991,8.7321,1.3226,212.7955,0.1515,10.5021,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.7749,1.3291,213.8387,0.1515,10.5536,8.8605,1.3421,215.9249,0.1515,10.6566,8.8091,1.3343,214.6732,0.1515,10.5948,8.9033,1.3486,216.968,0.1515,10.708,9.0317,1.368,220.0974,0.1515,10.8625,9.3485,1.416,227.8164,0.1515,11.2434,9.3827,1.4212,228.6509,0.1515,11.2846,8.7749,1.3291,213.8387,0.1515,10.5536,10.25,1
