@RELATION "B3 - PDGR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,52.0051,5.7354,352.8781,0.1103,52.7258,50.4232,5.5609,342.1441,0.1103,51.122,52.895,5.8335,358.9159,0.1103,53.6279,49.7312,5.4846,337.448,0.1103,50.4203,52.4995,5.7899,356.2324,0.1103,53.227,56.0588,6.1824,380.3838,0.1103,56.8356,44.4911,4.9067,301.8919,0.1103,45.1076,225000.0267,0
44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,52.0051,5.7354,352.8781,0.1103,52.7258,50.4232,5.5609,342.1441,0.1103,51.122,52.895,5.8335,358.9159,0.1103,53.6279,49.7312,5.4846,337.448,0.1103,50.4203,52.4995,5.7899,356.2324,0.1103,53.227,46.5673,5.1357,315.9802,0.1103,47.2126,235500.0279,0
46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,52.0051,5.7354,352.8781,0.1103,52.7258,50.4232,5.5609,342.1441,0.1103,51.122,52.895,5.8335,358.9159,0.1103,53.6279,49.7312,5.4846,337.448,0.1103,50.4203,49.5334,5.4628,336.1063,0.1103,50.2198,250500.0297,0
49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,52.0051,5.7354,352.8781,0.1103,52.7258,50.4232,5.5609,342.1441,0.1103,51.122,52.895,5.8335,358.9159,0.1103,53.6279,50.4232,5.5609,342.1441,0.1103,51.122,255000.0302,0
50.4232,5.5609,342.1441,0.1103,51.122,49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,52.0051,5.7354,352.8781,0.1103,52.7258,50.4232,5.5609,342.1441,0.1103,51.122,49.6323,5.4737,336.7772,0.1103,50.3201,251000.0297,0
49.6323,5.4737,336.7772,0.1103,50.3201,50.4232,5.5609,342.1441,0.1103,51.122,49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,52.0051,5.7354,352.8781,0.1103,52.7258,51.1153,5.6372,346.8402,0.1103,51.8236,258500.0306,0
51.1153,5.6372,346.8402,0.1103,51.8236,49.6323,5.4737,336.7772,0.1103,50.3201,50.4232,5.5609,342.1441,0.1103,51.122,49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,50.621,5.5827,343.4859,0.1103,51.3224,49.6323,5.4737,336.7772,0.1103,50.3201,251000.0297,0
49.6323,5.4737,336.7772,0.1103,50.3201,51.1153,5.6372,346.8402,0.1103,51.8236,49.6323,5.4737,336.7772,0.1103,50.3201,50.4232,5.5609,342.1441,0.1103,51.122,49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,49.4345,5.4519,335.4354,0.1103,50.1196,46.4685,5.1248,315.3093,0.1103,47.1124,235000.0278,0
46.4685,5.1248,315.3093,0.1103,47.1124,49.6323,5.4737,336.7772,0.1103,50.3201,51.1153,5.6372,346.8402,0.1103,51.8236,49.6323,5.4737,336.7772,0.1103,50.3201,50.4232,5.5609,342.1441,0.1103,51.122,49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,48.4459,5.3428,328.7267,0.1103,49.1172,44.7877,4.9394,303.9045,0.1103,45.4083,226500.0268,0
44.7877,4.9394,303.9045,0.1103,45.4083,46.4685,5.1248,315.3093,0.1103,47.1124,49.6323,5.4737,336.7772,0.1103,50.3201,51.1153,5.6372,346.8402,0.1103,51.8236,49.6323,5.4737,336.7772,0.1103,50.3201,50.4232,5.5609,342.1441,0.1103,51.122,49.5334,5.4628,336.1063,0.1103,50.2198,46.5673,5.1357,315.9802,0.1103,47.2126,44.4911,4.9067,301.8919,0.1103,45.1076,45.282,4.9939,307.2589,0.1103,45.9095,47.0617,5.1902,319.3345,0.1103,47.7138,46.073,5.0811,312.6258,0.1103,46.7114,45.4798,5.0157,308.6006,0.1103,46.11,44.4911,4.9067,301.8919,0.1103,45.1076,47.0617,5.1902,319.3345,0.1103,47.7138,40.2397,4.4378,273.0444,0.1103,40.7973,203500.0241,0
