@RELATION "B3 - BBDC3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.0485,1.7954,1.2404,0.1984,10.8444,9.0519,1.796,1.2409,0.1984,10.8486,9.0346,1.7926,1.2385,0.1984,10.8278,9.0831,1.8022,1.2452,0.1984,10.886,9.0034,1.7864,1.2343,0.1984,10.7904,9.0242,1.7905,1.2371,0.1984,10.8153,8.9271,1.7713,1.2238,0.1984,10.6989,9.2368,1
8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.0485,1.7954,1.2404,0.1984,10.8444,9.0519,1.796,1.2409,0.1984,10.8486,9.0346,1.7926,1.2385,0.1984,10.8278,9.0831,1.8022,1.2452,0.1984,10.886,9.0034,1.7864,1.2343,0.1984,10.7904,8.8855,1.763,1.2181,0.1984,10.649,9.1937,1
8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.0485,1.7954,1.2404,0.1984,10.8444,9.0519,1.796,1.2409,0.1984,10.8486,9.0346,1.7926,1.2385,0.1984,10.8278,9.0831,1.8022,1.2452,0.1984,10.886,9.1213,1.8098,1.2504,0.1984,10.9317,9.4377,1
9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.0485,1.7954,1.2404,0.1984,10.8444,9.0519,1.796,1.2409,0.1984,10.8486,9.0346,1.7926,1.2385,0.1984,10.8278,9.2427,1.8339,1.2671,0.1984,11.0772,9.5633,1
9.2427,1.8339,1.2671,0.1984,11.0772,9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.0485,1.7954,1.2404,0.1984,10.8444,9.0519,1.796,1.2409,0.1984,10.8486,9.3329,1.8518,1.2794,0.1984,11.1852,9.6566,1
9.3329,1.8518,1.2794,0.1984,11.1852,9.2427,1.8339,1.2671,0.1984,11.0772,9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.0485,1.7954,1.2404,0.1984,10.8444,9.4681,1.8786,1.298,0.1984,11.3473,9.7966,1
9.4681,1.8786,1.298,0.1984,11.3473,9.3329,1.8518,1.2794,0.1984,11.1852,9.2427,1.8339,1.2671,0.1984,11.0772,9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,8.9548,1.7768,1.2276,0.1984,10.7322,9.3467,1.8545,1.2813,0.1984,11.2019,9.671,1
9.3467,1.8545,1.2813,0.1984,11.2019,9.4681,1.8786,1.298,0.1984,11.3473,9.3329,1.8518,1.2794,0.1984,11.1852,9.2427,1.8339,1.2671,0.1984,11.0772,9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,8.8959,1.7651,1.2195,0.1984,10.6615,9.1213,1.8098,1.2504,0.1984,10.9317,9.4377,1
9.1213,1.8098,1.2504,0.1984,10.9317,9.3467,1.8545,1.2813,0.1984,11.2019,9.4681,1.8786,1.298,0.1984,11.3473,9.3329,1.8518,1.2794,0.1984,11.1852,9.2427,1.8339,1.2671,0.1984,11.0772,9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.0519,1.796,1.2409,0.1984,10.8486,9.371,1.8594,1.2847,0.1984,11.231,9.6961,1
9.371,1.8594,1.2847,0.1984,11.231,9.1213,1.8098,1.2504,0.1984,10.9317,9.3467,1.8545,1.2813,0.1984,11.2019,9.4681,1.8786,1.298,0.1984,11.3473,9.3329,1.8518,1.2794,0.1984,11.1852,9.2427,1.8339,1.2671,0.1984,11.0772,9.1213,1.8098,1.2504,0.1984,10.9317,8.8855,1.763,1.2181,0.1984,10.649,8.9271,1.7713,1.2238,0.1984,10.6989,8.9236,1.7706,1.2233,0.1984,10.6948,9.0103,1.7878,1.2352,0.1984,10.7987,9.0485,1.7954,1.2404,0.1984,10.8444,9.0797,1.8015,1.2447,0.1984,10.8818,8.9826,1.7823,1.2314,0.1984,10.7654,8.9618,1.7782,1.2286,0.1984,10.7405,9.5826,1.9013,1.3137,0.1984,11.4845,9.915,1
