@RELATION "B3 - ELET3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,10.0998,0.4906,14.3208,0.0486,46.266,10.2296,0.4969,14.5048,0.0486,46.8606,9.9885,0.4852,14.163,0.0486,45.7563,9.7969,0.4759,13.8913,0.0486,44.8785,9.9329,0.4825,14.0842,0.0486,45.5015,10.0998,0.4906,14.3208,0.0486,46.266,10.0627,0.4888,14.2682,0.0486,46.0961,16.28,0
10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,10.0998,0.4906,14.3208,0.0486,46.266,10.2296,0.4969,14.5048,0.0486,46.8606,9.9885,0.4852,14.163,0.0486,45.7563,9.7969,0.4759,13.8913,0.0486,44.8785,9.9329,0.4825,14.0842,0.0486,45.5015,10.0132,0.4864,14.1981,0.0486,45.8696,16.2,0
10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,10.0998,0.4906,14.3208,0.0486,46.266,10.2296,0.4969,14.5048,0.0486,46.8606,9.9885,0.4852,14.163,0.0486,45.7563,9.7969,0.4759,13.8913,0.0486,44.8785,9.7227,0.4723,13.7862,0.0486,44.5388,15.73,0
9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,10.0998,0.4906,14.3208,0.0486,46.266,10.2296,0.4969,14.5048,0.0486,46.8606,9.9885,0.4852,14.163,0.0486,45.7563,9.6795,0.4702,13.7248,0.0486,44.3406,15.66,0
9.6795,0.4702,13.7248,0.0486,44.3406,9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,10.0998,0.4906,14.3208,0.0486,46.266,10.2296,0.4969,14.5048,0.0486,46.8606,9.9143,0.4816,14.0579,0.0486,45.4165,16.04,0
9.9143,0.4816,14.0579,0.0486,45.4165,9.6795,0.4702,13.7248,0.0486,44.3406,9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,10.0998,0.4906,14.3208,0.0486,46.266,9.7969,0.4759,13.8913,0.0486,44.8785,15.85,0
9.7969,0.4759,13.8913,0.0486,44.8785,9.9143,0.4816,14.0579,0.0486,45.4165,9.6795,0.4702,13.7248,0.0486,44.3406,9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,10.0132,0.4864,14.1981,0.0486,45.8696,9.6485,0.4687,13.681,0.0486,44.199,15.61,0
9.6485,0.4687,13.681,0.0486,44.199,9.7969,0.4759,13.8913,0.0486,44.8785,9.9143,0.4816,14.0579,0.0486,45.4165,9.6795,0.4702,13.7248,0.0486,44.3406,9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,9.9823,0.4849,14.1543,0.0486,45.728,8.5916,0.4173,12.1823,0.0486,39.3572,13.9,1
8.5916,0.4173,12.1823,0.0486,39.3572,9.6485,0.4687,13.681,0.0486,44.199,9.7969,0.4759,13.8913,0.0486,44.8785,9.9143,0.4816,14.0579,0.0486,45.4165,9.6795,0.4702,13.7248,0.0486,44.3406,9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,10.075,0.4894,14.2857,0.0486,46.1527,8.4247,0.4092,11.9457,0.0486,38.5927,13.63,1
8.4247,0.4092,11.9457,0.0486,38.5927,8.5916,0.4173,12.1823,0.0486,39.3572,9.6485,0.4687,13.681,0.0486,44.199,9.7969,0.4759,13.8913,0.0486,44.8785,9.9143,0.4816,14.0579,0.0486,45.4165,9.6795,0.4702,13.7248,0.0486,44.3406,9.7227,0.4723,13.7862,0.0486,44.5388,10.0132,0.4864,14.1981,0.0486,45.8696,10.0627,0.4888,14.2682,0.0486,46.0961,9.9081,0.4813,14.0491,0.0486,45.3882,9.9205,0.4819,14.0666,0.0486,45.4448,10.007,0.4861,14.1893,0.0486,45.8412,9.8896,0.4804,14.0228,0.0486,45.3033,9.9576,0.4837,14.1192,0.0486,45.6147,10.1245,0.4918,14.3558,0.0486,46.3792,8.1836,0.3975,11.6039,0.0486,37.4885,13.24,1
