@RELATION "B3 - TRPL4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,10.8235,2.1823,4.89,0.2016,7.3523,10.8883,2.1953,4.9192,0.2016,7.3963,10.9189,2.2015,4.9331,0.2016,7.4171,11.0683,2.2316,5.0005,0.2016,7.5186,10.9909,2.216,4.9656,0.2016,7.466,11.1582,2.2498,5.0412,0.2016,7.5797,11.2698,2.2723,5.0916,0.2016,7.6555,15.655,0
11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,10.8235,2.1823,4.89,0.2016,7.3523,10.8883,2.1953,4.9192,0.2016,7.3963,10.9189,2.2015,4.9331,0.2016,7.4171,11.0683,2.2316,5.0005,0.2016,7.5186,10.9909,2.216,4.9656,0.2016,7.466,11.3184,2.2821,5.1136,0.2016,7.6885,15.7225,0
11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,10.8235,2.1823,4.89,0.2016,7.3523,10.8883,2.1953,4.9192,0.2016,7.3963,10.9189,2.2015,4.9331,0.2016,7.4171,11.0683,2.2316,5.0005,0.2016,7.5186,11.2392,2.2661,5.0778,0.2016,7.6347,15.6125,0
11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,10.8235,2.1823,4.89,0.2016,7.3523,10.8883,2.1953,4.9192,0.2016,7.3963,10.9189,2.2015,4.9331,0.2016,7.4171,11.3562,2.2897,5.1306,0.2016,7.7142,15.775,0
11.3562,2.2897,5.1306,0.2016,7.7142,11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,10.8235,2.1823,4.89,0.2016,7.3523,10.8883,2.1953,4.9192,0.2016,7.3963,11.4084,2.3002,5.1542,0.2016,7.7496,15.8475,0
11.4084,2.3002,5.1542,0.2016,7.7496,11.3562,2.2897,5.1306,0.2016,7.7142,11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,10.8235,2.1823,4.89,0.2016,7.3523,11.3112,2.2806,5.1103,0.2016,7.6836,15.7125,0
11.3112,2.2806,5.1103,0.2016,7.6836,11.4084,2.3002,5.1542,0.2016,7.7496,11.3562,2.2897,5.1306,0.2016,7.7142,11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,10.8487,2.1874,4.9013,0.2016,7.3694,11.2032,2.2588,5.0615,0.2016,7.6102,15.5625,0
11.2032,2.2588,5.0615,0.2016,7.6102,11.3112,2.2806,5.1103,0.2016,7.6836,11.4084,2.3002,5.1542,0.2016,7.7496,11.3562,2.2897,5.1306,0.2016,7.7142,11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,10.9765,2.2131,4.9591,0.2016,7.4562,11.0629,2.2305,4.9981,0.2016,7.5149,15.3675,0
11.0629,2.2305,4.9981,0.2016,7.5149,11.2032,2.2588,5.0615,0.2016,7.6102,11.3112,2.2806,5.1103,0.2016,7.6836,11.4084,2.3002,5.1542,0.2016,7.7496,11.3562,2.2897,5.1306,0.2016,7.7142,11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.0413,2.2262,4.9883,0.2016,7.5002,11.0773,2.2334,5.0046,0.2016,7.5247,15.3875,0
11.0773,2.2334,5.0046,0.2016,7.5247,11.0629,2.2305,4.9981,0.2016,7.5149,11.2032,2.2588,5.0615,0.2016,7.6102,11.3112,2.2806,5.1103,0.2016,7.6836,11.4084,2.3002,5.1542,0.2016,7.7496,11.3562,2.2897,5.1306,0.2016,7.7142,11.2392,2.2661,5.0778,0.2016,7.6347,11.3184,2.2821,5.1136,0.2016,7.6885,11.2698,2.2723,5.0916,0.2016,7.6555,11.1834,2.2549,5.0526,0.2016,7.5968,11.3112,2.2806,5.1103,0.2016,7.6836,11.3814,2.2948,5.142,0.2016,7.7313,11.4822,2.3151,5.1876,0.2016,7.7997,11.2464,2.2676,5.081,0.2016,7.6396,11.0863,2.2353,5.0087,0.2016,7.5308,11.1222,2.2425,5.0249,0.2016,7.5552,15.45,0
