@RELATION "B3 - BRFS3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,36.0,37.2,35.97,37.2,225470503.0,37.2,37.42,36.85,37.06,104217489.0,37.06,37.43,36.7,36.9,89667614.0,37.15,37.45,36.82,37.2,76330213.0,37.09,37.25,36.15,36.15,148732908.0,35.9,36.27,35.01,35.85,219585418.0,34.1,34.27,33.65,33.65,92099129.0,1
34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,36.0,37.2,35.97,37.2,225470503.0,37.2,37.42,36.85,37.06,104217489.0,37.06,37.43,36.7,36.9,89667614.0,37.15,37.45,36.82,37.2,76330213.0,37.09,37.25,36.15,36.15,148732908.0,34.81,34.81,34.1,34.2,71592909.0,1
34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,36.0,37.2,35.97,37.2,225470503.0,37.2,37.42,36.85,37.06,104217489.0,37.06,37.43,36.7,36.9,89667614.0,37.15,37.45,36.82,37.2,76330213.0,34.25,35.0,33.81,34.66,116386360.0,1
34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,36.0,37.2,35.97,37.2,225470503.0,37.2,37.42,36.85,37.06,104217489.0,37.06,37.43,36.7,36.9,89667614.0,34.81,34.81,34.03,34.1,60650483.0,1
34.81,34.81,34.03,34.1,60650483.0,34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,36.0,37.2,35.97,37.2,225470503.0,37.2,37.42,36.85,37.06,104217489.0,34.95,35.37,34.72,34.92,82445476.0,1
34.95,35.37,34.72,34.92,82445476.0,34.81,34.81,34.03,34.1,60650483.0,34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,36.0,37.2,35.97,37.2,225470503.0,34.5,34.67,33.91,33.91,66313172.0,1
34.5,34.67,33.91,33.91,66313172.0,34.95,35.37,34.72,34.92,82445476.0,34.81,34.81,34.03,34.1,60650483.0,34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,36.01,36.55,35.35,36.0,113048928.0,35.66,35.7,34.07,34.2,94618215.0,1
35.66,35.7,34.07,34.2,94618215.0,34.5,34.67,33.91,33.91,66313172.0,34.95,35.37,34.72,34.92,82445476.0,34.81,34.81,34.03,34.1,60650483.0,34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,36.43,35.8,36.29,62103504.0,35.44,35.86,35.13,35.66,97659650.0,1
35.44,35.86,35.13,35.66,97659650.0,35.66,35.7,34.07,34.2,94618215.0,34.5,34.67,33.91,33.91,66313172.0,34.95,35.37,34.72,34.92,82445476.0,34.81,34.81,34.03,34.1,60650483.0,34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.21,35.85,35.21,35.53,67336173.0,35.8,35.9,34.8,35.4,73612077.0,1
35.8,35.9,34.8,35.4,73612077.0,35.44,35.86,35.13,35.66,97659650.0,35.66,35.7,34.07,34.2,94618215.0,34.5,34.67,33.91,33.91,66313172.0,34.95,35.37,34.72,34.92,82445476.0,34.81,34.81,34.03,34.1,60650483.0,34.25,35.0,33.81,34.66,116386360.0,34.81,34.81,34.1,34.2,71592909.0,34.1,34.27,33.65,33.65,92099129.0,33.85,34.53,33.47,34.26,68272589.0,34.27,35.17,34.1,34.31,74867832.0,34.3,35.0,34.1,34.79,131019764.0,34.65,34.87,34.38,34.7,81275041.0,34.9,35.38,34.7,34.8,46524770.0,35.01,35.62,34.95,35.39,39419975.0,35.84,35.95,35.33,35.9,46526355.0,1
