@RELATION "B3 - ITUB4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,16.5745,17.0708,16.5517,17.0298,631116528.5954,16.8386,17.0526,16.7657,17.0526,489955868.8341,17.0526,17.1027,16.6245,16.7293,653926974.5321,16.5289,16.7338,16.4834,16.5153,480525664.4238,16.8249,17.0161,16.7111,16.8021,723849375.2074,16.9387,16.9843,16.5745,16.579,964965746.6071,17.1664,17.2893,16.9706,16.9706,536114450.7002,0
17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,16.5745,17.0708,16.5517,17.0298,631116528.5954,16.8386,17.0526,16.7657,17.0526,489955868.8341,17.0526,17.1027,16.6245,16.7293,653926974.5321,16.5289,16.7338,16.4834,16.5153,480525664.4238,16.8249,17.0161,16.7111,16.8021,723849375.2074,16.916,17.1209,16.7703,17.0708,502077635.1531,0
16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,16.5745,17.0708,16.5517,17.0298,631116528.5954,16.8386,17.0526,16.7657,17.0526,489955868.8341,17.0526,17.1027,16.6245,16.7293,653926974.5321,16.5289,16.7338,16.4834,16.5153,480525664.4238,16.3468,16.7156,16.2876,16.6245,591860173.8556,0
16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,16.5745,17.0708,16.5517,17.0298,631116528.5954,16.8386,17.0526,16.7657,17.0526,489955868.8341,17.0526,17.1027,16.6245,16.7293,653926974.5321,16.6883,16.6883,16.3923,16.5244,509499886.4418,0
16.6883,16.6883,16.3923,16.5244,509499886.4418,16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,16.5745,17.0708,16.5517,17.0298,631116528.5954,16.8386,17.0526,16.7657,17.0526,489955868.8341,17.221,17.2939,16.7839,16.834,999019171.6366,0
17.221,17.2939,16.7839,16.834,999019171.6366,16.6883,16.6883,16.3923,16.5244,509499886.4418,16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,16.5745,17.0708,16.5517,17.0298,631116528.5954,17.4943,17.5944,17.1619,17.2757,1010874804.1065,0
17.4943,17.5944,17.1619,17.2757,1010874804.1065,17.221,17.2939,16.7839,16.834,999019171.6366,16.6883,16.6883,16.3923,16.5244,509499886.4418,16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,16.6154,16.6154,16.2512,16.4379,510546235.5207,17.2165,17.4351,17.1664,17.3485,504515249.6491,0
17.2165,17.4351,17.1664,17.3485,504515249.6491,17.4943,17.5944,17.1619,17.2757,1010874804.1065,17.221,17.2939,16.7839,16.834,999019171.6366,16.6883,16.6883,16.3923,16.5244,509499886.4418,16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,16.6928,16.7794,16.4424,16.6473,393090217.1105,17.4168,17.5125,17.262,17.2711,636864689.8777,0
17.4168,17.5125,17.262,17.2711,636864689.8777,17.2165,17.4351,17.1664,17.3485,504515249.6491,17.4943,17.5944,17.1619,17.2757,1010874804.1065,17.221,17.2939,16.7839,16.834,999019171.6366,16.6883,16.6883,16.3923,16.5244,509499886.4418,16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,16.5426,16.7885,16.4606,16.7247,389750301.2103,17.4851,17.5808,17.3076,17.344,472843059.5528,0
17.4851,17.5808,17.3076,17.344,472843059.5528,17.4168,17.5125,17.262,17.2711,636864689.8777,17.2165,17.4351,17.1664,17.3485,504515249.6491,17.4943,17.5944,17.1619,17.2757,1010874804.1065,17.221,17.2939,16.7839,16.834,999019171.6366,16.6883,16.6883,16.3923,16.5244,509499886.4418,16.3468,16.7156,16.2876,16.6245,591860173.8556,16.916,17.1209,16.7703,17.0708,502077635.1531,17.1664,17.2893,16.9706,16.9706,536114450.7002,16.9387,17.0298,16.6291,16.6974,629132654.0624,16.7566,16.8932,16.6701,16.7111,645280571.6645,16.6564,16.6655,16.2147,16.2557,582338848.9858,16.2147,16.3696,16.1601,16.3559,341785032.3892,16.3923,16.6018,16.3013,16.4879,406348029.863,16.4379,16.5745,16.3468,16.3969,389459197.1355,17.517,17.5808,17.1892,17.262,574812416.7335,0
