@RELATION "B3 - UNIP6"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,15686.1595,2.2857,2.2857,2.1429,2.2857,98678.717,2.2857,2.3571,2.2143,2.3571,107890.7167,2.3571,2.3571,2.2143,2.2857,98729.817,2.3571,2.3571,2.2857,2.2857,105600.1768,2.3571,2.4286,2.2857,2.4286,203036.1138,2.2143,2.2143,2.1429,2.1429,83555.3574,0
2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,15686.1595,2.2857,2.2857,2.1429,2.2857,98678.717,2.2857,2.3571,2.2143,2.3571,107890.7167,2.3571,2.3571,2.2143,2.2857,98729.817,2.3571,2.3571,2.2857,2.2857,105600.1768,2.1429,2.2143,2.1429,2.2143,22817.3393,1
2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,15686.1595,2.2857,2.2857,2.1429,2.2857,98678.717,2.2857,2.3571,2.2143,2.3571,107890.7167,2.3571,2.3571,2.2143,2.2857,98729.817,2.2143,2.2143,2.1429,2.1429,303344.4307,0
2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,15686.1595,2.2857,2.2857,2.1429,2.2857,98678.717,2.2857,2.3571,2.2143,2.3571,107890.7167,2.2143,2.2143,2.1429,2.2143,289487.2312,0
2.2143,2.2143,2.1429,2.2143,289487.2312,2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,15686.1595,2.2857,2.2857,2.1429,2.2857,98678.717,2.2857,2.2857,2.1429,2.2143,28983.0791,0
2.2857,2.2857,2.1429,2.2143,28983.0791,2.2143,2.2143,2.1429,2.2143,289487.2312,2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,15686.1595,2.2857,2.2857,2.1429,2.2143,43916.8787,0
2.2857,2.2857,2.1429,2.2143,43916.8787,2.2857,2.2857,2.1429,2.2143,28983.0791,2.2143,2.2143,2.1429,2.2143,289487.2312,2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,21765.0993,2.2857,2.2857,2.2143,2.2143,27282.7792,0
2.2857,2.2857,2.2143,2.2143,27282.7792,2.2857,2.2857,2.1429,2.2143,43916.8787,2.2857,2.2857,2.1429,2.2143,28983.0791,2.2143,2.2143,2.1429,2.2143,289487.2312,2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2143,61493.4581,2.2857,2.2857,2.2143,2.2857,52365.5984,0
2.2857,2.2857,2.2143,2.2857,52365.5984,2.2857,2.2857,2.2143,2.2143,27282.7792,2.2857,2.2857,2.1429,2.2143,43916.8787,2.2857,2.2857,2.1429,2.2143,28983.0791,2.2143,2.2143,2.1429,2.2143,289487.2312,2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.2143,2.2857,41924.5387,2.2143,2.2857,2.2143,2.2857,28357.6991,0
2.2143,2.2857,2.2143,2.2857,28357.6991,2.2857,2.2857,2.2143,2.2857,52365.5984,2.2857,2.2857,2.2143,2.2143,27282.7792,2.2857,2.2857,2.1429,2.2143,43916.8787,2.2857,2.2857,2.1429,2.2143,28983.0791,2.2143,2.2143,2.1429,2.2143,289487.2312,2.2143,2.2143,2.1429,2.1429,303344.4307,2.1429,2.2143,2.1429,2.2143,22817.3393,2.2143,2.2143,2.1429,2.1429,83555.3574,2.2143,2.2857,2.1429,2.2143,57847.5782,2.2143,2.2857,2.1429,2.2143,88525.2173,2.2857,2.2857,2.1429,2.2857,158520.4552,2.2857,2.2857,2.1429,2.2143,30964.9191,2.2143,2.2857,2.1429,2.1429,52723.1584,2.1429,2.2143,2.1429,2.2143,38698.9388,2.2143,2.2857,2.1429,2.2857,17542.1395,0
