@RELATION "B3 - MULT3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,29.1656,2.8013,14.2323,0.096,22.9628,29.1184,2.7968,14.2093,0.096,22.9256,29.0711,2.7922,14.1862,0.096,22.8884,29.5433,2.8376,14.4166,0.096,23.2602,29.3612,2.8201,14.3278,0.096,23.1168,28.599,2.7469,13.9558,0.096,22.5167,28.7002,2.7566,14.0052,0.096,22.5964,14.1833,1
28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,29.1656,2.8013,14.2323,0.096,22.9628,29.1184,2.7968,14.2093,0.096,22.9256,29.0711,2.7922,14.1862,0.096,22.8884,29.5433,2.8376,14.4166,0.096,23.2602,29.3612,2.8201,14.3278,0.096,23.1168,28.545,2.7417,13.9295,0.096,22.4742,14.1067,1
28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,29.1656,2.8013,14.2323,0.096,22.9628,29.1184,2.7968,14.2093,0.096,22.9256,29.0711,2.7922,14.1862,0.096,22.8884,29.5433,2.8376,14.4166,0.096,23.2602,28.3697,2.7249,13.8439,0.096,22.3361,14.02,1
28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,29.1656,2.8013,14.2323,0.096,22.9628,29.1184,2.7968,14.2093,0.096,22.9256,29.0711,2.7922,14.1862,0.096,22.8884,27.857,2.6756,13.5938,0.096,21.9325,13.7667,1
27.857,2.6756,13.5938,0.096,21.9325,28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,29.1656,2.8013,14.2323,0.096,22.9628,29.1184,2.7968,14.2093,0.096,22.9256,27.857,2.6756,13.5938,0.096,21.9325,13.7667,1
27.857,2.6756,13.5938,0.096,21.9325,27.857,2.6756,13.5938,0.096,21.9325,28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,29.1656,2.8013,14.2323,0.096,22.9628,27.5872,2.6497,13.4621,0.096,21.7201,13.6333,1
27.5872,2.6497,13.4621,0.096,21.7201,27.857,2.6756,13.5938,0.096,21.9325,27.857,2.6756,13.5938,0.096,21.9325,28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,29.2735,2.8117,14.285,0.096,23.0478,27.8638,2.6763,13.5971,0.096,21.9378,13.77,1
27.8638,2.6763,13.5971,0.096,21.9378,27.5872,2.6497,13.4621,0.096,21.7201,27.857,2.6756,13.5938,0.096,21.9325,27.857,2.6756,13.5938,0.096,21.9325,28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.7339,2.7599,14.0217,0.096,22.6229,28.0054,2.6899,13.6662,0.096,22.0494,13.84,1
28.0054,2.6899,13.6662,0.096,22.0494,27.8638,2.6763,13.5971,0.096,21.9378,27.5872,2.6497,13.4621,0.096,21.7201,27.857,2.6756,13.5938,0.096,21.9325,27.857,2.6756,13.5938,0.096,21.9325,28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,28.9362,2.7793,14.1204,0.096,22.7822,28.8688,2.7728,14.0875,0.096,22.7291,14.2667,1
28.8688,2.7728,14.0875,0.096,22.7291,28.0054,2.6899,13.6662,0.096,22.0494,27.8638,2.6763,13.5971,0.096,21.9378,27.5872,2.6497,13.4621,0.096,21.7201,27.857,2.6756,13.5938,0.096,21.9325,27.857,2.6756,13.5938,0.096,21.9325,28.3697,2.7249,13.8439,0.096,22.3361,28.545,2.7417,13.9295,0.096,22.4742,28.7002,2.7566,14.0052,0.096,22.5964,29.2465,2.8091,14.2718,0.096,23.0265,29.4758,2.8311,14.3837,0.096,23.2071,29.6107,2.8441,14.4495,0.096,23.3133,28.7676,2.7631,14.0381,0.096,22.6495,28.3292,2.721,13.8242,0.096,22.3043,28.3292,2.721,13.8242,0.096,22.3043,28.7676,2.7631,14.0381,0.096,22.6495,28.7406,2.7605,14.0249,0.096,22.6282,28.6597,2.7527,13.9855,0.096,22.5645,28.2617,2.7145,13.7913,0.096,22.2512,28.7676,2.7631,14.0381,0.096,22.6495,29.0374,2.789,14.1698,0.096,22.8619,14.35,1
