@RELATION "B3 - MYPK3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,22.4557,5.4619,2.5098,0.2432,15.738,23.1437,5.6292,2.5867,0.2432,16.2202,23.3363,5.6761,2.6082,0.2432,16.3552,22.7722,5.5389,2.5452,0.2432,15.9598,22.2218,5.405,2.4837,0.2432,15.5741,22.0154,5.3548,2.4606,0.2432,15.4294,25.1457,6.1162,2.8105,0.2432,17.6233,36.55,0
25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,22.4557,5.4619,2.5098,0.2432,15.738,23.1437,5.6292,2.5867,0.2432,16.2202,23.3363,5.6761,2.6082,0.2432,16.3552,22.7722,5.5389,2.5452,0.2432,15.9598,22.2218,5.405,2.4837,0.2432,15.5741,25.0425,6.0911,2.7989,0.2432,17.551,36.4,0
25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,22.4557,5.4619,2.5098,0.2432,15.738,23.1437,5.6292,2.5867,0.2432,16.2202,23.3363,5.6761,2.6082,0.2432,16.3552,22.7722,5.5389,2.5452,0.2432,15.9598,25.0081,6.0827,2.7951,0.2432,17.5269,36.35,0
25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,22.4557,5.4619,2.5098,0.2432,15.738,23.1437,5.6292,2.5867,0.2432,16.2202,23.3363,5.6761,2.6082,0.2432,16.3552,24.7604,6.0225,2.7674,0.2432,17.3533,35.99,0
24.7604,6.0225,2.7674,0.2432,17.3533,25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,22.4557,5.4619,2.5098,0.2432,15.738,23.1437,5.6292,2.5867,0.2432,16.2202,25.4553,6.1915,2.8451,0.2432,17.8403,37.0,0
25.4553,6.1915,2.8451,0.2432,17.8403,24.7604,6.0225,2.7674,0.2432,17.3533,25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,22.4557,5.4619,2.5098,0.2432,15.738,25.4209,6.1831,2.8412,0.2432,17.8162,36.95,0
25.4209,6.1831,2.8412,0.2432,17.8162,25.4553,6.1915,2.8451,0.2432,17.8403,24.7604,6.0225,2.7674,0.2432,17.3533,25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,22.7722,5.5389,2.5452,0.2432,15.9598,25.4553,6.1915,2.8451,0.2432,17.8403,37.0,0
25.4553,6.1915,2.8451,0.2432,17.8403,25.4209,6.1831,2.8412,0.2432,17.8162,25.4553,6.1915,2.8451,0.2432,17.8403,24.7604,6.0225,2.7674,0.2432,17.3533,25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,23.2193,5.6476,2.5952,0.2432,16.2732,25.6135,6.23,2.8628,0.2432,17.9512,37.23,0
25.6135,6.23,2.8628,0.2432,17.9512,25.4553,6.1915,2.8451,0.2432,17.8403,25.4209,6.1831,2.8412,0.2432,17.8162,25.4553,6.1915,2.8451,0.2432,17.8403,24.7604,6.0225,2.7674,0.2432,17.3533,25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,23.1918,5.6409,2.5921,0.2432,16.2539,25.6273,6.2333,2.8643,0.2432,17.9608,37.25,0
25.6273,6.2333,2.8643,0.2432,17.9608,25.6135,6.23,2.8628,0.2432,17.9512,25.4553,6.1915,2.8451,0.2432,17.8403,25.4209,6.1831,2.8412,0.2432,17.8162,25.4553,6.1915,2.8451,0.2432,17.8403,24.7604,6.0225,2.7674,0.2432,17.3533,25.0081,6.0827,2.7951,0.2432,17.5269,25.0425,6.0911,2.7989,0.2432,17.551,25.1457,6.1162,2.8105,0.2432,17.6233,25.0425,6.0911,2.7989,0.2432,17.551,24.2376,5.8953,2.709,0.2432,16.9868,23.8729,5.8066,2.6682,0.2432,16.7313,25.1801,6.1246,2.8143,0.2432,17.6474,24.5678,5.9756,2.7459,0.2432,17.2183,24.2169,5.8903,2.7067,0.2432,16.9724,23.7353,5.7731,2.6528,0.2432,16.6349,24.4233,5.9405,2.7297,0.2432,17.117,24.2857,5.907,2.7143,0.2432,17.0206,23.4601,5.7062,2.6221,0.2432,16.442,22.9097,5.5723,2.5606,0.2432,16.0563,24.3545,5.9237,2.722,0.2432,17.0688,35.4,0
