@RELATION "B3 - MILS3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,61.0849,7.6488,8.3098,0.1252,34.7638,61.8598,7.7459,8.4152,0.1252,35.2048,60.1229,7.5284,8.1789,0.1252,34.2163,61.0582,7.6455,8.3061,0.1252,34.7486,61.3521,7.6823,8.3461,0.1252,34.9159,60.1229,7.5284,8.1789,0.1252,34.2163,59.4549,7.4447,8.088,0.1252,33.8361,22.25,1
59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,61.0849,7.6488,8.3098,0.1252,34.7638,61.8598,7.7459,8.4152,0.1252,35.2048,60.1229,7.5284,8.1789,0.1252,34.2163,61.0582,7.6455,8.3061,0.1252,34.7486,61.3521,7.6823,8.3461,0.1252,34.9159,59.0808,7.3979,8.0371,0.1252,33.6232,22.11,1
59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,61.0849,7.6488,8.3098,0.1252,34.7638,61.8598,7.7459,8.4152,0.1252,35.2048,60.1229,7.5284,8.1789,0.1252,34.2163,61.0582,7.6455,8.3061,0.1252,34.7486,60.497,7.5752,8.2298,0.1252,34.4292,22.64,1
60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,61.0849,7.6488,8.3098,0.1252,34.7638,61.8598,7.7459,8.4152,0.1252,35.2048,60.1229,7.5284,8.1789,0.1252,34.2163,59.3213,7.428,8.0698,0.1252,33.7601,22.2,1
59.3213,7.428,8.0698,0.1252,33.7601,60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,61.0849,7.6488,8.3098,0.1252,34.7638,61.8598,7.7459,8.4152,0.1252,35.2048,60.6573,7.5953,8.2516,0.1252,34.5205,22.7,1
60.6573,7.5953,8.2516,0.1252,34.5205,59.3213,7.428,8.0698,0.1252,33.7601,60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,61.0849,7.6488,8.3098,0.1252,34.7638,58.9204,7.3778,8.0153,0.1252,33.532,22.05,1
58.9204,7.3778,8.0153,0.1252,33.532,60.6573,7.5953,8.2516,0.1252,34.5205,59.3213,7.428,8.0698,0.1252,33.7601,60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,61.2185,7.6656,8.3279,0.1252,34.8398,60.0962,7.525,8.1753,0.1252,34.2011,22.49,1
60.0962,7.525,8.1753,0.1252,34.2011,58.9204,7.3778,8.0153,0.1252,33.532,60.6573,7.5953,8.2516,0.1252,34.5205,59.3213,7.428,8.0698,0.1252,33.7601,60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,60.2565,7.5451,8.1971,0.1252,34.2924,59.5885,7.4615,8.1062,0.1252,33.9122,22.3,1
59.5885,7.4615,8.1062,0.1252,33.9122,60.0962,7.525,8.1753,0.1252,34.2011,58.9204,7.3778,8.0153,0.1252,33.532,60.6573,7.5953,8.2516,0.1252,34.5205,59.3213,7.428,8.0698,0.1252,33.7601,60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,59.9893,7.5117,8.1607,0.1252,34.1403,59.9893,7.5117,8.1607,0.1252,34.1403,22.45,1
59.9893,7.5117,8.1607,0.1252,34.1403,59.5885,7.4615,8.1062,0.1252,33.9122,60.0962,7.525,8.1753,0.1252,34.2011,58.9204,7.3778,8.0153,0.1252,33.532,60.6573,7.5953,8.2516,0.1252,34.5205,59.3213,7.428,8.0698,0.1252,33.7601,60.497,7.5752,8.2298,0.1252,34.4292,59.0808,7.3979,8.0371,0.1252,33.6232,59.4549,7.4447,8.088,0.1252,33.8361,61.8598,7.7459,8.4152,0.1252,35.2048,61.5926,7.7124,8.3788,0.1252,35.0527,60.8711,7.6221,8.2807,0.1252,34.6421,60.5772,7.5853,8.2407,0.1252,34.4748,60.7642,7.6087,8.2661,0.1252,34.5813,60.2298,7.5418,8.1934,0.1252,34.2772,60.0427,7.5184,8.168,0.1252,34.1707,60.2832,7.5485,8.2007,0.1252,34.3076,60.6306,7.592,8.248,0.1252,34.5053,61.1918,7.6622,8.3243,0.1252,34.8246,59.8557,7.4949,8.1425,0.1252,34.0642,58.7868,7.3611,7.9971,0.1252,33.456,22.0,1
