@RELATION "B3 - CIEL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,16.5855,21.3006,7.4115,1.2843,14.0372,16.5855,21.3006,7.4115,1.2843,14.0372,16.8871,21.6879,7.5463,1.2843,14.2924,18.5306,23.7986,8.2807,1.2843,15.6833,12.3477,1
18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,16.5855,21.3006,7.4115,1.2843,14.0372,16.5855,21.3006,7.4115,1.2843,14.0372,18.4853,23.7405,8.2605,1.2843,15.6451,12.3175,1
18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,16.5855,21.3006,7.4115,1.2843,14.0372,18.4582,23.7057,8.2483,1.2843,15.6221,12.2995,1
18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,16.8117,21.5911,7.5126,1.2843,14.2286,18.2893,23.4888,8.1729,1.2843,15.4792,12.1869,1
18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,17.0017,21.8351,7.5975,1.2843,14.3894,17.9636,23.0705,8.0273,1.2843,15.2035,11.9699,1
17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0632,23.1983,8.0718,1.2843,15.2877,18.0782,23.2177,8.0785,1.2843,15.3005,12.0463,1
18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7284,22.7685,7.9222,1.2843,15.0045,18.0782,23.2177,8.0785,1.2843,15.3005,12.0463,1
18.0782,23.2177,8.0785,1.2843,15.3005,18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.4902,22.4625,7.8158,1.2843,14.8028,17.7767,22.8304,7.9438,1.2843,15.0453,11.8453,1
17.7767,22.8304,7.9438,1.2843,15.0453,18.0782,23.2177,8.0785,1.2843,15.3005,18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.6862,22.7142,7.9034,1.2843,14.9687,17.837,22.9079,7.9707,1.2843,15.0963,11.8855,1
17.837,22.9079,7.9707,1.2843,15.0963,17.7767,22.8304,7.9438,1.2843,15.0453,18.0782,23.2177,8.0785,1.2843,15.3005,18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.995,24.3951,8.4882,1.2843,16.0764,18.8351,24.1898,8.4168,1.2843,15.9411,18.5155,23.7793,8.2739,1.2843,15.6706,18.2139,23.392,8.1392,1.2843,15.4154,17.9697,23.0783,8.03,1.2843,15.2086,18.0632,23.1983,8.0718,1.2843,15.2877,17.7918,22.8498,7.9505,1.2843,15.058,11.8554,1
