@RELATION "B3 - BBAS3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.3989,1.3477,0.87,0.2106,4.5373,6.4925,1.3674,0.8827,0.2106,4.6037,6.551,1.3798,0.8907,0.2106,4.6451,6.551,1.3798,0.8907,0.2106,4.6451,6.7288,1.4172,0.9148,0.2106,4.7712,6.551,1.3798,0.8907,0.2106,4.6451,6.7568,1.4231,0.9187,0.2106,4.7911,28.88,0
6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.3989,1.3477,0.87,0.2106,4.5373,6.4925,1.3674,0.8827,0.2106,4.6037,6.551,1.3798,0.8907,0.2106,4.6451,6.551,1.3798,0.8907,0.2106,4.6451,6.7288,1.4172,0.9148,0.2106,4.7712,6.7241,1.4162,0.9142,0.2106,4.7679,28.74,0
6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.3989,1.3477,0.87,0.2106,4.5373,6.4925,1.3674,0.8827,0.2106,4.6037,6.551,1.3798,0.8907,0.2106,4.6451,6.551,1.3798,0.8907,0.2106,4.6451,6.7054,1.4123,0.9117,0.2106,4.7546,28.66,0
6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.3989,1.3477,0.87,0.2106,4.5373,6.4925,1.3674,0.8827,0.2106,4.6037,6.551,1.3798,0.8907,0.2106,4.6451,6.586,1.3872,0.8954,0.2106,4.67,28.15,0
6.586,1.3872,0.8954,0.2106,4.67,6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.3989,1.3477,0.87,0.2106,4.5373,6.4925,1.3674,0.8827,0.2106,4.6037,6.3731,1.3423,0.8665,0.2106,4.5191,27.24,0
6.3731,1.3423,0.8665,0.2106,4.5191,6.586,1.3872,0.8954,0.2106,4.67,6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.3989,1.3477,0.87,0.2106,4.5373,6.2538,1.3172,0.8503,0.2106,4.4345,26.73,0
6.2538,1.3172,0.8503,0.2106,4.4345,6.3731,1.3423,0.8665,0.2106,4.5191,6.586,1.3872,0.8954,0.2106,4.67,6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3193,1.331,0.8592,0.2106,4.4809,6.4106,1.3502,0.8716,0.2106,4.5456,27.4,0
6.4106,1.3502,0.8716,0.2106,4.5456,6.2538,1.3172,0.8503,0.2106,4.4345,6.3731,1.3423,0.8665,0.2106,4.5191,6.586,1.3872,0.8954,0.2106,4.67,6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.4503,1.3586,0.877,0.2106,4.5738,6.3919,1.3463,0.869,0.2106,4.5323,27.32,0
6.3919,1.3463,0.869,0.2106,4.5323,6.4106,1.3502,0.8716,0.2106,4.5456,6.2538,1.3172,0.8503,0.2106,4.4345,6.3731,1.3423,0.8665,0.2106,4.5191,6.586,1.3872,0.8954,0.2106,4.67,6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.4691,1.3625,0.8795,0.2106,4.5871,6.3006,1.327,0.8566,0.2106,4.4676,26.93,0
6.3006,1.327,0.8566,0.2106,4.4676,6.3919,1.3463,0.869,0.2106,4.5323,6.4106,1.3502,0.8716,0.2106,4.5456,6.2538,1.3172,0.8503,0.2106,4.4345,6.3731,1.3423,0.8665,0.2106,4.5191,6.586,1.3872,0.8954,0.2106,4.67,6.7054,1.4123,0.9117,0.2106,4.7546,6.7241,1.4162,0.9142,0.2106,4.7679,6.7568,1.4231,0.9187,0.2106,4.7911,6.6913,1.4093,0.9098,0.2106,4.7447,6.7849,1.429,0.9225,0.2106,4.811,6.9276,1.4591,0.9419,0.2106,4.9122,6.7498,1.4217,0.9177,0.2106,4.7862,6.7217,1.4157,0.9139,0.2106,4.7663,6.6983,1.4108,0.9107,0.2106,4.7497,6.6796,1.4069,0.9082,0.2106,4.7364,6.586,1.3872,0.8954,0.2106,4.67,6.703,1.4118,0.9113,0.2106,4.753,6.6913,1.4093,0.9098,0.2106,4.7447,6.5673,1.3832,0.8929,0.2106,4.6568,6.1673,1.299,0.8385,0.2106,4.3731,26.36,0
