@RELATION "B3 - RENT3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,67.3949,17.5401,8.9613,0.2603,40.7137,65.7757,17.1187,8.746,0.2603,39.7355,66.7235,17.3654,8.872,0.2603,40.3081,63.7813,16.5997,8.4808,0.2603,38.5307,9.3007,1
63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,67.3949,17.5401,8.9613,0.2603,40.7137,65.7757,17.1187,8.746,0.2603,39.7355,62.5965,16.2913,8.3233,0.2603,37.8149,9.1279,1
62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,67.3949,17.5401,8.9613,0.2603,40.7137,62.794,16.3427,8.3495,0.2603,37.9342,9.1567,1
62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.1382,17.4733,8.9272,0.2603,40.5586,65.9534,17.165,8.7696,0.2603,39.8429,9.6174,1
65.9534,17.165,8.7696,0.2603,39.8429,62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,66.5458,17.3192,8.8484,0.2603,40.2007,67.4344,17.5504,8.9666,0.2603,40.7375,9.8334,1
67.4344,17.5504,8.9666,0.2603,40.7375,65.9534,17.165,8.7696,0.2603,39.8429,62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.3483,17.2678,8.8221,0.2603,40.0815,67.6121,17.5967,8.9902,0.2603,40.8449,9.8593,1
67.6121,17.5967,8.9902,0.2603,40.8449,67.4344,17.5504,8.9666,0.2603,40.7375,65.9534,17.165,8.7696,0.2603,39.8429,62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,63.9788,16.6511,8.5071,0.2603,38.65,66.4866,17.3037,8.8405,0.2603,40.165,9.6951,1
66.4866,17.3037,8.8405,0.2603,40.165,67.6121,17.5967,8.9902,0.2603,40.8449,67.4344,17.5504,8.9666,0.2603,40.7375,65.9534,17.165,8.7696,0.2603,39.8429,62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,63.7813,16.5997,8.4808,0.2603,38.5307,65.9534,17.165,8.7696,0.2603,39.8429,9.6174,1
65.9534,17.165,8.7696,0.2603,39.8429,66.4866,17.3037,8.8405,0.2603,40.165,67.6121,17.5967,8.9902,0.2603,40.8449,67.4344,17.5504,8.9666,0.2603,40.7375,65.9534,17.165,8.7696,0.2603,39.8429,62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.6572,17.0879,8.7302,0.2603,39.6639,64.7686,16.8566,8.6121,0.2603,39.1271,9.4446,1
64.7686,16.8566,8.6121,0.2603,39.1271,65.9534,17.165,8.7696,0.2603,39.8429,66.4866,17.3037,8.8405,0.2603,40.165,67.6121,17.5967,8.9902,0.2603,40.8449,67.4344,17.5504,8.9666,0.2603,40.7375,65.9534,17.165,8.7696,0.2603,39.8429,62.794,16.3427,8.3495,0.2603,37.9342,62.5965,16.2913,8.3233,0.2603,37.8149,63.7813,16.5997,8.4808,0.2603,38.5307,65.598,17.0725,8.7224,0.2603,39.6281,66.9407,17.4219,8.9009,0.2603,40.4393,66.9012,17.4117,8.8957,0.2603,40.4155,67.5726,17.5864,8.9849,0.2603,40.8211,67.9676,17.6892,9.0374,0.2603,41.0596,68.8364,17.9153,9.153,0.2603,41.5845,67.5331,17.5761,8.9797,0.2603,40.7972,66.3483,17.2678,8.8221,0.2603,40.0815,66.4471,17.2935,8.8353,0.2603,40.1411,66.2891,17.2523,8.8143,0.2603,40.0457,66.3483,17.2678,8.8221,0.2603,40.0815,65.598,17.0725,8.7224,0.2603,39.6281,9.5656,1
