@RELATION "B3 - GFSA3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,481.5962,496.008,481.5962,493.6061,208848.5293,498.41,502.013,475.5913,481.5962,252412.0782,477.9932,492.4051,477.9932,488.8021,206622.587,435.9586,465.9833,434.7577,461.1794,236209.3103,1
435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,481.5962,496.008,481.5962,493.6061,208848.5293,498.41,502.013,475.5913,481.5962,252412.0782,451.5715,451.5715,427.5517,434.7577,266293.0327,0
451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,481.5962,496.008,481.5962,493.6061,208848.5293,440.7626,471.9883,440.7626,444.3656,434546.2026,0
440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,479.1942,487.6011,473.1893,486.4001,272211.2683,409.5369,446.7675,405.9339,439.5616,447136.9694,0
409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,490.0031,491.2041,477.9932,481.5962,279917.2986,386.7181,428.7527,385.5172,416.7428,471318.3681,0
386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,491.2041,500.812,483.9982,487.6011,456936.5593,361.4974,397.527,361.4974,391.5221,415227.9248,0
361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,480.3952,494.8071,475.5913,488.8021,244515.588,361.4974,373.5073,350.6885,365.1004,344941.0367,0
361.4974,373.5073,350.6885,365.1004,344941.0367,361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,464.7824,486.4001,464.7824,483.9982,310499.1442,351.8895,373.5073,342.2816,365.1004,422034.9203,0
351.8895,373.5073,342.2816,365.1004,422034.9203,361.4974,373.5073,350.6885,365.1004,344941.0367,361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,440.7626,456.3754,438.3606,456.3754,410993.8942,317.0608,360.2964,317.0608,351.8895,540224.9593,1
317.0608,360.2964,317.0608,351.8895,540224.9593,351.8895,373.5073,342.2816,365.1004,422034.9203,361.4974,373.5073,350.6885,365.1004,344941.0367,361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,455.1745,465.9833,439.5616,447.9685,336820.4394,453.9735,470.7873,452.7725,464.7824,307458.0065,471.9883,482.7972,450.3705,462.3804,355283.4714,459.9784,483.9982,444.3656,476.7922,734009.3332,474.3903,474.3903,439.5616,444.3656,515166.8741,440.7626,440.7626,421.5468,422.7478,300956.6094,425.1498,431.1547,416.7428,427.5517,277386.6822,429.9537,459.9784,429.9537,455.1745,284730.9936,455.1745,462.3804,443.1646,452.7725,220299.7593,455.1745,473.1893,451.5715,465.9833,268806.8963,461.1794,462.3804,426.3507,439.5616,306132.0232,326.6687,329.0707,300.247,314.6589,451551.7512,1
