@RELATION "B3 - LEVE3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1817,0.1834,0.1817,0.1833,2022641700.0,0.1826,0.1865,0.1802,0.185,3819854100.0,0.185,0.1897,0.185,0.1897,300973200.0,0.186,0.1867,0.1833,0.1853,1244521200.0,0.1837,0.19,0.1834,0.1851,1330062900.0,0.1847,0.1867,0.18,0.18,957712200.0,0.1933,0.1967,0.1917,0.1917,596970600.0,1
0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1817,0.1834,0.1817,0.1833,2022641700.0,0.1826,0.1865,0.1802,0.185,3819854100.0,0.185,0.1897,0.185,0.1897,300973200.0,0.186,0.1867,0.1833,0.1853,1244521200.0,0.1837,0.19,0.1834,0.1851,1330062900.0,0.1963,0.1967,0.1887,0.1905,748080000.0,1
0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1817,0.1834,0.1817,0.1833,2022641700.0,0.1826,0.1865,0.1802,0.185,3819854100.0,0.185,0.1897,0.185,0.1897,300973200.0,0.186,0.1867,0.1833,0.1853,1244521200.0,0.1999,0.1999,0.1937,0.196,678276600.0,1
0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1817,0.1834,0.1817,0.1833,2022641700.0,0.1826,0.1865,0.1802,0.185,3819854100.0,0.185,0.1897,0.185,0.1897,300973200.0,0.1992,0.2,0.1976,0.1984,2028674400.0,1
0.1992,0.2,0.1976,0.1984,2028674400.0,0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1817,0.1834,0.1817,0.1833,2022641700.0,0.1826,0.1865,0.1802,0.185,3819854100.0,0.1957,0.2007,0.1936,0.1984,968271600.0,1
0.1957,0.2007,0.1936,0.1984,968271600.0,0.1992,0.2,0.1976,0.1984,2028674400.0,0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1817,0.1834,0.1817,0.1833,2022641700.0,0.1977,0.1977,0.1922,0.1922,1844982300.0,1
0.1977,0.1977,0.1922,0.1922,1844982300.0,0.1957,0.2007,0.1936,0.1984,968271600.0,0.1992,0.2,0.1976,0.1984,2028674400.0,0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1807,0.1823,0.1805,0.1817,2023839300.0,0.1957,0.1995,0.1947,0.1995,579771300.0,1
0.1957,0.1995,0.1947,0.1995,579771300.0,0.1977,0.1977,0.1922,0.1922,1844982300.0,0.1957,0.2007,0.1936,0.1984,968271600.0,0.1992,0.2,0.1976,0.1984,2028674400.0,0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1866,0.1866,0.1807,0.181,1408457400.0,0.1917,0.1957,0.1908,0.1956,1123539900.0,1
0.1917,0.1957,0.1908,0.1956,1123539900.0,0.1957,0.1995,0.1947,0.1995,579771300.0,0.1977,0.1977,0.1922,0.1922,1844982300.0,0.1957,0.2007,0.1936,0.1984,968271600.0,0.1992,0.2,0.1976,0.1984,2028674400.0,0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1813,0.1883,0.18,0.1883,2111973600.0,0.1933,0.1981,0.1907,0.1917,3006075600.0,1
0.1933,0.1981,0.1907,0.1917,3006075600.0,0.1917,0.1957,0.1908,0.1956,1123539900.0,0.1957,0.1995,0.1947,0.1995,579771300.0,0.1977,0.1977,0.1922,0.1922,1844982300.0,0.1957,0.2007,0.1936,0.1984,968271600.0,0.1992,0.2,0.1976,0.1984,2028674400.0,0.1999,0.1999,0.1937,0.196,678276600.0,0.1963,0.1967,0.1887,0.1905,748080000.0,0.1933,0.1967,0.1917,0.1917,596970600.0,0.1933,0.1933,0.1911,0.1924,794842200.0,0.1967,0.1967,0.192,0.1928,640489200.0,0.1943,0.1943,0.1871,0.19,566053200.0,0.1896,0.1917,0.1887,0.1913,2295577500.0,0.1906,0.1906,0.184,0.1855,4645345500.0,0.1853,0.1863,0.1837,0.1862,2029468200.0,0.185,0.1861,0.1817,0.1861,1784937600.0,0.185,0.187,0.182,0.187,1744185600.0,0.186,0.19,0.1834,0.1867,1904125200.0,0.1863,0.1866,0.1803,0.1803,1879391700.0,0.18,0.1813,0.1787,0.1813,580096800.0,0.1948,0.1966,0.1923,0.1928,457438200.0,1
