@RELATION "B3 - TOTS3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,10.75,10.9,10.6333,10.83,33225582.0,10.7167,10.8,10.3767,10.3767,71188818.0,10.4967,10.5067,10.3533,10.3533,18443193.0,10.4233,10.64,10.3533,10.3533,72462255.0,10.4833,10.5,10.35,10.3933,78339735.0,10.3533,10.4333,10.1367,10.1367,67286586.0,10.8767,10.9933,10.67,10.7233,43562553.0,1
10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,10.75,10.9,10.6333,10.83,33225582.0,10.7167,10.8,10.3767,10.3767,71188818.0,10.4967,10.5067,10.3533,10.3533,18443193.0,10.4233,10.64,10.3533,10.3533,72462255.0,10.4833,10.5,10.35,10.3933,78339735.0,10.5433,10.9967,10.49,10.8333,34939614.0,1
10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,10.75,10.9,10.6333,10.83,33225582.0,10.7167,10.8,10.3767,10.3767,71188818.0,10.4967,10.5067,10.3533,10.3533,18443193.0,10.4233,10.64,10.3533,10.3533,72462255.0,10.34,10.4967,10.1833,10.4967,26653740.0,1
10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,10.75,10.9,10.6333,10.83,33225582.0,10.7167,10.8,10.3767,10.3767,71188818.0,10.4967,10.5067,10.3533,10.3533,18443193.0,10.5,10.5867,10.3367,10.4,11552733.0,1
10.5,10.5867,10.3367,10.4,11552733.0,10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,10.75,10.9,10.6333,10.83,33225582.0,10.7167,10.8,10.3767,10.3767,71188818.0,10.6667,10.8333,10.57,10.6633,28835460.0,1
10.6667,10.8333,10.57,10.6633,28835460.0,10.5,10.5867,10.3367,10.4,11552733.0,10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,10.75,10.9,10.6333,10.83,33225582.0,10.8633,10.9667,10.6667,10.6667,30114765.0,1
10.8633,10.9667,10.6667,10.6667,30114765.0,10.6667,10.8333,10.57,10.6633,28835460.0,10.5,10.5867,10.3367,10.4,11552733.0,10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,10.9133,10.9467,10.7867,10.8467,30907524.0,11.0267,11.1333,10.63,10.7867,71244129.0,1
11.0267,11.1333,10.63,10.7867,71244129.0,10.8633,10.9667,10.6667,10.6667,30114765.0,10.6667,10.8333,10.57,10.6633,28835460.0,10.5,10.5867,10.3367,10.4,11552733.0,10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,10.8133,10.8967,10.6667,10.8933,28939800.0,11.12,11.2633,11.0267,11.0267,15864009.0,1
11.12,11.2633,11.0267,11.0267,15864009.0,11.0267,11.1333,10.63,10.7867,71244129.0,10.8633,10.9667,10.6667,10.6667,30114765.0,10.6667,10.8333,10.57,10.6633,28835460.0,10.5,10.5867,10.3367,10.4,11552733.0,10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,10.8333,10.8633,10.6933,10.85,103097445.0,11.12,11.5733,11.0333,11.1167,60889161.0,1
11.12,11.5733,11.0333,11.1167,60889161.0,11.12,11.2633,11.0267,11.0267,15864009.0,11.0267,11.1333,10.63,10.7867,71244129.0,10.8633,10.9667,10.6667,10.6667,30114765.0,10.6667,10.8333,10.57,10.6633,28835460.0,10.5,10.5867,10.3367,10.4,11552733.0,10.34,10.4967,10.1833,10.4967,26653740.0,10.5433,10.9967,10.49,10.8333,34939614.0,10.8767,10.9933,10.67,10.7233,43562553.0,10.6167,10.7133,10.5367,10.6267,19693068.0,10.6267,10.7167,10.5,10.5,27590424.0,10.5,10.65,10.2833,10.3333,43876560.0,10.3333,10.3333,9.9833,10.2667,53089569.0,10.28,10.4367,10.2333,10.2767,66579435.0,10.3333,10.4633,10.2667,10.4167,69244215.0,10.3667,10.62,10.2567,10.5067,69515559.0,10.6667,10.6667,10.4667,10.6667,17439570.0,10.5667,10.8033,10.4667,10.5733,32430708.0,10.7033,10.83,10.5367,10.7367,22169481.0,10.7667,10.8333,10.72,10.7433,17781045.0,11.13,11.2633,10.8167,11.2633,10444539.0,1
