@RELATION "B3 - ITUB3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.1839,14.2886,14.0519,14.1657,7314106.2742,14.3433,14.4344,14.2568,14.3342,10788474.8697,14.366,14.4344,14.0245,14.0245,11788654.2871,14.5618,14.6393,14.4526,14.4753,11945668.0314,1
14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.1839,14.2886,14.0519,14.1657,7314106.2742,14.3433,14.4344,14.2568,14.3342,10788474.8697,14.5254,14.5664,14.3797,14.5436,10852683.7072,1
14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.1839,14.2886,14.0519,14.1657,7314106.2742,14.7895,14.7895,14.5937,14.6666,24171709.7486,1
14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.571,14.571,14.2294,14.4207,8819747.1832,14.7303,14.7941,14.5755,14.7941,9663224.7098,1
14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,14.3888,14.6165,14.2613,14.6165,13704551.3892,14.7986,14.9534,14.6028,14.6028,15106259.4995,1
14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,14.4344,14.5436,14.1976,14.5436,3798990.3116,15.1219,15.1219,14.6256,14.999,24350397.2972,1
15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,14.5254,14.5254,14.1611,14.3888,6753000.93,15.0035,15.1629,14.9352,15.1219,25806277.8395,1
15.0035,15.1629,14.9352,15.1219,25806277.8395,15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.5937,14.6301,14.275,14.5664,3686075.2593,15.0263,15.0263,14.6666,14.6666,7244240.1542,1
15.0263,15.0263,14.6666,14.6666,7244240.1542,15.0035,15.1629,14.9352,15.1219,25806277.8395,15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.3387,14.5892,14.2977,14.5436,3984338.7831,14.8442,14.9489,14.6802,14.7531,6314431.9712,1
14.8442,14.9489,14.6802,14.7531,6314431.9712,15.0263,15.0263,14.6666,14.6666,7244240.1542,15.0035,15.1629,14.9352,15.1219,25806277.8395,15.1219,15.1219,14.6256,14.999,24350397.2972,14.7986,14.9534,14.6028,14.6028,15106259.4995,14.7303,14.7941,14.5755,14.7941,9663224.7098,14.7895,14.7895,14.5937,14.6666,24171709.7486,14.5254,14.5664,14.3797,14.5436,10852683.7072,14.5618,14.6393,14.4526,14.4753,11945668.0314,14.4753,14.6165,14.2977,14.2977,19909845.6862,14.2659,14.3888,13.9426,14.366,9925073.8704,14.0063,14.2386,13.8014,14.2386,11504022.2664,14.2977,14.4799,14.2431,14.3433,11007400.2786,14.5254,14.7895,14.2431,14.4617,8733203.5002,14.5254,14.6165,14.2704,14.3296,9028368.2563,14.4344,14.4708,14.2067,14.2067,9972198.8571,14.2431,14.2477,14.0245,14.0701,139515315.1624,13.9653,14.1202,13.9471,14.1156,8942424.1222,14.1156,14.3114,14.1156,14.2568,9483711.4088,14.2249,14.3478,14.1657,14.3251,11326869.8267,14.4161,14.8715,14.4025,14.7713,13173713.3843,1
