@RELATION "B3 - MDIA3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.3,16.5267,16.2633,16.3467,14264787.0,16.3467,16.4967,16.2367,16.38,27234666.0,16.5,16.63,16.2833,16.3933,14251074.0,16.3133,16.47,16.17,16.25,25307775.0,16.25,16.4467,16.2333,16.33,39870258.0,16.33,16.3967,16.15,16.2133,28708299.0,16.3833,16.4733,16.2233,16.3633,28508934.0,1
16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.3,16.5267,16.2633,16.3467,14264787.0,16.3467,16.4967,16.2367,16.38,27234666.0,16.5,16.63,16.2833,16.3933,14251074.0,16.3133,16.47,16.17,16.25,25307775.0,16.25,16.4467,16.2333,16.33,39870258.0,16.1733,16.4867,16.1733,16.4867,1826358.0,1
16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.3,16.5267,16.2633,16.3467,14264787.0,16.3467,16.4967,16.2367,16.38,27234666.0,16.5,16.63,16.2833,16.3933,14251074.0,16.3133,16.47,16.17,16.25,25307775.0,16.4533,17.13,16.17,16.2,10563291.0,1
16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.3,16.5267,16.2633,16.3467,14264787.0,16.3467,16.4967,16.2367,16.38,27234666.0,16.5,16.63,16.2833,16.3933,14251074.0,16.3,16.5133,16.2167,16.5133,11668188.0,1
16.3,16.5133,16.2167,16.5133,11668188.0,16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.3,16.5267,16.2633,16.3467,14264787.0,16.3467,16.4967,16.2367,16.38,27234666.0,16.1667,16.3633,16.0267,16.3,15149751.0,1
16.1667,16.3633,16.0267,16.3,15149751.0,16.3,16.5133,16.2167,16.5133,11668188.0,16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.3,16.5267,16.2633,16.3467,14264787.0,16.1767,16.2833,15.91,16.2,9839952.0,1
16.1767,16.2833,15.91,16.2,9839952.0,16.1667,16.3633,16.0267,16.3,15149751.0,16.3,16.5133,16.2167,16.5133,11668188.0,16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.2467,16.4167,16.0933,16.3,24569493.0,16.2667,16.5,16.0033,16.1667,20282439.0,1
16.2667,16.5,16.0033,16.1667,20282439.0,16.1767,16.2833,15.91,16.2,9839952.0,16.1667,16.3633,16.0267,16.3,15149751.0,16.3,16.5133,16.2167,16.5133,11668188.0,16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.1667,16.1767,16.1,16.1,6099636.0,16.3333,16.3333,15.6,16.1667,15482652.0,1
16.3333,16.3333,15.6,16.1667,15482652.0,16.2667,16.5,16.0033,16.1667,20282439.0,16.1767,16.2833,15.91,16.2,9839952.0,16.1667,16.3633,16.0267,16.3,15149751.0,16.3,16.5133,16.2167,16.5133,11668188.0,16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,15.6667,16.1,15.4233,16.1,23026773.0,16.0667,16.3,15.9367,16.2667,29383710.0,1
16.0667,16.3,15.9367,16.2667,29383710.0,16.3333,16.3333,15.6,16.1667,15482652.0,16.2667,16.5,16.0033,16.1667,20282439.0,16.1767,16.2833,15.91,16.2,9839952.0,16.1667,16.3633,16.0267,16.3,15149751.0,16.3,16.5133,16.2167,16.5133,11668188.0,16.4533,17.13,16.17,16.2,10563291.0,16.1733,16.4867,16.1733,16.4867,1826358.0,16.3833,16.4733,16.2233,16.3633,28508934.0,16.3833,16.6267,15.7433,16.1733,16153245.0,15.9333,16.0367,15.8333,15.91,6697248.0,16.0,16.1833,15.8867,16.0167,64721217.0,16.0667,16.2667,16.0333,16.18,18992517.0,16.1667,16.6433,15.8833,16.0333,15988260.0,16.0233,16.1167,15.9433,16.0,33266409.0,15.8833,15.9867,15.71,15.8067,7410444.0,15.93,16.0667,15.9,16.0,38093262.0,16.15,16.1667,15.6567,15.9933,11240631.0,15.8367,15.9867,15.8167,15.9767,9662529.0,15.9333,16.2267,15.7567,15.8033,9654933.0,16.1633,16.53,16.0167,16.53,20820870.0,1
