@RELATION "B3 - RENT3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.675,9.7815,9.603,9.7038,82015002.6738,9.7038,9.8593,9.5483,9.7095,116902400.5266,9.7902,9.9255,9.7585,9.8276,76510436.7636,9.8276,9.9313,9.5195,9.5684,145352157.7791,9.5915,9.7326,9.4677,9.626,88271654.3936,9.7297,9.9485,9.6491,9.7988,65273262.0792,9.3007,9.5684,9.2287,9.5684,215001759.8138,1
9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.675,9.7815,9.603,9.7038,82015002.6738,9.7038,9.8593,9.5483,9.7095,116902400.5266,9.7902,9.9255,9.7585,9.8276,76510436.7636,9.8276,9.9313,9.5195,9.5684,145352157.7791,9.5915,9.7326,9.4677,9.626,88271654.3936,9.1279,9.269,8.9897,9.269,177812398.0247,1
9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.675,9.7815,9.603,9.7038,82015002.6738,9.7038,9.8593,9.5483,9.7095,116902400.5266,9.7902,9.9255,9.7585,9.8276,76510436.7636,9.8276,9.9313,9.5195,9.5684,145352157.7791,9.1567,9.3035,8.8889,9.1279,139459633.5299,1
9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.675,9.7815,9.603,9.7038,82015002.6738,9.7038,9.8593,9.5483,9.7095,116902400.5266,9.7902,9.9255,9.7585,9.8276,76510436.7636,9.6174,9.7182,9.1999,9.1999,178538517.1478,1
9.6174,9.7182,9.1999,9.1999,178538517.1478,9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.675,9.7815,9.603,9.7038,82015002.6738,9.7038,9.8593,9.5483,9.7095,116902400.5266,9.8334,9.9284,9.6462,9.675,161323430.6368,0
9.8334,9.9284,9.6462,9.675,161323430.6368,9.6174,9.7182,9.1999,9.1999,178538517.1478,9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.675,9.7815,9.603,9.7038,82015002.6738,9.8593,10.1386,9.747,9.8161,157115980.0653,0
9.8593,10.1386,9.747,9.8161,157115980.0653,9.8334,9.9284,9.6462,9.675,161323430.6368,9.6174,9.7182,9.1999,9.1999,178538517.1478,9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.3294,9.5512,9.2459,9.5454,192923672.4281,9.6951,10.0551,9.6462,9.9457,89454557.2923,0
9.6951,10.0551,9.6462,9.9457,89454557.2923,9.8593,10.1386,9.747,9.8161,157115980.0653,9.8334,9.9284,9.6462,9.675,161323430.6368,9.6174,9.7182,9.1999,9.1999,178538517.1478,9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.3007,9.3957,9.2459,9.2575,142076309.3986,9.6174,9.7758,9.4187,9.6375,85053052.8846,1
9.6174,9.7758,9.4187,9.6375,85053052.8846,9.6951,10.0551,9.6462,9.9457,89454557.2923,9.8593,10.1386,9.747,9.8161,157115980.0653,9.8334,9.9284,9.6462,9.675,161323430.6368,9.6174,9.7182,9.1999,9.1999,178538517.1478,9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5742,9.6404,9.2315,9.3035,203114532.3874,9.4446,9.5598,9.2978,9.5137,106704483.6853,1
9.4446,9.5598,9.2978,9.5137,106704483.6853,9.6174,9.7758,9.4187,9.6375,85053052.8846,9.6951,10.0551,9.6462,9.9457,89454557.2923,9.8593,10.1386,9.747,9.8161,157115980.0653,9.8334,9.9284,9.6462,9.675,161323430.6368,9.6174,9.7182,9.1999,9.1999,178538517.1478,9.1567,9.3035,8.8889,9.1279,139459633.5299,9.1279,9.269,8.9897,9.269,177812398.0247,9.3007,9.5684,9.2287,9.5684,215001759.8138,9.5656,9.7614,9.4187,9.7614,93703581.6504,9.7614,9.8564,9.6318,9.7873,127771315.019,9.7556,9.8708,9.6318,9.6894,82268550.3316,9.8535,9.9255,9.7182,9.9111,111680693.3391,9.9111,10.176,9.8074,9.9888,132989000.6172,10.0378,10.248,9.9169,9.9226,200360827.2899,9.8477,10.1184,9.5886,9.6894,146977445.9136,9.675,9.7902,9.5742,9.7038,150183506.871,9.6894,9.8621,9.508,9.5224,126721218.3331,9.6663,9.7153,9.5051,9.675,91802300.6669,9.675,9.77,9.5252,9.5771,132414093.9443,9.5656,9.6059,9.3438,9.4907,83678058.324,0
