@RELATION "B3 - RSID3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,62.7248,2.4865,26.0108,0.0396,147.9405,61.0089,2.4185,25.2992,0.0396,143.8935,61.2631,2.4286,25.4047,0.0396,144.4931,62.6613,2.484,25.9844,0.0396,147.7906,64.822,2.5697,26.8804,0.0396,152.8869,65.6482,2.6024,27.223,0.0396,154.8354,52.5567,2.0834,21.7942,0.0396,123.9583,206.75,0
52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,62.7248,2.4865,26.0108,0.0396,147.9405,61.0089,2.4185,25.2992,0.0396,143.8935,61.2631,2.4286,25.4047,0.0396,144.4931,62.6613,2.484,25.9844,0.0396,147.7906,64.822,2.5697,26.8804,0.0396,152.8869,51.0314,2.023,21.1618,0.0396,120.3609,200.75,0
51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,62.7248,2.4865,26.0108,0.0396,147.9405,61.0089,2.4185,25.2992,0.0396,143.8935,61.2631,2.4286,25.4047,0.0396,144.4931,62.6613,2.484,25.9844,0.0396,147.7906,49.0614,1.9449,20.3448,0.0396,115.7144,193.0,0
49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,62.7248,2.4865,26.0108,0.0396,147.9405,61.0089,2.4185,25.2992,0.0396,143.8935,61.2631,2.4286,25.4047,0.0396,144.4931,45.7567,1.8139,18.9744,0.0396,107.9201,180.0,0
45.7567,1.8139,18.9744,0.0396,107.9201,49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,62.7248,2.4865,26.0108,0.0396,147.9405,61.0089,2.4185,25.2992,0.0396,143.8935,45.3754,1.7988,18.8163,0.0396,107.0208,178.5,1
45.3754,1.7988,18.8163,0.0396,107.0208,45.7567,1.8139,18.9744,0.0396,107.9201,49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,62.7248,2.4865,26.0108,0.0396,147.9405,45.4389,1.8013,18.8427,0.0396,107.1707,178.75,0
45.4389,1.8013,18.8427,0.0396,107.1707,45.3754,1.7988,18.8163,0.0396,107.0208,45.7567,1.8139,18.9744,0.0396,107.9201,49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,64.5042,2.5571,26.7487,0.0396,152.1374,41.1175,1.63,17.0506,0.0396,96.9782,161.75,0
41.1175,1.63,17.0506,0.0396,96.9782,45.4389,1.8013,18.8427,0.0396,107.1707,45.3754,1.7988,18.8163,0.0396,107.0208,45.7567,1.8139,18.9744,0.0396,107.9201,49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,61.8351,2.4512,25.6418,0.0396,145.8421,25.8076,1.4597,11.8999,0.0566,38.5706,149.0,0
25.8076,1.4597,11.8999,0.0566,38.5706,41.1175,1.63,17.0506,0.0396,96.9782,45.4389,1.8013,18.8427,0.0396,107.1707,45.3754,1.7988,18.8163,0.0396,107.0208,45.7567,1.8139,18.9744,0.0396,107.9201,49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,58.9753,2.3379,24.4559,0.0396,139.0971,25.0714,1.4181,11.5604,0.0566,37.4704,144.75,0
25.0714,1.4181,11.5604,0.0566,37.4704,25.8076,1.4597,11.8999,0.0566,38.5706,41.1175,1.63,17.0506,0.0396,96.9782,45.4389,1.8013,18.8427,0.0396,107.1707,45.3754,1.7988,18.8163,0.0396,107.0208,45.7567,1.8139,18.9744,0.0396,107.9201,49.0614,1.9449,20.3448,0.0396,115.7144,51.0314,2.023,21.1618,0.0396,120.3609,52.5567,2.0834,21.7942,0.0396,123.9583,53.0015,2.1011,21.9787,0.0396,125.0075,50.9043,2.0179,21.1091,0.0396,120.0612,50.8408,2.0154,21.0827,0.0396,119.9113,52.1118,2.0658,21.6098,0.0396,122.909,55.0351,2.1817,22.822,0.0396,129.8039,56.3062,2.2321,23.3491,0.0396,132.8017,56.6239,2.2447,23.4809,0.0396,133.5512,54.5903,2.1641,22.6376,0.0396,128.7547,56.1791,2.227,23.2964,0.0396,132.5019,57.5772,2.2825,23.8762,0.0396,135.7995,58.1491,2.3051,24.1133,0.0396,137.1485,60.0557,2.3807,24.9039,0.0396,141.6452,57.9585,2.2976,24.0343,0.0396,136.6988,57.7678,2.29,23.9552,0.0396,136.2492,58.4669,2.3177,24.2451,0.0396,137.898,57.5136,2.2799,23.8498,0.0396,135.6496,23.9456,1.3544,11.0413,0.0566,35.7878,138.25,0
