@RELATION "B3 - HYPE3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-141.981,1.1675,2.5396,-0.0082,19.3277,-140.5902,1.1561,2.5147,-0.0082,19.1383,-144.1832,1.1857,2.579,-0.0082,19.6275,-146.0376,1.2009,2.6122,-0.0082,19.8799,-144.7627,1.1904,2.5894,-0.0082,19.7063,-135.9541,1.118,2.4318,-0.0082,18.5072,-144.8786,1.1914,2.5914,-0.0082,19.7221,12.5,1
-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-141.981,1.1675,2.5396,-0.0082,19.3277,-140.5902,1.1561,2.5147,-0.0082,19.1383,-144.1832,1.1857,2.579,-0.0082,19.6275,-146.0376,1.2009,2.6122,-0.0082,19.8799,-144.7627,1.1904,2.5894,-0.0082,19.7063,-144.8786,1.1914,2.5914,-0.0082,19.7221,12.5,1
-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-141.981,1.1675,2.5396,-0.0082,19.3277,-140.5902,1.1561,2.5147,-0.0082,19.1383,-144.1832,1.1857,2.579,-0.0082,19.6275,-146.0376,1.2009,2.6122,-0.0082,19.8799,-144.2991,1.1866,2.5811,-0.0082,19.6432,12.45,1
-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-141.981,1.1675,2.5396,-0.0082,19.3277,-140.5902,1.1561,2.5147,-0.0082,19.1383,-144.1832,1.1857,2.579,-0.0082,19.6275,-143.3719,1.179,2.5645,-0.0082,19.517,12.37,1
-143.3719,1.179,2.5645,-0.0082,19.517,-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-141.981,1.1675,2.5396,-0.0082,19.3277,-140.5902,1.1561,2.5147,-0.0082,19.1383,-140.3584,1.1542,2.5106,-0.0082,19.1068,12.11,1
-140.3584,1.1542,2.5106,-0.0082,19.1068,-143.3719,1.179,2.5645,-0.0082,19.517,-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-141.981,1.1675,2.5396,-0.0082,19.3277,-140.5902,1.1561,2.5147,-0.0082,19.1383,12.13,1
-140.5902,1.1561,2.5147,-0.0082,19.1383,-140.3584,1.1542,2.5106,-0.0082,19.1068,-143.3719,1.179,2.5645,-0.0082,19.517,-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-146.5012,1.2047,2.6205,-0.0082,19.943,-140.822,1.158,2.5189,-0.0082,19.1699,12.15,1
-140.822,1.158,2.5189,-0.0082,19.1699,-140.5902,1.1561,2.5147,-0.0082,19.1383,-140.3584,1.1542,2.5106,-0.0082,19.1068,-143.3719,1.179,2.5645,-0.0082,19.517,-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-150.326,1.2362,2.6889,-0.0082,20.4637,-142.0969,1.1685,2.5417,-0.0082,19.3435,12.26,1
-142.0969,1.1685,2.5417,-0.0082,19.3435,-140.822,1.158,2.5189,-0.0082,19.1699,-140.5902,1.1561,2.5147,-0.0082,19.1383,-140.3584,1.1542,2.5106,-0.0082,19.1068,-143.3719,1.179,2.5645,-0.0082,19.517,-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-151.2533,1.2438,2.7055,-0.0082,20.5899,-141.2856,1.1618,2.5272,-0.0082,19.233,12.19,1
-141.2856,1.1618,2.5272,-0.0082,19.233,-142.0969,1.1685,2.5417,-0.0082,19.3435,-140.822,1.158,2.5189,-0.0082,19.1699,-140.5902,1.1561,2.5147,-0.0082,19.1383,-140.3584,1.1542,2.5106,-0.0082,19.1068,-143.3719,1.179,2.5645,-0.0082,19.517,-144.2991,1.1866,2.5811,-0.0082,19.6432,-144.8786,1.1914,2.5914,-0.0082,19.7221,-144.8786,1.1914,2.5914,-0.0082,19.7221,-145.8058,1.199,2.608,-0.0082,19.8483,-144.2991,1.1866,2.5811,-0.0082,19.6432,-140.822,1.158,2.5189,-0.0082,19.1699,-139.3153,1.1456,2.4919,-0.0082,18.9648,-142.3287,1.1704,2.5458,-0.0082,19.375,-146.6171,1.2057,2.6225,-0.0082,19.9588,-148.1239,1.2181,2.6495,-0.0082,20.1639,-146.0376,1.2009,2.6122,-0.0082,19.8799,-145.574,1.1971,2.6039,-0.0082,19.8168,-149.2829,1.2276,2.6702,-0.0082,20.3217,-148.9352,1.2247,2.664,-0.0082,20.2743,-148.2398,1.219,2.6516,-0.0082,20.1797,-147.7762,1.2152,2.6433,-0.0082,20.1166,-149.7465,1.2314,2.6785,-0.0082,20.3848,-151.601,1.2466,2.7117,-0.0082,20.6372,-150.0942,1.2343,2.6847,-0.0082,20.4321,-141.7492,1.1656,2.5355,-0.0082,19.2961,12.23,1
