@RELATION "B3 - LEVE3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.1236,0.0175,0.0124,0.142,0.105,0.1242,0.0176,0.0125,0.142,0.1056,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1249,0.0177,0.0125,0.142,0.1062,0.1256,0.0178,0.0126,0.142,0.1068,0.1344,0.0191,0.0135,0.142,0.1143,0.1977,1
0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.1236,0.0175,0.0124,0.142,0.105,0.1242,0.0176,0.0125,0.142,0.1056,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1249,0.0177,0.0125,0.142,0.1062,0.1331,0.0189,0.0134,0.142,0.1131,0.1957,1
0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.1236,0.0175,0.0124,0.142,0.105,0.1242,0.0176,0.0125,0.142,0.1056,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1304,0.0185,0.0131,0.142,0.1108,0.1917,1
0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.1236,0.0175,0.0124,0.142,0.105,0.1242,0.0176,0.0125,0.142,0.1056,0.1258,0.0179,0.0126,0.142,0.107,0.1315,0.0187,0.0132,0.142,0.1118,0.1933,1
0.1315,0.0187,0.0132,0.142,0.1118,0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.1236,0.0175,0.0124,0.142,0.105,0.1242,0.0176,0.0125,0.142,0.1056,0.1325,0.0188,0.0133,0.142,0.1127,0.1948,1
0.1325,0.0188,0.0133,0.142,0.1127,0.1315,0.0187,0.0132,0.142,0.1118,0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.1236,0.0175,0.0124,0.142,0.105,0.1348,0.0191,0.0135,0.142,0.1146,0.1982,1
0.1348,0.0191,0.0135,0.142,0.1146,0.1325,0.0188,0.0133,0.142,0.1127,0.1315,0.0187,0.0132,0.142,0.1118,0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.1229,0.0175,0.0123,0.142,0.1045,0.136,0.0193,0.0137,0.142,0.1156,0.2,1
0.136,0.0193,0.0137,0.142,0.1156,0.1348,0.0191,0.0135,0.142,0.1146,0.1325,0.0188,0.0133,0.142,0.1127,0.1315,0.0187,0.0132,0.142,0.1118,0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1269,0.018,0.0127,0.142,0.1079,0.136,0.0193,0.0137,0.142,0.1156,0.2,1
0.136,0.0193,0.0137,0.142,0.1156,0.136,0.0193,0.0137,0.142,0.1156,0.1348,0.0191,0.0135,0.142,0.1146,0.1325,0.0188,0.0133,0.142,0.1127,0.1315,0.0187,0.0132,0.142,0.1118,0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1233,0.0175,0.0124,0.142,0.1048,0.1361,0.0193,0.0137,0.142,0.1157,0.2002,1
0.1361,0.0193,0.0137,0.142,0.1157,0.136,0.0193,0.0137,0.142,0.1156,0.136,0.0193,0.0137,0.142,0.1156,0.1348,0.0191,0.0135,0.142,0.1146,0.1325,0.0188,0.0133,0.142,0.1127,0.1315,0.0187,0.0132,0.142,0.1118,0.1304,0.0185,0.0131,0.142,0.1108,0.1331,0.0189,0.0134,0.142,0.1131,0.1344,0.0191,0.0135,0.142,0.1143,0.1331,0.0189,0.0134,0.142,0.1131,0.1355,0.0192,0.0136,0.142,0.1152,0.136,0.0193,0.0137,0.142,0.1156,0.1335,0.019,0.0134,0.142,0.1135,0.1315,0.0187,0.0132,0.142,0.1118,0.1315,0.0187,0.0132,0.142,0.1118,0.1338,0.019,0.0134,0.142,0.1137,0.1321,0.0188,0.0133,0.142,0.1123,0.129,0.0183,0.0129,0.142,0.1096,0.1296,0.0184,0.013,0.142,0.1102,0.126,0.0179,0.0127,0.142,0.1072,0.1258,0.0179,0.0126,0.142,0.107,0.1258,0.0179,0.0126,0.142,0.107,0.1265,0.018,0.0127,0.142,0.1075,0.1267,0.018,0.0127,0.142,0.1077,0.1224,0.0174,0.0123,0.142,0.1041,0.1408,0.02,0.0141,0.142,0.1197,0.207,1
