@RELATION "B3 - PETR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.994,1.001,1.7996,0.1002,9.1924,10.0452,1.0061,1.8088,0.1002,9.2395,9.7221,0.9738,1.7507,0.1002,8.9423,9.8088,0.9825,1.7663,0.1002,9.022,10.2423,1.0259,1.8443,0.1002,9.4208,9.9507,0.9967,1.7918,0.1002,9.1525,9.8048,0.9821,1.7656,0.1002,9.0184,24.88,0
9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.994,1.001,1.7996,0.1002,9.1924,10.0452,1.0061,1.8088,0.1002,9.2395,9.7221,0.9738,1.7507,0.1002,8.9423,9.8088,0.9825,1.7663,0.1002,9.022,10.2423,1.0259,1.8443,0.1002,9.4208,9.7536,0.9769,1.7563,0.1002,8.9713,24.75,0
9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.994,1.001,1.7996,0.1002,9.1924,10.0452,1.0061,1.8088,0.1002,9.2395,9.7221,0.9738,1.7507,0.1002,8.9423,9.8088,0.9825,1.7663,0.1002,9.022,9.592,0.9607,1.7272,0.1002,8.8227,24.34,0
9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.994,1.001,1.7996,0.1002,9.1924,10.0452,1.0061,1.8088,0.1002,9.2395,9.7221,0.9738,1.7507,0.1002,8.9423,9.6236,0.9639,1.7329,0.1002,8.8517,24.42,0
9.6236,0.9639,1.7329,0.1002,8.8517,9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.994,1.001,1.7996,0.1002,9.1924,10.0452,1.0061,1.8088,0.1002,9.2395,9.8442,0.986,1.7727,0.1002,9.0547,24.98,0
9.8442,0.986,1.7727,0.1002,9.0547,9.6236,0.9639,1.7329,0.1002,8.8517,9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.994,1.001,1.7996,0.1002,9.1924,9.7142,0.973,1.7492,0.1002,8.935,24.65,0
9.7142,0.973,1.7492,0.1002,8.935,9.8442,0.986,1.7727,0.1002,9.0547,9.6236,0.9639,1.7329,0.1002,8.8517,9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.994,1.001,1.7996,0.1002,9.1924,9.525,0.954,1.7152,0.1002,8.7611,24.17,0
9.525,0.954,1.7152,0.1002,8.7611,9.7142,0.973,1.7492,0.1002,8.935,9.8442,0.986,1.7727,0.1002,9.0547,9.6236,0.9639,1.7329,0.1002,8.8517,9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.9901,1.0006,1.7989,0.1002,9.1888,9.5211,0.9536,1.7145,0.1002,8.7574,24.16,0
9.5211,0.9536,1.7145,0.1002,8.7574,9.525,0.954,1.7152,0.1002,8.7611,9.7142,0.973,1.7492,0.1002,8.935,9.8442,0.986,1.7727,0.1002,9.0547,9.6236,0.9639,1.7329,0.1002,8.8517,9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,10.2265,1.0243,1.8415,0.1002,9.4063,9.5763,0.9592,1.7244,0.1002,8.8082,24.3,0
9.5763,0.9592,1.7244,0.1002,8.8082,9.5211,0.9536,1.7145,0.1002,8.7574,9.525,0.954,1.7152,0.1002,8.7611,9.7142,0.973,1.7492,0.1002,8.935,9.8442,0.986,1.7727,0.1002,9.0547,9.6236,0.9639,1.7329,0.1002,8.8517,9.592,0.9607,1.7272,0.1002,8.8227,9.7536,0.9769,1.7563,0.1002,8.9713,9.8048,0.9821,1.7656,0.1002,9.0184,9.9507,0.9967,1.7918,0.1002,9.1525,9.9309,0.9947,1.7883,0.1002,9.1344,9.8915,0.9907,1.7812,0.1002,9.0982,10.1556,1.0172,1.8287,0.1002,9.341,10.1083,1.0125,1.8202,0.1002,9.2975,9.726,0.9742,1.7514,0.1002,8.9459,9.8009,0.9817,1.7648,0.1002,9.0148,9.8837,0.99,1.7798,0.1002,9.0909,9.8718,0.9888,1.7776,0.1002,9.08,9.7891,0.9805,1.7627,0.1002,9.0039,10.1753,1.0192,1.8323,0.1002,9.3591,10.4827,1.05,1.8876,0.1002,9.6419,10.325,1.0342,1.8592,0.1002,9.4969,10.128,1.0144,1.8237,0.1002,9.3156,10.1083,1.0125,1.8202,0.1002,9.2975,10.0689,1.0085,1.8131,0.1002,9.2613,9.5881,0.9604,1.7265,0.1002,8.819,24.33,0
