@RELATION "B3 - RADL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,86.9057,2.7122,2.5747,0.0312,68.972,87.5309,2.7317,2.5932,0.0312,69.4682,85.3667,2.6642,2.5291,0.0312,67.7505,83.6834,2.6117,2.4792,0.0312,66.4146,84.8858,2.6492,2.5148,0.0312,67.3688,85.3667,2.6642,2.5291,0.0312,67.7505,100.9972,3.152,2.9921,0.0312,80.1556,4.0385,0
100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,86.9057,2.7122,2.5747,0.0312,68.972,87.5309,2.7317,2.5932,0.0312,69.4682,85.3667,2.6642,2.5291,0.0312,67.7505,83.6834,2.6117,2.4792,0.0312,66.4146,84.8858,2.6492,2.5148,0.0312,67.3688,98.1116,3.0619,2.9067,0.0312,77.8654,3.9231,0
98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,86.9057,2.7122,2.5747,0.0312,68.972,87.5309,2.7317,2.5932,0.0312,69.4682,85.3667,2.6642,2.5291,0.0312,67.7505,83.6834,2.6117,2.4792,0.0312,66.4146,96.1878,3.0019,2.8497,0.0312,76.3386,3.8462,0
96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,86.9057,2.7122,2.5747,0.0312,68.972,87.5309,2.7317,2.5932,0.0312,69.4682,85.3667,2.6642,2.5291,0.0312,67.7505,96.4764,3.0109,2.8582,0.0312,76.5677,3.8577,1
96.4764,3.0109,2.8582,0.0312,76.5677,96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,86.9057,2.7122,2.5747,0.0312,68.972,87.5309,2.7317,2.5932,0.0312,69.4682,100.5163,3.137,2.9779,0.0312,79.7739,4.0192,0
100.5163,3.137,2.9779,0.0312,79.7739,96.4764,3.0109,2.8582,0.0312,76.5677,96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,86.9057,2.7122,2.5747,0.0312,68.972,101.8629,3.179,3.0178,0.0312,80.8426,4.0731,0
101.8629,3.179,3.0178,0.0312,80.8426,100.5163,3.137,2.9779,0.0312,79.7739,96.4764,3.0109,2.8582,0.0312,76.5677,96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,86.0881,2.6867,2.5504,0.0312,68.3231,88.5838,3.0612,2.7979,0.0346,67.3962,3.9442,0
88.5838,3.0612,2.7979,0.0346,67.3962,101.8629,3.179,3.0178,0.0312,80.8426,100.5163,3.137,2.9779,0.0312,79.7739,96.4764,3.0109,2.8582,0.0312,76.5677,96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,86.5691,2.7017,2.5647,0.0312,68.7048,85.8628,2.9672,2.7119,0.0346,65.326,3.8231,1
85.8628,2.9672,2.7119,0.0346,65.326,88.5838,3.0612,2.7979,0.0346,67.3962,101.8629,3.179,3.0178,0.0312,80.8426,100.5163,3.137,2.9779,0.0312,79.7739,96.4764,3.0109,2.8582,0.0312,76.5677,96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,84.6453,2.6417,2.5077,0.0312,67.178,84.8694,2.9329,2.6806,0.0346,64.5702,3.7788,1
84.8694,2.9329,2.6806,0.0346,64.5702,85.8628,2.9672,2.7119,0.0346,65.326,88.5838,3.0612,2.7979,0.0346,67.3962,101.8629,3.179,3.0178,0.0312,80.8426,100.5163,3.137,2.9779,0.0312,79.7739,96.4764,3.0109,2.8582,0.0312,76.5677,96.1878,3.0019,2.8497,0.0312,76.3386,98.1116,3.0619,2.9067,0.0312,77.8654,100.9972,3.152,2.9921,0.0312,80.1556,100.2758,3.1295,2.9708,0.0312,79.583,98.7849,3.083,2.9266,0.0312,78.3998,99.0735,3.092,2.9352,0.0312,78.6288,97.1497,3.0319,2.8782,0.0312,77.102,96.6688,3.0169,2.8639,0.0312,76.7203,96.1878,3.0019,2.8497,0.0312,76.3386,97.3902,3.0394,2.8853,0.0312,77.2929,97.6307,3.0469,2.8924,0.0312,77.4837,96.1878,3.0019,2.8497,0.0312,76.3386,93.6389,2.9224,2.7741,0.0312,74.3157,88.9738,2.7768,2.6359,0.0312,70.6132,90.8975,2.8368,2.6929,0.0312,72.14,89.4547,2.7918,2.6502,0.0312,70.9949,87.5309,2.7317,2.5932,0.0312,69.4682,84.1644,2.6267,2.4935,0.0312,66.7963,84.4048,2.6342,2.5006,0.0312,66.9872,83.7896,2.8956,2.6465,0.0346,63.7487,3.7308,1
