@RELATION "B3 - AMER3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-87.5489,7.5641,2.2749,-0.0864,53.4749,-89.1735,7.7045,2.3171,-0.0864,54.4672,-86.9171,7.5095,2.2584,-0.0864,53.089,-85.3827,7.377,2.2186,-0.0864,52.1518,-87.3684,7.5485,2.2702,-0.0864,53.3646,-89.715,7.7513,2.3311,-0.0864,54.798,-72.9273,6.3008,1.8949,-0.0864,44.544,8.08,0
-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-87.5489,7.5641,2.2749,-0.0864,53.4749,-89.1735,7.7045,2.3171,-0.0864,54.4672,-86.9171,7.5095,2.2584,-0.0864,53.089,-85.3827,7.377,2.2186,-0.0864,52.1518,-87.3684,7.5485,2.2702,-0.0864,53.3646,-71.754,6.1995,1.8644,-0.0864,43.8274,7.95,0
-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-87.5489,7.5641,2.2749,-0.0864,53.4749,-89.1735,7.7045,2.3171,-0.0864,54.4672,-86.9171,7.5095,2.2584,-0.0864,53.089,-85.3827,7.377,2.2186,-0.0864,52.1518,-70.6709,6.1059,1.8363,-0.0864,43.1658,7.83,0
-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-87.5489,7.5641,2.2749,-0.0864,53.4749,-89.1735,7.7045,2.3171,-0.0864,54.4672,-86.9171,7.5095,2.2584,-0.0864,53.089,-71.9345,6.2151,1.8691,-0.0864,43.9376,7.97,0
-71.9345,6.2151,1.8691,-0.0864,43.9376,-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-87.5489,7.5641,2.2749,-0.0864,53.4749,-89.1735,7.7045,2.3171,-0.0864,54.4672,-70.0391,6.0513,1.8199,-0.0864,42.7799,7.76,0
-70.0391,6.0513,1.8199,-0.0864,42.7799,-71.9345,6.2151,1.8691,-0.0864,43.9376,-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-87.5489,7.5641,2.2749,-0.0864,53.4749,-71.754,6.1995,1.8644,-0.0864,43.8274,7.95,0
-71.754,6.1995,1.8644,-0.0864,43.8274,-70.0391,6.0513,1.8199,-0.0864,42.7799,-71.9345,6.2151,1.8691,-0.0864,43.9376,-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-85.7437,7.4082,2.2279,-0.0864,52.3723,-72.7468,6.2852,1.8902,-0.0864,44.4338,8.06,0
-72.7468,6.2852,1.8902,-0.0864,44.4338,-71.754,6.1995,1.8644,-0.0864,43.8274,-70.0391,6.0513,1.8199,-0.0864,42.7799,-71.9345,6.2151,1.8691,-0.0864,43.9376,-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-90.1663,7.7903,2.3429,-0.0864,55.0736,-75.1837,6.4958,1.9536,-0.0864,45.9223,8.33,0
-75.1837,6.4958,1.9536,-0.0864,45.9223,-72.7468,6.2852,1.8902,-0.0864,44.4338,-71.754,6.1995,1.8644,-0.0864,43.8274,-70.0391,6.0513,1.8199,-0.0864,42.7799,-71.9345,6.2151,1.8691,-0.0864,43.9376,-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-86.9171,7.5095,2.2584,-0.0864,53.089,-75.3642,6.5114,1.9582,-0.0864,46.0325,8.35,0
-75.3642,6.5114,1.9582,-0.0864,46.0325,-75.1837,6.4958,1.9536,-0.0864,45.9223,-72.7468,6.2852,1.8902,-0.0864,44.4338,-71.754,6.1995,1.8644,-0.0864,43.8274,-70.0391,6.0513,1.8199,-0.0864,42.7799,-71.9345,6.2151,1.8691,-0.0864,43.9376,-70.6709,6.1059,1.8363,-0.0864,43.1658,-71.754,6.1995,1.8644,-0.0864,43.8274,-72.9273,6.3008,1.8949,-0.0864,44.544,-73.5591,6.3554,1.9113,-0.0864,44.9299,-72.6565,6.2774,1.8879,-0.0864,44.3787,-74.4617,6.4334,1.9348,-0.0864,45.4812,-73.1078,6.3164,1.8996,-0.0864,44.6543,-74.9129,6.4724,1.9465,-0.0864,45.7569,-73.1981,6.3242,1.902,-0.0864,44.7094,-75.274,6.5036,1.9559,-0.0864,45.9774,-77.6206,6.7063,2.0169,-0.0864,47.4107,-80.5991,6.9637,2.0943,-0.0864,49.23,-81.5017,7.0416,2.1177,-0.0864,49.7813,-80.1478,6.9247,2.0825,-0.0864,48.9543,-80.3283,6.9403,2.0872,-0.0864,49.0646,-81.7724,7.065,2.1248,-0.0864,49.9467,-84.2996,7.2834,2.1904,-0.0864,51.4903,-86.6463,7.4861,2.2514,-0.0864,52.9236,-87.5489,7.5641,2.2749,-0.0864,53.4749,-73.8299,6.3788,1.9184,-0.0864,45.0953,8.18,0
