@RELATION "B3 - DTEX3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,6.5638,6.7072,6.4955,6.6799,21415212.0744,6.6252,6.6252,6.5023,6.5091,29414397.0914,6.4955,6.6321,6.4955,6.6252,27422112.7682,6.6321,6.7345,6.5979,6.7004,33824723.0895,6.6662,6.9053,6.6662,6.9053,31726445.2468,6.9053,6.9053,6.7618,6.8301,24936722.4934,7.4653,7.5336,7.2536,7.4448,16712553.6217,1
7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,6.5638,6.7072,6.4955,6.6799,21415212.0744,6.6252,6.6252,6.5023,6.5091,29414397.0914,6.4955,6.6321,6.4955,6.6252,27422112.7682,6.6321,6.7345,6.5979,6.7004,33824723.0895,6.6662,6.9053,6.6662,6.9053,31726445.2468,7.5473,7.5473,7.3151,7.3356,20204683.946,1
7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,6.5638,6.7072,6.4955,6.6799,21415212.0744,6.6252,6.6252,6.5023,6.5091,29414397.0914,6.4955,6.6321,6.4955,6.6252,27422112.7682,6.6321,6.7345,6.5979,6.7004,33824723.0895,7.8615,7.9981,7.561,7.6224,54354233.7255,0
7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,6.5638,6.7072,6.4955,6.6799,21415212.0744,6.6252,6.6252,6.5023,6.5091,29414397.0914,6.4955,6.6321,6.4955,6.6252,27422112.7682,7.8137,7.9708,7.7112,7.8888,24794927.3366,0
7.8137,7.9708,7.7112,7.8888,24794927.3366,7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,6.5638,6.7072,6.4955,6.6799,21415212.0744,6.6252,6.6252,6.5023,6.5091,29414397.0914,7.759,7.9366,7.5883,7.8478,19871605.5884,1
7.759,7.9366,7.5883,7.8478,19871605.5884,7.8137,7.9708,7.7112,7.8888,24794927.3366,7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,6.5638,6.7072,6.4955,6.6799,21415212.0744,8.0322,8.0459,7.6976,7.6976,25684546.7066,1
8.0322,8.0459,7.6976,7.6976,25684546.7066,7.759,7.9366,7.5883,7.8478,19871605.5884,7.8137,7.9708,7.7112,7.8888,24794927.3366,7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,6.5364,6.6526,6.5159,6.5911,47721182.8489,8.0869,8.2167,7.8888,8.0459,38232177.9875,0
8.0869,8.2167,7.8888,8.0459,38232177.9875,8.0322,8.0459,7.6976,7.6976,25684546.7066,7.759,7.9366,7.5883,7.8478,19871605.5884,7.8137,7.9708,7.7112,7.8888,24794927.3366,7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,6.5296,6.6457,6.4545,6.5569,26830865.2654,8.0117,8.1552,7.9434,7.9434,22012892.8326,0
8.0117,8.1552,7.9434,7.9434,22012892.8326,8.0869,8.2167,7.8888,8.0459,38232177.9875,8.0322,8.0459,7.6976,7.6976,25684546.7066,7.759,7.9366,7.5883,7.8478,19871605.5884,7.8137,7.9708,7.7112,7.8888,24794927.3366,7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,6.5842,6.5979,6.3862,6.5159,32893041.5906,7.7864,8.0459,7.4653,8.0049,38071298.2872,0
7.7864,8.0459,7.4653,8.0049,38071298.2872,8.0117,8.1552,7.9434,7.9434,22012892.8326,8.0869,8.2167,7.8888,8.0459,38232177.9875,8.0322,8.0459,7.6976,7.6976,25684546.7066,7.759,7.9366,7.5883,7.8478,19871605.5884,7.8137,7.9708,7.7112,7.8888,24794927.3366,7.8615,7.9981,7.561,7.6224,54354233.7255,7.5473,7.5473,7.3151,7.3356,20204683.946,7.4653,7.5336,7.2536,7.4448,16712553.6217,7.4448,7.6839,7.3834,7.6498,22614658.4299,7.6498,7.6907,7.4107,7.4517,18947578.4043,7.4448,7.4858,7.3014,7.3902,14047534.3819,7.3697,7.3697,7.1238,7.199,20540807.6316,7.2604,7.4448,7.2604,7.4244,16849965.263,7.4175,7.4722,7.3082,7.4107,23577706.8071,7.5814,7.759,7.3765,7.6566,16851651.9062,7.7181,7.8342,7.5131,7.5746,38692125.0024,7.5814,7.6088,7.2468,7.4244,28290769.1544,7.52,7.5951,7.3424,7.3629,53153011.4167,7.3765,7.3765,6.8575,6.8916,53812105.3135,6.8438,7.0145,6.8096,6.9258,28332378.8764,6.9394,6.9872,6.8165,6.8301,31115821.8446,6.8301,6.9053,6.673,6.7277,42656278.2384,6.5911,6.7072,6.5501,6.5638,45263360.1129,6.5228,6.5569,6.4408,6.5159,27242379.8523,7.6498,7.8956,7.5814,7.8137,24292353.0502,1
