@RELATION "B3 - CMIG4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,16.4345,16.5638,15.9855,16.2657,173243650.6154,16.0932,16.201,15.9531,16.1831,154982130.5826,16.1831,16.492,16.1112,16.2765,155637545.6727,16.2729,16.3052,15.7089,15.8059,361785886.6241,15.6658,16.0358,15.576,15.8598,304822406.3092,15.6981,15.8957,15.576,15.6981,218211215.0272,16.3806,16.3806,15.3613,15.7879,180821482.8317,0
16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,16.4345,16.5638,15.9855,16.2657,173243650.6154,16.0932,16.201,15.9531,16.1831,154982130.5826,16.1831,16.492,16.1112,16.2765,155637545.6727,16.2729,16.3052,15.7089,15.8059,361785886.6241,15.6658,16.0358,15.576,15.8598,304822406.3092,16.3761,16.5019,16.2235,16.3447,125548716.8732,0
16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,16.4345,16.5638,15.9855,16.2657,173243650.6154,16.0932,16.201,15.9531,16.1831,154982130.5826,16.1831,16.492,16.1112,16.2765,155637545.6727,16.2729,16.3052,15.7089,15.8059,361785886.6241,16.3043,16.5019,16.1426,16.3133,117415613.5931,0
16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,16.4345,16.5638,15.9855,16.2657,173243650.6154,16.0932,16.201,15.9531,16.1831,154982130.5826,16.1831,16.492,16.1112,16.2765,155637545.6727,16.3537,16.5198,16.2145,16.3896,174222823.8049,0
16.3537,16.5198,16.2145,16.3896,174222823.8049,16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,16.4345,16.5638,15.9855,16.2657,173243650.6154,16.0932,16.201,15.9531,16.1831,154982130.5826,16.457,16.668,16.1875,16.2998,80302267.091,0
16.457,16.668,16.1875,16.2998,80302267.091,16.3537,16.5198,16.2145,16.3896,174222823.8049,16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,16.4345,16.5638,15.9855,16.2657,173243650.6154,15.6487,16.3761,15.6128,16.3761,187925606.6077,0
15.6487,16.3761,15.6128,16.3761,187925606.6077,16.457,16.668,16.1875,16.2998,80302267.091,16.3537,16.5198,16.2145,16.3896,174222823.8049,16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,16.3878,16.4525,16.1507,16.3411,87895286.074,15.3434,15.9271,15.1009,15.6038,197497969.0328,0
15.3434,15.9271,15.1009,15.6038,197497969.0328,15.6487,16.3761,15.6128,16.3761,187925606.6077,16.457,16.668,16.1875,16.2998,80302267.091,16.3537,16.5198,16.2145,16.3896,174222823.8049,16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,16.5315,16.5315,16.1902,16.3124,265017711.4812,15.4242,15.6577,15.3434,15.5544,193940957.5904,0
15.4242,15.6577,15.3434,15.5544,193940957.5904,15.3434,15.9271,15.1009,15.6038,197497969.0328,15.6487,16.3761,15.6128,16.3761,187925606.6077,16.457,16.668,16.1875,16.2998,80302267.091,16.3537,16.5198,16.2145,16.3896,174222823.8049,16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,16.7578,16.844,16.5746,16.5746,250140879.3416,15.2491,15.7116,15.0021,15.5724,122389495.9374,0
15.2491,15.7116,15.0021,15.5724,122389495.9374,15.4242,15.6577,15.3434,15.5544,193940957.5904,15.3434,15.9271,15.1009,15.6038,197497969.0328,15.6487,16.3761,15.6128,16.3761,187925606.6077,16.457,16.668,16.1875,16.2998,80302267.091,16.3537,16.5198,16.2145,16.3896,174222823.8049,16.3043,16.5019,16.1426,16.3133,117415613.5931,16.3761,16.5019,16.2235,16.3447,125548716.8732,16.3806,16.3806,15.3613,15.7879,180821482.8317,15.9406,16.6096,15.9406,16.3088,242348844.1944,16.1741,17.3371,16.0843,16.8117,267471445.9433,16.7039,16.7668,16.4345,16.4345,227802425.7173,16.9644,17.0182,16.6141,16.6141,160290564.2951,17.3793,17.7457,17.3793,17.6379,112401696.1565,17.584,17.7349,17.5301,17.5697,124467749.305,17.7098,17.7816,17.5194,17.6738,128182217.2647,17.602,17.602,17.2428,17.2428,166619468.2527,17.2068,17.232,16.8907,17.0452,148338907.1896,17.153,17.4224,17.1386,17.1494,168478874.97,17.0955,17.3074,16.9662,16.9698,129159161.3082,16.9913,17.0308,16.3303,16.4345,231500495.6975,16.4345,16.686,16.3806,16.686,173754145.0919,16.5243,16.7434,16.2621,16.5423,164384822.4009,16.4704,16.7363,16.4273,16.7363,148150779.5832,16.7722,17.117,16.6357,16.7758,457989021.9764,15.496,15.6173,15.303,15.4197,195147183.4758,0
