@RELATION "B3 - VALE3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,44.08,44.15,43.28,43.7,138646101.0,43.62,44.0,43.37,43.96,129374532.0,44.09,44.49,44.0,44.18,159554220.0,43.86,44.0,42.67,42.67,180931599.0,43.0,43.3,42.78,43.16,92076148.0,42.93,43.95,42.51,43.8,246342623.0,42.41,42.8,42.27,42.43,164362344.0,0
42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,44.08,44.15,43.28,43.7,138646101.0,43.62,44.0,43.37,43.96,129374532.0,44.09,44.49,44.0,44.18,159554220.0,43.86,44.0,42.67,42.67,180931599.0,43.0,43.3,42.78,43.16,92076148.0,41.6,42.43,41.52,42.29,117616049.0,0
41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,44.08,44.15,43.28,43.7,138646101.0,43.62,44.0,43.37,43.96,129374532.0,44.09,44.49,44.0,44.18,159554220.0,43.86,44.0,42.67,42.67,180931599.0,42.16,42.2,41.1,41.48,222231889.0,0
42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,44.08,44.15,43.28,43.7,138646101.0,43.62,44.0,43.37,43.96,129374532.0,44.09,44.49,44.0,44.18,159554220.0,42.9,42.9,42.23,42.51,224945275.0,0
42.9,42.9,42.23,42.51,224945275.0,42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,44.08,44.15,43.28,43.7,138646101.0,43.62,44.0,43.37,43.96,129374532.0,44.01,44.43,42.84,42.99,233982077.0,0
44.01,44.43,42.84,42.99,233982077.0,42.9,42.9,42.23,42.51,224945275.0,42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,44.08,44.15,43.28,43.7,138646101.0,43.02,44.25,42.76,43.92,196023093.0,0
43.02,44.25,42.76,43.92,196023093.0,44.01,44.43,42.84,42.99,233982077.0,42.9,42.9,42.23,42.51,224945275.0,42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,43.55,44.75,43.55,44.5,308390559.0,42.17,42.57,41.98,42.3,115284949.0,0
42.17,42.57,41.98,42.3,115284949.0,43.02,44.25,42.76,43.92,196023093.0,44.01,44.43,42.84,42.99,233982077.0,42.9,42.9,42.23,42.51,224945275.0,42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,44.05,44.35,43.62,43.77,116517596.0,42.06,42.58,41.6,42.05,159750350.0,0
42.06,42.58,41.6,42.05,159750350.0,42.17,42.57,41.98,42.3,115284949.0,43.02,44.25,42.76,43.92,196023093.0,44.01,44.43,42.84,42.99,233982077.0,42.9,42.9,42.23,42.51,224945275.0,42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,44.45,44.56,43.9,44.12,136936375.0,41.62,41.75,41.17,41.51,161105657.0,0
41.62,41.75,41.17,41.51,161105657.0,42.06,42.58,41.6,42.05,159750350.0,42.17,42.57,41.98,42.3,115284949.0,43.02,44.25,42.76,43.92,196023093.0,44.01,44.43,42.84,42.99,233982077.0,42.9,42.9,42.23,42.51,224945275.0,42.16,42.2,41.1,41.48,222231889.0,41.6,42.43,41.52,42.29,117616049.0,42.41,42.8,42.27,42.43,164362344.0,42.11,42.15,41.74,41.92,90055588.0,41.55,41.88,41.38,41.53,101372104.0,41.57,42.06,41.24,41.95,167566379.0,42.45,42.71,42.1,42.4,96274933.0,42.61,42.61,41.82,42.3,149045740.0,43.27,43.32,42.75,42.8,78231163.0,42.97,43.08,42.6,43.0,119315408.0,42.7,43.07,42.35,42.35,83409179.0,42.3,43.0,41.77,42.51,132431575.0,42.7,42.75,40.9,41.0,227198899.0,40.62,41.39,40.44,40.7,200836357.0,41.11,41.72,40.9,41.14,209818958.0,41.15,41.9,40.81,41.89,177770754.0,41.0,41.2,40.16,41.2,298333179.0,41.06,41.98,40.71,41.88,332881742.0,43.15,44.1,42.78,44.06,184730319.0,41.24,41.54,40.63,41.41,147745402.0,1
