@RELATION "B3 - LREN3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,25.9568,7.5715,2.8157,0.2917,18.5773,25.7033,7.4975,2.7882,0.2917,18.3959,25.5229,7.4449,2.7686,0.2917,18.2667,28.3755,8.277,3.078,0.2917,20.3083,9.9249,1
28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,25.9568,7.5715,2.8157,0.2917,18.5773,25.7033,7.4975,2.7882,0.2917,18.3959,28.1392,8.2081,3.0524,0.2917,20.1392,9.8422,1
28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,25.9568,7.5715,2.8157,0.2917,18.5773,27.3659,7.9825,2.9685,0.2917,19.5858,9.5718,1
27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,25.8967,7.5539,2.8092,0.2917,18.5342,27.1167,7.9098,2.9415,0.2917,19.4074,9.4846,1
27.1167,7.9098,2.9415,0.2917,19.4074,27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.2113,7.9374,2.9518,0.2917,19.4751,26.9363,7.8572,2.9219,0.2917,19.2783,9.4215,1
26.9363,7.8572,2.9219,0.2917,19.2783,27.1167,7.9098,2.9415,0.2917,19.4074,27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.9244,8.1454,3.0291,0.2917,19.9855,27.3788,7.9863,2.9699,0.2917,19.595,9.5763,1
27.3788,7.9863,2.9699,0.2917,19.595,26.9363,7.8572,2.9219,0.2917,19.2783,27.1167,7.9098,2.9415,0.2917,19.4074,27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.817,8.1141,3.0175,0.2917,19.9086,27.4347,8.0025,2.976,0.2917,19.635,9.5958,1
27.4347,8.0025,2.976,0.2917,19.635,27.3788,7.9863,2.9699,0.2917,19.595,26.9363,7.8572,2.9219,0.2917,19.2783,27.1167,7.9098,2.9415,0.2917,19.4074,27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5549,8.0376,2.989,0.2917,19.7211,27.323,7.97,2.9639,0.2917,19.555,9.5567,1
27.323,7.97,2.9639,0.2917,19.555,27.4347,8.0025,2.976,0.2917,19.635,27.3788,7.9863,2.9699,0.2917,19.595,26.9363,7.8572,2.9219,0.2917,19.2783,27.1167,7.9098,2.9415,0.2917,19.4074,27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.1726,7.9261,2.9476,0.2917,19.4474,27.5764,8.0439,2.9914,0.2917,19.7364,9.6454,1
27.5764,8.0439,2.9914,0.2917,19.7364,27.323,7.97,2.9639,0.2917,19.555,27.4347,8.0025,2.976,0.2917,19.635,27.3788,7.9863,2.9699,0.2917,19.595,26.9363,7.8572,2.9219,0.2917,19.2783,27.1167,7.9098,2.9415,0.2917,19.4074,27.3659,7.9825,2.9685,0.2917,19.5858,28.1392,8.2081,3.0524,0.2917,20.1392,28.3755,8.277,3.078,0.2917,20.3083,27.7526,8.0953,3.0105,0.2917,19.8625,26.9234,7.8534,2.9205,0.2917,19.2691,26.8031,7.8183,2.9075,0.2917,19.183,27.207,7.9361,2.9513,0.2917,19.472,27.6065,8.0527,2.9946,0.2917,19.758,27.3788,7.9863,2.9699,0.2917,19.595,27.4948,8.0201,2.9825,0.2917,19.678,28.354,8.2707,3.0757,0.2917,20.293,28.4829,8.3083,3.0897,0.2917,20.3852,28.1607,8.2143,3.0547,0.2917,20.1546,28.4614,8.302,3.0874,0.2917,20.3698,28.7836,8.396,3.1223,0.2917,20.6004,28.0748,8.1893,3.0454,0.2917,20.0931,27.4733,8.0138,2.9802,0.2917,19.6626,27.4948,8.0201,2.9825,0.2917,19.678,27.6323,8.0602,2.9974,0.2917,19.7764,28.0146,8.1717,3.0389,0.2917,20.0501,28.0877,8.193,3.0468,0.2917,20.1023,27.5206,8.0276,2.9853,0.2917,19.6965,26.9148,7.8509,2.9196,0.2917,19.2629,27.3144,7.9675,2.9629,0.2917,19.5489,27.0437,7.8885,2.9336,0.2917,19.3552,9.4591,1
