@RELATION "B3 - LREN3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao26 NUMERIC
@ATTRIBUTE high26 NUMERIC
@ATTRIBUTE low26 NUMERIC
@ATTRIBUTE open26 NUMERIC
@ATTRIBUTE volume26 NUMERIC
@ATTRIBUTE cotacao27 NUMERIC
@ATTRIBUTE high27 NUMERIC
@ATTRIBUTE low27 NUMERIC
@ATTRIBUTE open27 NUMERIC
@ATTRIBUTE volume27 NUMERIC
@ATTRIBUTE cotacao28 NUMERIC
@ATTRIBUTE high28 NUMERIC
@ATTRIBUTE low28 NUMERIC
@ATTRIBUTE open28 NUMERIC
@ATTRIBUTE volume28 NUMERIC
@ATTRIBUTE cotacao29 NUMERIC
@ATTRIBUTE high29 NUMERIC
@ATTRIBUTE low29 NUMERIC
@ATTRIBUTE open29 NUMERIC
@ATTRIBUTE volume29 NUMERIC
@ATTRIBUTE cotacao30 NUMERIC
@ATTRIBUTE high30 NUMERIC
@ATTRIBUTE low30 NUMERIC
@ATTRIBUTE open30 NUMERIC
@ATTRIBUTE volume30 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.7671,9.8197,9.3719,9.4666,517646058.3866,9.5177,9.5823,8.9211,9.136,678074157.163,9.0579,9.1435,9.0083,9.0458,209608861.5986,9.0789,9.0909,8.9722,9.0158,249574492.4988,8.9902,9.0158,8.7303,8.7378,642119355.0108,8.9271,9.0383,8.7153,9.0008,432324998.597,9.9249,9.9459,9.6168,9.7355,293365816.7019,1
9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.7671,9.8197,9.3719,9.4666,517646058.3866,9.5177,9.5823,8.9211,9.136,678074157.163,9.0579,9.1435,9.0083,9.0458,209608861.5986,9.0789,9.0909,8.9722,9.0158,249574492.4988,8.9902,9.0158,8.7303,8.7378,642119355.0108,9.8422,10.021,9.8272,9.9174,239916470.3265,1
9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.7671,9.8197,9.3719,9.4666,517646058.3866,9.5177,9.5823,8.9211,9.136,678074157.163,9.0579,9.1435,9.0083,9.0458,209608861.5986,9.0789,9.0909,8.9722,9.0158,249574492.4988,9.5718,9.8242,9.5131,9.74,318221689.3557,1
9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.7671,9.8197,9.3719,9.4666,517646058.3866,9.5177,9.5823,8.9211,9.136,678074157.163,9.0579,9.1435,9.0083,9.0458,209608861.5986,9.4846,9.6108,9.3238,9.4666,463109411.4553,1
9.4846,9.6108,9.3238,9.4666,463109411.4553,9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.7671,9.8197,9.3719,9.4666,517646058.3866,9.5177,9.5823,8.9211,9.136,678074157.163,9.4215,9.6123,9.3464,9.6123,379998723.4025,1
9.4215,9.6123,9.3464,9.6123,379998723.4025,9.4846,9.6108,9.3238,9.4666,463109411.4553,9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.7671,9.8197,9.3719,9.4666,517646058.3866,9.5763,9.6334,9.42,9.4981,426335139.2225,1
9.5763,9.6334,9.42,9.4981,426335139.2225,9.4215,9.6123,9.3464,9.6123,379998723.4025,9.4846,9.6108,9.3238,9.4666,463109411.4553,9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.7295,9.8122,9.4666,9.8122,362402610.5692,9.5958,9.6544,9.5116,9.5116,223628484.2592,1
9.5958,9.6544,9.5116,9.5116,223628484.2592,9.5763,9.6334,9.42,9.4981,426335139.2225,9.4215,9.6123,9.3464,9.6123,379998723.4025,9.4846,9.6108,9.3238,9.4666,463109411.4553,9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6379,9.7461,9.5597,9.6289,174163765.8968,9.5567,9.6739,9.4591,9.5417,238261558.1652,1
9.5567,9.6739,9.4591,9.5417,238261558.1652,9.5958,9.6544,9.5116,9.5116,223628484.2592,9.5763,9.6334,9.42,9.4981,426335139.2225,9.4215,9.6123,9.3464,9.6123,379998723.4025,9.4846,9.6108,9.3238,9.4666,463109411.4553,9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.5041,9.716,9.4515,9.5748,299175165.8563,9.6454,9.6905,9.4455,9.6153,177905932.2946,1
9.6454,9.6905,9.4455,9.6153,177905932.2946,9.5567,9.6739,9.4591,9.5417,238261558.1652,9.5958,9.6544,9.5116,9.5116,223628484.2592,9.5763,9.6334,9.42,9.4981,426335139.2225,9.4215,9.6123,9.3464,9.6123,379998723.4025,9.4846,9.6108,9.3238,9.4666,463109411.4553,9.5718,9.8242,9.5131,9.74,318221689.3557,9.8422,10.021,9.8272,9.9174,239916470.3265,9.9249,9.9459,9.6168,9.7355,293365816.7019,9.707,9.707,9.438,9.4681,345237462.2262,9.417,9.4215,9.2021,9.3013,279567080.1465,9.3749,9.6544,9.3178,9.5116,256915862.5844,9.5162,9.6168,9.4245,9.5778,248532366.083,9.6559,9.704,9.5477,9.6168,254314582.8024,9.5763,9.8948,9.5763,9.6814,435739266.4896,9.6168,9.8482,9.6168,9.7581,277351963.3948,9.9174,10.1127,9.7461,9.9474,289948906.7743,9.9624,10.006,9.6739,9.7761,484218186.3563,9.8497,9.9249,9.7911,9.9174,365033358.6911,9.9549,10.0631,9.8723,10.0015,247076944.2019,10.0676,10.1307,9.9805,10.0676,323164910.2245,9.8197,9.8588,9.6439,9.6649,434226751.3635,9.6093,9.7491,9.3914,9.5718,579602231.7235,9.6168,9.7896,9.5748,9.6664,793671959.7904,9.6649,9.8723,9.6364,9.8723,488055239.7442,9.7986,10.018,9.7671,9.8392,357268570.8853,9.8242,9.9083,9.4846,9.6273,391631703.3413,9.6258,9.7821,9.3689,9.423,317506236.9252,9.414,9.5522,9.3388,9.4786,351797355.6261,9.5537,9.7566,9.5056,9.5718,214322990.7471,9.4591,9.5177,9.3764,9.4831,187888645.2621,1
