@RELATION "B3 - EMBR3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao26 NUMERIC
@ATTRIBUTE high26 NUMERIC
@ATTRIBUTE low26 NUMERIC
@ATTRIBUTE open26 NUMERIC
@ATTRIBUTE volume26 NUMERIC
@ATTRIBUTE cotacao27 NUMERIC
@ATTRIBUTE high27 NUMERIC
@ATTRIBUTE low27 NUMERIC
@ATTRIBUTE open27 NUMERIC
@ATTRIBUTE volume27 NUMERIC
@ATTRIBUTE cotacao28 NUMERIC
@ATTRIBUTE high28 NUMERIC
@ATTRIBUTE low28 NUMERIC
@ATTRIBUTE open28 NUMERIC
@ATTRIBUTE volume28 NUMERIC
@ATTRIBUTE cotacao29 NUMERIC
@ATTRIBUTE high29 NUMERIC
@ATTRIBUTE low29 NUMERIC
@ATTRIBUTE open29 NUMERIC
@ATTRIBUTE volume29 NUMERIC
@ATTRIBUTE cotacao30 NUMERIC
@ATTRIBUTE high30 NUMERIC
@ATTRIBUTE low30 NUMERIC
@ATTRIBUTE open30 NUMERIC
@ATTRIBUTE volume30 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,14.4,14.49,14.02,14.41,20144255.0,14.47,14.57,14.37,14.55,13572981.0,14.56,14.59,14.12,14.23,25648089.0,14.17,14.2,14.01,14.05,30637292.0,14.08,14.1,13.78,14.04,43093892.0,14.2,14.36,13.62,13.62,66398029.0,15.83,16.35,15.83,16.21,57176901.0,1
15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,14.4,14.49,14.02,14.41,20144255.0,14.47,14.57,14.37,14.55,13572981.0,14.56,14.59,14.12,14.23,25648089.0,14.17,14.2,14.01,14.05,30637292.0,14.08,14.1,13.78,14.04,43093892.0,16.09,16.09,15.71,15.71,34516415.0,1
16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,14.4,14.49,14.02,14.41,20144255.0,14.47,14.57,14.37,14.55,13572981.0,14.56,14.59,14.12,14.23,25648089.0,14.17,14.2,14.01,14.05,30637292.0,15.89,15.98,15.74,15.86,36380849.0,1
15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,14.4,14.49,14.02,14.41,20144255.0,14.47,14.57,14.37,14.55,13572981.0,14.56,14.59,14.12,14.23,25648089.0,15.89,16.05,15.6,15.65,38508605.0,1
15.89,16.05,15.6,15.65,38508605.0,15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,14.4,14.49,14.02,14.41,20144255.0,14.47,14.57,14.37,14.55,13572981.0,15.85,16.1,15.66,15.86,24184591.0,1
15.85,16.1,15.66,15.86,24184591.0,15.89,16.05,15.6,15.65,38508605.0,15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,14.4,14.49,14.02,14.41,20144255.0,15.5,15.84,15.39,15.61,27408351.0,1
15.5,15.84,15.39,15.61,27408351.0,15.85,16.1,15.66,15.86,24184591.0,15.89,16.05,15.6,15.65,38508605.0,15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,14.5,14.59,14.24,14.4,36173772.0,15.37,15.59,15.25,15.25,22419612.0,1
15.37,15.59,15.25,15.25,22419612.0,15.5,15.84,15.39,15.61,27408351.0,15.85,16.1,15.66,15.86,24184591.0,15.89,16.05,15.6,15.65,38508605.0,15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,14.64,14.65,14.31,14.65,32304017.0,15.3,15.7,15.15,15.22,29301222.0,1
15.3,15.7,15.15,15.22,29301222.0,15.37,15.59,15.25,15.25,22419612.0,15.5,15.84,15.39,15.61,27408351.0,15.85,16.1,15.66,15.86,24184591.0,15.89,16.05,15.6,15.65,38508605.0,15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.7,14.84,14.45,14.69,46512928.0,15.1,15.8,15.05,15.49,20219459.0,1
15.1,15.8,15.05,15.49,20219459.0,15.3,15.7,15.15,15.22,29301222.0,15.37,15.59,15.25,15.25,22419612.0,15.5,15.84,15.39,15.61,27408351.0,15.85,16.1,15.66,15.86,24184591.0,15.89,16.05,15.6,15.65,38508605.0,15.89,15.98,15.74,15.86,36380849.0,16.09,16.09,15.71,15.71,34516415.0,15.83,16.35,15.83,16.21,57176901.0,16.27,16.46,16.16,16.29,39952675.0,16.17,16.4,16.15,16.24,28109036.0,16.44,16.47,16.14,16.21,31033573.0,16.33,16.55,15.82,16.01,35117865.0,16.26,16.57,16.2,16.49,24225588.0,16.3,16.8,16.28,16.54,19833699.0,16.4,16.43,15.81,16.0,29496751.0,15.96,16.13,15.52,15.95,18337732.0,16.16,16.55,15.94,16.55,91914420.0,16.53,16.63,16.06,16.06,27066212.0,16.21,16.21,15.84,15.99,50827941.0,16.04,16.2,15.91,16.2,19944158.0,16.07,16.26,15.82,16.0,13761115.0,15.95,16.08,15.76,15.86,16573524.0,16.0,16.0,15.68,15.88,29654291.0,15.83,15.86,15.27,15.42,31627824.0,15.3,15.45,15.07,15.34,29645702.0,15.35,15.39,15.0,15.39,32508223.0,15.45,15.49,15.2,15.28,48329571.0,15.3,15.61,14.61,14.61,88663608.0,14.6,14.91,14.5,14.7,43090581.0,14.8,15.31,14.58,15.26,29906733.0,1
