@RELATION "B3 - KEPL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl31 NUMERIC
@ATTRIBUTE pvpa31 NUMERIC
@ATTRIBUTE psr31 NUMERIC
@ATTRIBUTE roe31 NUMERIC
@ATTRIBUTE ev_ebit31 NUMERIC
@ATTRIBUTE pl32 NUMERIC
@ATTRIBUTE pvpa32 NUMERIC
@ATTRIBUTE psr32 NUMERIC
@ATTRIBUTE roe32 NUMERIC
@ATTRIBUTE ev_ebit32 NUMERIC
@ATTRIBUTE pl33 NUMERIC
@ATTRIBUTE pvpa33 NUMERIC
@ATTRIBUTE psr33 NUMERIC
@ATTRIBUTE roe33 NUMERIC
@ATTRIBUTE ev_ebit33 NUMERIC
@ATTRIBUTE pl34 NUMERIC
@ATTRIBUTE pvpa34 NUMERIC
@ATTRIBUTE psr34 NUMERIC
@ATTRIBUTE roe34 NUMERIC
@ATTRIBUTE ev_ebit34 NUMERIC
@ATTRIBUTE pl35 NUMERIC
@ATTRIBUTE pvpa35 NUMERIC
@ATTRIBUTE psr35 NUMERIC
@ATTRIBUTE roe35 NUMERIC
@ATTRIBUTE ev_ebit35 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,12.721,1.2105,0.0,0.0952,8.6351,1.9999,0
12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,12.721,1.2105,0.0,0.0952,8.6351,1.9999,0
12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,12.721,1.2105,0.0,0.0952,8.6351,1.9999,0
12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,12.721,1.2105,0.0,0.0952,8.6351,1.9999,0
12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,14.8412,1.4123,0.0,0.0952,10.0743,9.8899,1.1468,0.0,0.116,7.1941,1.9166,0
9.8899,1.1468,0.0,0.116,7.1941,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,15.3713,1.4627,0.0,0.0952,10.4341,9.8899,1.1468,0.0,0.116,7.1941,1.9166,1
9.8899,1.1468,0.0,0.116,7.1941,9.8899,1.1468,0.0,0.116,7.1941,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,15.3713,1.4627,0.0,0.0952,10.4341,10.3199,1.1967,0.0,0.116,7.5068,1.9999,0
10.3199,1.1967,0.0,0.116,7.5068,9.8899,1.1468,0.0,0.116,7.1941,9.8899,1.1468,0.0,0.116,7.1941,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.8412,1.4123,0.0,0.0952,10.0743,10.3199,1.1967,0.0,0.116,7.5068,1.9999,0
10.3199,1.1967,0.0,0.116,7.5068,10.3199,1.1967,0.0,0.116,7.5068,9.8899,1.1468,0.0,0.116,7.1941,9.8899,1.1468,0.0,0.116,7.1941,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,10.3199,1.1967,0.0,0.116,7.5068,1.9999,0
10.3199,1.1967,0.0,0.116,7.5068,10.3199,1.1967,0.0,0.116,7.5068,10.3199,1.1967,0.0,0.116,7.5068,9.8899,1.1468,0.0,0.116,7.1941,9.8899,1.1468,0.0,0.116,7.1941,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,12.191,1.1601,0.0,0.0952,8.2753,12.721,1.2105,0.0,0.0952,8.6351,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,12.191,1.1601,0.0,0.0952,8.2753,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.2511,1.261,0.0,0.0952,8.9949,12.721,1.2105,0.0,0.0952,8.6351,13.2511,1.261,0.0,0.0952,8.9949,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,13.7811,1.3114,0.0,0.0952,9.3547,14.3112,1.3618,0.0,0.0952,9.7145,14.3112,1.3618,0.0,0.0952,9.7145,14.8412,1.4123,0.0,0.0952,10.0743,14.3112,1.3618,0.0,0.0952,9.7145,9.8899,1.1468,0.0,0.116,7.1941,1.9166,0
