@RELATION "B3 - USIM5"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl31 NUMERIC
@ATTRIBUTE pvpa31 NUMERIC
@ATTRIBUTE psr31 NUMERIC
@ATTRIBUTE roe31 NUMERIC
@ATTRIBUTE ev_ebit31 NUMERIC
@ATTRIBUTE pl32 NUMERIC
@ATTRIBUTE pvpa32 NUMERIC
@ATTRIBUTE psr32 NUMERIC
@ATTRIBUTE roe32 NUMERIC
@ATTRIBUTE ev_ebit32 NUMERIC
@ATTRIBUTE pl33 NUMERIC
@ATTRIBUTE pvpa33 NUMERIC
@ATTRIBUTE psr33 NUMERIC
@ATTRIBUTE roe33 NUMERIC
@ATTRIBUTE ev_ebit33 NUMERIC
@ATTRIBUTE pl34 NUMERIC
@ATTRIBUTE pvpa34 NUMERIC
@ATTRIBUTE psr34 NUMERIC
@ATTRIBUTE roe34 NUMERIC
@ATTRIBUTE ev_ebit34 NUMERIC
@ATTRIBUTE pl35 NUMERIC
@ATTRIBUTE pvpa35 NUMERIC
@ATTRIBUTE psr35 NUMERIC
@ATTRIBUTE roe35 NUMERIC
@ATTRIBUTE ev_ebit35 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,72.7406,0.9809,1.612,0.0135,23.8801,71.9879,0.9708,1.5953,0.0135,23.633,68.3858,0.9222,1.5155,0.0135,22.4505,65.4289,0.8823,1.45,0.0135,21.4798,64.5687,0.8707,1.4309,0.0135,21.1974,64.5687,0.8707,1.4309,0.0135,21.1974,73.3223,0.8011,1.3339,0.0109,25.5377,11.02,0
73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,72.7406,0.9809,1.612,0.0135,23.8801,71.9879,0.9708,1.5953,0.0135,23.633,68.3858,0.9222,1.5155,0.0135,22.4505,65.4289,0.8823,1.45,0.0135,21.4798,64.5687,0.8707,1.4309,0.0135,21.1974,72.6569,0.7938,1.3218,0.0109,25.306,10.92,1
72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,72.7406,0.9809,1.612,0.0135,23.8801,71.9879,0.9708,1.5953,0.0135,23.633,68.3858,0.9222,1.5155,0.0135,22.4505,65.4289,0.8823,1.45,0.0135,21.4798,73.1227,0.7989,1.3302,0.0109,25.4682,10.99,0
73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,72.7406,0.9809,1.612,0.0135,23.8801,71.9879,0.9708,1.5953,0.0135,23.633,68.3858,0.9222,1.5155,0.0135,22.4505,71.8585,0.7851,1.3072,0.0109,25.0279,10.8,0
71.8585,0.7851,1.3072,0.0109,25.0279,73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,72.7406,0.9809,1.612,0.0135,23.8801,71.9879,0.9708,1.5953,0.0135,23.633,68.199,0.7451,1.2407,0.0109,23.7533,10.25,0
68.199,0.7451,1.2407,0.0109,23.7533,71.8585,0.7851,1.3072,0.0109,25.0279,73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,72.7406,0.9809,1.612,0.0135,23.8801,67.8664,0.7415,1.2346,0.0109,23.6374,10.2,0
67.8664,0.7415,1.2346,0.0109,23.6374,68.199,0.7451,1.2407,0.0109,23.7533,71.8585,0.7851,1.3072,0.0109,25.0279,73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,73.1707,0.9867,1.6215,0.0135,24.0213,67.7333,0.74,1.2322,0.0109,23.5911,10.18,0
67.7333,0.74,1.2322,0.0109,23.5911,67.8664,0.7415,1.2346,0.0109,23.6374,68.199,0.7451,1.2407,0.0109,23.7533,71.8585,0.7851,1.3072,0.0109,25.0279,73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,73.7621,0.9947,1.6346,0.0135,24.2155,67.7333,0.74,1.2322,0.0109,23.5911,10.18,1
67.7333,0.74,1.2322,0.0109,23.5911,67.7333,0.74,1.2322,0.0109,23.5911,67.8664,0.7415,1.2346,0.0109,23.6374,68.199,0.7451,1.2407,0.0109,23.7533,71.8585,0.7851,1.3072,0.0109,25.0279,73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,73.332,0.9889,1.6251,0.0135,24.0743,68.9309,0.7531,1.254,0.0109,24.0082,10.36,0
68.9309,0.7531,1.254,0.0109,24.0082,67.7333,0.74,1.2322,0.0109,23.5911,67.7333,0.74,1.2322,0.0109,23.5911,67.8664,0.7415,1.2346,0.0109,23.6374,68.199,0.7451,1.2407,0.0109,23.7533,71.8585,0.7851,1.3072,0.0109,25.0279,73.1227,0.7989,1.3302,0.0109,25.4682,72.6569,0.7938,1.3218,0.0109,25.306,73.3223,0.8011,1.3339,0.0109,25.5377,74.1872,0.8105,1.3496,0.0109,25.839,74.9857,0.8192,1.3641,0.0109,26.1171,74.8526,0.8178,1.3617,0.0109,26.0707,61.0741,0.8236,1.3535,0.0135,20.0501,62.6333,0.8446,1.388,0.0135,20.562,63.0096,0.8497,1.3963,0.0135,20.6855,64.3537,0.8678,1.4261,0.0135,21.1268,62.9021,0.8483,1.394,0.0135,20.6502,60.5903,0.8171,1.3427,0.0135,19.8913,60.429,0.8149,1.3392,0.0135,19.8383,61.1817,0.8251,1.3558,0.0135,20.0854,61.5042,0.8294,1.363,0.0135,20.1913,62.4182,0.8417,1.3832,0.0135,20.4914,63.9236,0.862,1.4166,0.0135,20.9856,64.7838,0.8736,1.4357,0.0135,21.268,64.8913,0.8751,1.438,0.0135,21.3033,64.9988,0.8765,1.4404,0.0135,21.3386,66.3429,0.8947,1.4702,0.0135,21.7798,64.5687,0.8707,1.4309,0.0135,21.1974,64.6225,0.8715,1.4321,0.0135,21.215,64.5687,0.8707,1.4309,0.0135,21.1974,65.5902,0.8845,1.4535,0.0135,21.5327,69.6224,0.9389,1.5429,0.0135,22.8565,70.4288,0.9498,1.5608,0.0135,23.1212,69.5149,0.9374,1.5405,0.0135,22.8212,70.4288,0.9498,1.5608,0.0135,23.1212,68.8644,0.7524,1.2528,0.0109,23.9851,10.35,0
