@RELATION "B3 - ALPA4"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao26 NUMERIC
@ATTRIBUTE high26 NUMERIC
@ATTRIBUTE low26 NUMERIC
@ATTRIBUTE open26 NUMERIC
@ATTRIBUTE volume26 NUMERIC
@ATTRIBUTE cotacao27 NUMERIC
@ATTRIBUTE high27 NUMERIC
@ATTRIBUTE low27 NUMERIC
@ATTRIBUTE open27 NUMERIC
@ATTRIBUTE volume27 NUMERIC
@ATTRIBUTE cotacao28 NUMERIC
@ATTRIBUTE high28 NUMERIC
@ATTRIBUTE low28 NUMERIC
@ATTRIBUTE open28 NUMERIC
@ATTRIBUTE volume28 NUMERIC
@ATTRIBUTE cotacao29 NUMERIC
@ATTRIBUTE high29 NUMERIC
@ATTRIBUTE low29 NUMERIC
@ATTRIBUTE open29 NUMERIC
@ATTRIBUTE volume29 NUMERIC
@ATTRIBUTE cotacao30 NUMERIC
@ATTRIBUTE high30 NUMERIC
@ATTRIBUTE low30 NUMERIC
@ATTRIBUTE open30 NUMERIC
@ATTRIBUTE volume30 NUMERIC
@ATTRIBUTE cotacao31 NUMERIC
@ATTRIBUTE high31 NUMERIC
@ATTRIBUTE low31 NUMERIC
@ATTRIBUTE open31 NUMERIC
@ATTRIBUTE volume31 NUMERIC
@ATTRIBUTE cotacao32 NUMERIC
@ATTRIBUTE high32 NUMERIC
@ATTRIBUTE low32 NUMERIC
@ATTRIBUTE open32 NUMERIC
@ATTRIBUTE volume32 NUMERIC
@ATTRIBUTE cotacao33 NUMERIC
@ATTRIBUTE high33 NUMERIC
@ATTRIBUTE low33 NUMERIC
@ATTRIBUTE open33 NUMERIC
@ATTRIBUTE volume33 NUMERIC
@ATTRIBUTE cotacao34 NUMERIC
@ATTRIBUTE high34 NUMERIC
@ATTRIBUTE low34 NUMERIC
@ATTRIBUTE open34 NUMERIC
@ATTRIBUTE volume34 NUMERIC
@ATTRIBUTE cotacao35 NUMERIC
@ATTRIBUTE high35 NUMERIC
@ATTRIBUTE low35 NUMERIC
@ATTRIBUTE open35 NUMERIC
@ATTRIBUTE volume35 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,9.7971,9.8032,9.5567,9.5928,18513058.7369,9.4966,9.6289,9.4726,9.5567,6923780.4957,9.6168,9.8933,9.6168,9.8512,19620921.5813,9.8272,9.9113,9.737,9.737,9005083.5028,9.6469,9.8332,9.3584,9.5567,11431263.5846,9.4966,9.6769,9.3464,9.6469,16304034.6332,9.7653,9.9901,9.7256,9.9901,9297481.2136,0
9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,9.7971,9.8032,9.5567,9.5928,18513058.7369,9.4966,9.6289,9.4726,9.5567,6923780.4957,9.6168,9.8933,9.6168,9.8512,19620921.5813,9.8272,9.9113,9.737,9.737,9005083.5028,9.6469,9.8332,9.3584,9.5567,11431263.5846,9.6264,10.0496,9.6264,9.7983,21746781.0235,0
9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,9.7971,9.8032,9.5567,9.5928,18513058.7369,9.4966,9.6289,9.4726,9.5567,6923780.4957,9.6168,9.8933,9.6168,9.8512,19620921.5813,9.8272,9.9113,9.737,9.737,9005083.5028,9.4215,9.686,9.395,9.686,4972711.3015,1
9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,9.7971,9.8032,9.5567,9.5928,18513058.7369,9.4966,9.6289,9.4726,9.5567,6923780.4957,9.6168,9.8933,9.6168,9.8512,19620921.5813,9.0579,9.2562,9.0579,9.2562,3034766.221,1
9.0579,9.2562,9.0579,9.2562,3034766.221,9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,9.7971,9.8032,9.5567,9.5928,18513058.7369,9.4966,9.6289,9.4726,9.5567,6923780.4957,9.1901,9.1901,8.7537,9.0711,8329299.7109,1
9.1901,9.1901,8.7537,9.0711,8329299.7109,9.0579,9.2562,9.0579,9.2562,3034766.221,9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,9.7971,9.8032,9.5567,9.5928,18513058.7369,8.9917,9.243,8.8198,9.2033,6170537.1923,1
8.9917,9.243,8.8198,9.2033,6170537.1923,9.1901,9.1901,8.7537,9.0711,8329299.7109,9.0579,9.2562,9.0579,9.2562,3034766.221,9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,9.707,9.8633,9.707,9.8633,4973750.6915,8.562,9.0248,8.5488,8.9917,6621619.1436,1
8.562,9.0248,8.5488,8.9917,6621619.1436,8.9917,9.243,8.8198,9.2033,6170537.1923,9.1901,9.1901,8.7537,9.0711,8329299.7109,9.0579,9.2562,9.0579,9.2562,3034766.221,9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,9.6829,9.713,9.3944,9.713,7957247.0948,8.7273,8.7603,8.5488,8.6347,9422811.5014,1
8.7273,8.7603,8.5488,8.6347,9422811.5014,8.562,9.0248,8.5488,8.9917,6621619.1436,8.9917,9.243,8.8198,9.2033,6170537.1923,9.1901,9.1901,8.7537,9.0711,8329299.7109,9.0579,9.2562,9.0579,9.2562,3034766.221,9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,9.5988,9.6349,9.4365,9.6349,8166703.2379,8.7537,8.8595,8.562,8.7008,6456386.0806,1
8.7537,8.8595,8.562,8.7008,6456386.0806,8.7273,8.7603,8.5488,8.6347,9422811.5014,8.562,9.0248,8.5488,8.9917,6621619.1436,8.9917,9.243,8.8198,9.2033,6170537.1923,9.1901,9.1901,8.7537,9.0711,8329299.7109,9.0579,9.2562,9.0579,9.2562,3034766.221,9.4215,9.686,9.395,9.686,4972711.3015,9.6264,10.0496,9.6264,9.7983,21746781.0235,9.7653,9.9901,9.7256,9.9901,9297481.2136,10.0298,10.076,9.924,10.0364,2189588.7811,10.1818,10.2479,9.6529,10.1818,16653659.5967,10.2149,10.2149,9.9702,10.043,5548768.1031,10.0033,10.1752,9.9174,10.1289,6537474.2308,10.0826,10.2545,10.0165,10.2545,11428291.2196,10.2479,10.281,10.0826,10.281,5410688.9527,10.281,10.3934,10.1488,10.3934,3433350.8096,10.2678,10.3802,9.9306,10.1091,13423690.1252,10.0616,10.3321,10.0616,10.308,14746303.7701,10.2179,10.3321,10.0676,10.0977,13405149.9001,10.0977,10.2179,9.8753,10.0376,11845710.3657,10.0736,10.1878,9.9294,9.9775,6438935.4606,9.9775,10.0316,9.7971,10.0075,1795901.6675,10.0316,10.1397,9.8873,9.8873,20993854.7402,9.8573,10.0676,9.8573,9.9715,6710880.3901,9.9414,9.9835,9.737,9.7431,6435564.7031,9.737,9.8032,9.5447,9.7791,8329604.3284,9.9053,9.9053,9.118,9.148,14710178.7663,9.16,9.3464,9.148,9.3464,5093181.3218,9.3163,9.4606,9.2802,9.3223,5234837.9884,9.3163,9.5808,8.8415,9.4065,6061789.9545,9.4065,9.6168,9.4065,9.5207,3384149.0332,9.5207,9.6108,9.4966,9.5267,5392456.6726,9.5868,9.713,9.4545,9.713,6730837.0714,9.6168,9.713,9.4846,9.6168,10706221.2975,9.4906,9.6769,9.4606,9.6168,5136019.5569,8.7934,9.1306,8.6083,8.7603,9156609.9882,1
